ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN
ANIMAL, HEMODERIVADOS)"
,,HIDALGO S/N,HACIENDA NUEVA,98080,MORELOS,ZACATECAS,32 032 10 0001,09/06/99,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV. PROVIDENCIA S/N,CENTRO,98100,MORELOS,ZACATECAS,32 032 10 0002,18/05/18,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,CALLE DEL REFUGIO #30,CENTRO,98100,MORELOS,ZACATECAS,32 032 10 0004,16/07/18,"I, II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,"AV, LOPEZ MATEOS S/N",HACIENDA NUEVA,98101,MORELOS,ZACATECAS,32 032 10 0005,16/07/18,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,ALLENDE # 18,CENTRO,98180,PÁNUCO,ZACATECAS,32 037 10 0001,28/06/99,"II, III, SUEROS, TOXOIDES"
,,AV. HIDALGO S/N,CENTRO,98064,PÁNUCO,ZACATECAS,32 037 10 0002,06/07/99,II Y III
,,AV. MORELOS S/N,POZO DE GAMBOA,98040,PÁNUCO,ZACATECAS,32 037 10 0003,06/07/99,"II, III, SUEROS, TOXOIDES, ANTITOXINAS"
,,DOMICILIO CONOCIDO,SAN ANTONIO DEL CIPRÉS,98048,PÁNUCO,ZACATECAS,32 037 10 0004,28/06/99,"II, III, TOXOIDES"
,,JUAN RODRIGUEZ S/N,LOMAS VERDES/POZO DE GAMBOA,98540,PÁNUCO,ZACATECAS,32 037 10 0005,30/08/16,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,CALLE MINA DE GARCIA S/N,CENTRO,98140,VETAGRANDE,ZACATECAS,32 050 10 0001,05/03/18,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,CALLE DOCTORES S/N,EL LAMPOTAL,98150,VETAGRANDE,ZACATECAS,32 050 10 0002,10/12/18,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,SONORA #21,CENTRO/SAUCEDA DE LA  BORDA,98140,VETAGRANDE,ZACATECAS,32 050 10 0003,14/12/99,"II, III, TOXOIDES"
,,CALLE ZARAGOZA #96,LOC. SAN JOSE DE LA ERA,98150,VETAGRANDE,ZACATECAS,32 050 10 0004,03/07/18,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,GARCÍA DE LA CADENA #329,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0004,15/04/19,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,CALLE REFORMA #110,SIERRA DE ÁLICA,98050,ZACATECAS,ZACATECAS,32 056 09 0007,07/05/91,"II, III, TOXOIDES"
,,AV. TORREÓN #511-B,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0008,02/07/92,"II, III, VACUNAS, SUEROS, ANTITOXINAS, TOXOIDES, HEMODERIVADOS"
,,CALLE CHEPINQUE #320,LOMAS DE LA SOLIDAD,98000,ZACATECAS,ZACATECAS,32 056 09 0011,03/09/98,"II, III, VACUNAS, SUEROS, TOXOIDES, HEMODERIVADOS"
,,CALLE TACUBA #208,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0012,15/05/94,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS"
,,JUSTO SIERRA #113,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0013,09/12/19,"I, II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,BLVD. LÓPEZ PORTILLO #1,EL CAMPESTRE,98064,ZACATECAS,ZACATECAS,32 056 09 0020,17/06/19,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,CALZADA LUIS MOYA #143,BENITO JUÁREZ,98080,ZACATECAS,ZACATECAS,32 056 09 0021,14/01/00,"I, II, III, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,DIEGO CUEVAS C. #206-B,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0022,19/03/91,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,AV. HIDALGO #212,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0023,17/04/01,II y III
,,CALLE FRANCISCO GARCÍA SALINAS #203,FRAC. CLUB CAMPESTRE,98064,ZACATECAS,ZACATECAS,32 056 09 0028,01/08/19,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,BOULEVARD ADOLFO LOPEZ MATEOS #305,FCO. E. GACIA,98000,ZACATECAS,ZACATECAS,32 056 09 0033,16/05/19,"II, III, VACUNAS, TOXOIDES, SUEROS, HEMODERIVADOS, ANTITOXINAS"
,,QUEBRADILLA S/N,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0035,17/12/03,"II, III, VACUNAS, TOXOIDES, SUEROS, HEMODERIVADOS"
,,CALZADA LUIZ MOYA #107,CINCO SEÑORES,98000,ZACATECAS,ZACATECAS,32 056 09 0038,12/04/06,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV. JUÁREZ #201,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0039,08/07/19,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,CALZADA LUIS MOYA  #218 INT. A,BENITO JUÁREZ,98000,ZACATECAS,ZACATECAS,32 056 09 0041,31/07/06,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV. GUERRERO #102,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0042,07/08/07,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,CJON. DE QUIJANO #238,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0043,07/08/07,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV. GUERRERO #143 INT. 2,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0044,05/12/08,"I, II, III, VACUNAS, SUEROS, ANTITOXINAS, HEMODERIVADOS, TOXOIDES"
,,DR. CUEVAS CANSINO #206-B,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0045,12/12/08,II Y III
,,AV. UNIVERSIDAD #295-15,LA LOMA,98000,ZACATECAS,ZACATECAS,32 056 09 0051,25/09/12,"I, II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, ANTITOXINAS"
,,COSTADO DEL HOSPITAL GENERAL S/N,CIUDAD ADMINISTRATIVA,98160,ZACATECAS,ZACATECAS,32 056 09 0052,18/12/19,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV. TORREON # 625,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0054,05/03/14,"II, III, VACUNAS, TOXOIDES, SUEROS,  HEMODERIVADOS"
,,AV. UNIVERSIDAD #295,LA LOMA,98000,ZACATECAS,ZACATECAS,32 056 09 0055,01/04/14,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,AV. GUERRERO #143,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0056,01/08/19,"I, II, III, VACUNAS, SUEROS, ANTITOXINAS, HEMODERIVADOS, TOXOIDES"
,,HIDALGO # 217,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0058,22/12/14,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV. GUERRERO # 140,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0059,29/01/15,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,CALZADA GARCIA SALINAS # 307,LAS COLINAS,98000,ZACATECAS,ZACATECAS,32 056 09 0060,29/01/15,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,AV. QUEBRADILLA S/N,CAMINERA,98000,ZACATECAS,ZACATECAS,32 056 09 0061,02/06/15,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,CALZADA JESUS REYES HEROLES # 207,LOMAS DE LA ISABELICA,98000,ZACATECAS,ZACATECAS,32 056 09 0062,17/07/15,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,AVENIDA FRANCISCO GARCIA SALINAS #1602,FRACCIONAMIENTO TAHONA,98000,ZACATECAS,ZACATECAS,32 056 09 0063,03/09/15,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
