PROPIETARIO,ESTABLECIMIENTO,GIRO,CALLE,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES 
GRUPO I), (PSICOTRÓPICOS GRUPOS  II, III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS, (I,II,III,V,T,S,A,H) METADONA, OXYCONTIN)"
FARMACON SA DE CV,"FARMACIA YZA 
INTERNACIONAL",FARMACIA,"C 86 No 484-I DEPTO. 1 X   
59-A",CENTRO,97000,MERIDA,YUCATAN,FA0500372,20-mar-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS"
FARMACON SA DE CV,"FARMACIA YZA 
TECNOLOGICO",FARMACIA,C 10 No 91 X 17-A Y 19,"FELIPE CARRILLO 
PUERTO",97208,MERIDA,YUCATAN,FA0500373,13-mar-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS"
FARMACON SA DE CV,YZA ORIENTE,FARMACIA,C 4 No 563 X 63-C,"CORTES 
SARMIENTO",97168,MERIDA,YUCATAN,FA0500375/11,20-mar-06,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA PUERTO,FARMACIA,CALLE 29 No 143 X 78,CENTRO,97320,PROGRESO,YUCATAN,FA0590405,20-mar-06,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA POLIGONO,FARMACIA,C 31-A # 377 DEPTO. 1 X 24,POLIGONO 108,97148,MERIDA,YUCATAN,FA0500430,13-mar-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS"
FARMACON SA DE CV,YZA BRISAS,FARMACIA,"CALLE 26 DIAGONAL No   
620 X 16",BRISAS,97144,MERIDA,YUCATAN,FA0500431,13-mar-06,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL,  
HEMODERIVADOS Y TOXOIDES."
FARMACON SA DE CV,YZA MONTEJO,FARMACIA,CALLE 34 No 382-A X 35,"EMILIANO ZAPATA 
NORTE",97129,MERIDA,YUCATAN,FA0500432,13-mar-06,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL,  
HEMODERIVADOS Y TOXOIDES"
"FUNDACION TELETON 
MEXICO A.C","BOTICA DEL CENTRO DE 
REHABILITACION E 
INCLUSION INFANTIL 
TELETON YUCATAN",BOTICA,"PERIFERICO NORTE KM. 
34+600, TABLAJE 
CATASTRAL 21597","ENTRE LA 
FACULTAD DE 
MATEMATICAS Y 
ENTRONQUE A 
DZITYA",97203,MERIDA,YUCATAN,FA05000445,14-ene-09,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"TIENDAS SORIANA, S.A. DE 
CV","FARMACIA SORIANA 
SENDEROS",FARMACIA,"CALLE 14 # 70 X 20 X 
CIRCUITO COLONIAS Y 21",CHUMINOPOLIS,97158,MERIDA,YUCATAN,FA05000446,23-ene-09,"GRUPO II, III, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA CORDEMEX,FARMACIA,C 61 No 300,"AMPLIACION 
REVOLUCION",97115,MERIDA,YUCATAN,FA0500447,27-ene-09,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"SUPER SAN FRANCISCO DE 
ASIS SA DE CV","FAMA SUCURSAL 
PROGRESO",FARMACIA,CALLE 80 #  141 X 79 Y 81,CENTRO,97320,MERIDA,YUCATAN,FA05900450,24-abr-09,"GRUPO II, III, VACUNAS Y TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS, 
SUCURSAL, YUCALPETEN",FARMACIA,"AVENIDA C 122No 315 X 63-
B Y 65",YUCALPETEN,97238,MERIDA,YUCATAN,FA05000452,17-abr-09,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUC SALVADOR ALVARADO",FARMACIA,C 16 No 89 X 60 Y 11,"SALVADOR 
ALVARADO",97050,MERIDA,YUCATAN,FA0500453,30-abr-09,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA PINOS,FARMACIA,"CALLE 17 No 
398DEPARTAMENTO 1 X 44","RESIDENCIAL LOS 
PINOS",97138,MERIDA,YUCATAN,FA0500453,04-may-06,"GRUPO  II, III, VACUNAS,  SUEROS DE ORIGEN ANIMAL,  
HEMODERIVADOS Y TOXOIDES"
"SUCHIL RODRIGUEZ 
MARCOS",FARMACIA SUCHIL,FARMACIA,C 7 No 215-C X 32 Y 34,GARCIA GINERES,97070,MERIDA,YUCATAN,FA05000455,22-jul-09,"GRUPO  II, III"
TIENDAS SORIANA SA DE CV,FARMACIA SORIANA,FARMACIA,"C 50 DIAGONAL No 460 
DEPARTAMENTO 32 X 29 Y 
75","GONZALO 
GUERRERO",97000,MERIDA,YUCATAN,FA0500456,13-sep-06,GRUPO II Y III
FARMACON SA DE CV,"FARMACIA YZA FRANCISCO 
DE MONTEJO III",FARMACIA,"CALLE 50 No 222 LOCAL 1 X 
47 Y 49","FRANCISCO DE 
MONTEJO",97203,MERIDA,YUCATAN,FA05000456,01-jun-09,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA SAMBULA,FARMACIA,"CALLE 96 No 702-B X 79 -D Y 
79-I",SAMBULA,97259,MERIDA,YUCATAN,FA05000457,28-may-09,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL,, 
HEMODERIVADOS Y TOXOIDES"
"SERVICIOS DE SALUD DE 
YUCATAN",HOSPITAL PSIQUIATRICO,FARMACIA,CALLE 116 # 341 X 59,BOJORQUEZ,97000,MERIDA,YUCATAN,FA0500457,01-jun-06,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUC ITZAES",FARMACIA,C 86-B No 559-A X 67 Y 69,CENTRO,97000,MERIDA,YUCATAN,FA0500460,08-ene-09,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"NUEVA WAL MART DE 
MEXICO, S. DE R. L.","FARMACIA SAMS MERIDA 
ORIENTE",FARMACIA,"CALLE 6 # 400-A X AV. 
CORREA RACHO Y 13","GUSTAVO DIAZ 
ORDAZ",97115,MERIDA,YUCATAN,FA05000461,08-jul-09,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS 
SUCURSAL FRANCISCO DE 
MONTEJO",FARMACIA,"C 50 No 480 INT LOCAL 4 Y 
5  X 61","FRANCISCO DE 
MONTEJO",97203,MERIDA,YUCATAN,FA05000462,12/05/2009,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
CRUZ ROJA MEXICANA IAP.,"BOTICA HOSPITAL DE 
ORTOPEDIA",BOTICA,"AV.QUETZALCOATL X 8-B Y 
8-C",VERGEL 65,97133,MERIDA,YUCATAN,FA05000463,30-jun-09,"GRUPO I, II, Y III"
FARMACON SA DE CV,FARMACIA YZA MOTUL,FARMACIA,"C 26-A No 301 LOCAL 3 X 27 
Y 29",CENTRO,97430,MOTUL,YUCATAN,FA0520464,11-ene-10,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN 
ANIMAL,HEMODERIVADOS Y TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV.","FARMACIAS DEL AHORRO 
SUC LA MESTIZA",FARMACIA,CALLE 50 No 300 X 51 Y 50,"FRACC. FRANCISCO 
DE MONTEJO",97203,MERIDA,YUCATAN,FA0500465,07-ene-13,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
TIENDAS SORIANA SA DE CV,"FARMACIA SORIANA 
VILLAPALMIRA",FARMACIA,CALLE 95 No 502-N X 62,"DELIO MORENO 
CANTON",97268,MERIDA,YUCATAN,FA0500466,07-ene-10,"GRUPO II,III,VACUNAS,SUEROS DE ORIGEN 
ANIMAL,ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
CRUZ ROJA MEXICANA I.A.P.,CENTRO ANTICANSEROSO,FARMACIA,CALLE 59 S/N X 86,CENTRO,97000,MERIDA,YUCATAN,FA0500467,13-jul-06,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL. 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
PEDRO ROSADO ARTEZAN,"FARMACIA COMERCIO 
MEXICO",FARMACIA,"C 21 No 114 LOCAL 5 X 22 Y 
24",MEXICO,97125,MERIDA,YUCATAN,FA0500467,07-ene-10,"GRUPO II, III,"
FARMACON SA DE CV,"FARMACIA YZA CIRCUITO 
ALEMAN",FARMACIA,"C 27 No 223 X CIRCUITO 
COLONIAS",MIGUEL ALEMAN,97148,MERIDA,YUCATAN,FA0500468,11-ene-10,"GRUPO II, III, VACUNAS,  SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,YZA MARIA LUISA,FARMACIA,C 21 No 240 X 18 Y 20,MARIA LUISA,97199,MERIDA,YUCATAN,FA0500471,29-may-12,"GRUPO II, III,VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"GRUPO FARMACEUTICO 
IZAMAL SA DE CV",FARMACIA ITZALANA,FARMACIA,C 31 No 317 X 29 Y 32,CENTRO,97540,IZAMAL,YUCATAN,FA0400471,30-oct-06,"GRUPO II, III, VACUNAS, TOXOIDES Y MEDICAMENTOS CON 
PSEUDOEFEDRINA"
FARMACON SA DE CV,"FARMACIA YZA LEANDRO 
VALLE",FARMACIA,"C 69 No 282 F LOCAL 1 Y 2X 
28 DIAGONAL Y 28-A 
DIAGONAL",AZCORRA,97177,MERIDA,YUCATAN,FA0500472,29-may-12,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE 
CHIAPAS,  SAPI DE CV.","FRMACIA DEL AHORRO SUC 
AVIACION",FARMACIA,"C. 86-B NO 671 X 89 Y 
AVENIDA ITZAES",NUEVA SAMBULA,97250,MERIDA,YUCATAN,FA0500473,02-feb-10,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA UADY,FARMACIA,C.43 S/N X 76 Y 78,CENTRO,97000,MERIDA,YUCATAN,FA0500475,25-abr-11,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA BANRURAL,FARMACIA,C 22 No 87-B X 15,ITZIMNA,97100,MERIDA,YUCATAN,FA0500476,08-mar-10,"GRUPOII,III,VACUNAS,SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA CHEMAX,FARMACIA,C 21 No 99-F X 18 Y 20,CENTRO,97770,CHEMAX,YUCATAN,FA0500477,08-mar-10,"GRUPO II,III,VACUNAS,SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA VALLADOLID 
SANTA ANA",FARMACIA,C 41 No 184-A X 32 Y 34,SANTA ANA,97780,VALLADOLID,YUCATAN,FA1020482,13-mar-06,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA CENTRO,FARMACIA,C 63 No 502-A X 60 Y 62,CENTRO,97000,MERIDA,YUCATAN,FA0500501,03-mar-06,"GRUPO  II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR 
SUCURSAL MAXCANU",FARMACIA,C 20 No 89 X 19 Y 21,CENTRO,97800,MAXCANU,YUCATAN,FA0480931,01-mar-08,"GRUPO II, III, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUC PROLONGACION 
MONTEJO",FARMACIA,CALLE 30 No 132 X 29 Y 31,MEXICO,97125,MERIDA,YUCATAN,FA0500937,10-abr-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL Y 
TOXOIDES."
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL",I.M.S.S.,FARMACIA,CALLE 64 # 491 X 59,CENTRO,97000,MERIDA,YUCATAN,FA0500972,08-dic-08,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
CV",DEL BAZAR C.E.M.,FARMACIA,"CALLE 60 # 329-B X 35 Y AV. 
COLON",CENTRO,97000,MERIDA,YUCATAN,FA0500940,20-oct-08,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXIAS DE ORIGEN  ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
TIENDAS SORIANA SA DE CV,FARMACIA SORIANA,FARMACIA,"C 50 DIAGONAL No 460 
DEPARTAMENTOS 32 X 29 Y 
75","GONZALO 
GUERRERO",97118,MERIDA,YUCATAN,FA0500456,13-sep-06,GRUPO II Y III
FARMACON SA DE CV,"FARMACIA YZA VALLADOLID 
SANTA ANA",FARMACIA,C 41 No 184-A X 32 Y 34,SANTA ANA,97780,VALLADOLID,YUCATAN,FA1020482,13-mar-06,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA FUENTE,FARMACIA,"C 33 No 37 LOCAL 1 X 52 Y 
54","FRANCISCO I. 
MADERO",97320,PROGRESO,YUCATAN,FA0590502,5-ABRIL-2006,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL Y 
TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA 42 SUR,FARMACIA,C 131 No 196 DEPTO 1 X 42,"SAN NICOLAS DEL 
SUR",97289,MERIDA,YUCATAN,FA0500503,22-may-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA DEL SUR,FARMACIA,CALLE 111 No 673-H X 50,DOLORES OTERO,97270,MERIDA,YUCATAN,FA0500504,13-mar-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA TIXKOKOB,FARMACIA,C 21 No 98 X 18 Y 20,CENTRO,97470,TIXKOKOB,YUCATAN,FA0950521,25-abr-11,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL,  
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA 
MONTECRISTO II",FARMACIA,C 5 No 117 LOCAL 6 X 22,"SAN ANTONIO 
CINTA",97139,MERIDA,YUCATAN,FA0500576,20-mar-06,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"HOSPITAL MILITAR 
REGIONAL","HOSPITAL MILITAR 
REGIONAL",FARMACIA,CALLE 61-A S/N X 90,CENTRO,97000,MERIDA,YUCATAN,FA0500578,11-may-06,"GRUPO I, II Y III"
FARMACON SA DE CV,FARMACIA YZA PARADERO,FARMACIA,C 79 No 158 X 80 Y 82,CENTRO,97320,PROGRESO,YUCATAN,FA0590595,13-mar-06,"GRUPO II, III, VACUNAS, TOXOIDES BIOLOGICOS Y 
HEMODERIVADOS"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
CV","FARMACIA BAZAR 
SUCURSAL TIZIMIN",FARMACIA,C 47 No 381 DEPTO. 1 X 48,CENTRO,97700,TIZIMIN,YUCATAN,FA0960610,22-ene-07,"GRUPO  II, III"
FARMACON SA DE CV,"FARMACIA YZA 
MONTEALBAN",FARMACIA,"C 49 No 485 DPTO 7 X 20 Y 
22","SAN ANTONIO 
CINTA",97139,MERIDA,YUCATAN,FA0500617,29-oct-07,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL,  
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA KANASIN,FARMACIA,C 19 No 95 X 18 Y 20,CENTRO,97370,KANASIN,YUCATAN,FA0410621,05-abr-06,"GRUPO  II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS"
FARMACON SA DE CV,YZA CARIDAD DEL COBRE,FARMACIA,C 14 No 390 X 39-B Y 39-C,MAXIMO ANCONA,97140,MERIDA,YUCATAN,FA0500623,17-abr-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS"
FARMACON SA DE CV,FARMACIA YZA CAMPESTRE,FARMACIA,"C 9 No 269-B INT. LOC. 3 X 
38","FRACC 
CAMPESTRE",97120,MERIDA,YUCATAN,FA0500628,05-nov-07,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL,  
HEMODERIVADOS Y TOXOIDES"
"NUEVA WALMART DE 
MEXICO S DE RL DE CV",WAL MART  MERIDA,FARMACIA,"C 56-A No 379-A X 33-A Y 
AV. PEREZ PONCE",CENTRO,97000,MERIDA,YUCATAN,FA0500633,05-abr-06,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
