ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
"FARMACIA GUADALAJARA SUC. ABRAHAM 
BANDALA","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",CALLE ABRAHAM BANDALA 714,COL. PUEBLO NUEVO,86553,CARDENAS,TABASCO,27002010737,10/11/2017,
FARMACIA GUADALAJARA S.A. DE C.V.,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS","CARRETERA CIRCUITO DEL GOLFO 
122+00 S/N",CENTRO,86500,CARDENAS,TABASCO,27002010723,30/07/2017,
FARMACIA GUADALAJARA S.A. DE C.V.,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",PERIFERICO CARLOS A. MOLINA 589,COL. PASO Y PLAYA,86597,CARDENAS,TABASCO,27002010721,31/05/2017,
FARMACIA DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",ABRAHAM BANDALA NUM.510,CENTRO,86500,CARDENAS,TABASCO,27 002 01 0028,,
"FARMACIA DEL HOSPITAL GENERAL DE 
CARDENAS","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",ABRAHAM BANDALA NO. 601,PUEBLO NUEVO,86500,CARDENAS,TABASCO,27002010278,,
"FARMACIAS DEL AHORRO (SUCURSAL 
PUERTO)","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","ABRAHAM BANDALA ESQUINA 
CARRILLO PUERTO  NUM.703-A",CENTRO,86500,CARDENAS,TABASCO,27 002 01 0029,,
FARMACIA SATURNO S.A. DE C.V.,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","ABRAHAM BANDALA S/N. ANEXO AL 
MERCADO",CENTRO,86500,CARDENAS,TABASCO,27 002 01 0020,,
"FARMACIA YZA CARDENAS LEANDRO 
ADRIANO","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",AVENIDA LAZARO CARDENAS S/N,PUEBLO NUEVO,86500,CARDENAS,TABASCO,27002010696,23/12/2016,
"FARMACIA YZA CARDENAS VILLA BENITO 
JUAREZ","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",JALPA DE MENDEZ NUM. 45,CENTRO,86480,CARDENAS,TABASCO,27002010691,05/12/2016,
FARMACIA YZA CARDENAS PARADERO,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",SANCHEZ MAGALLANES 615 LOCAL 2,CENTRO,86500,CARDENAS,TABASCO,27002010664,08/11/2016,
FARMACIA DE DESCUENTO UNION,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",LEANDRO ADRIANO 208,CENTRO 03:,11 p. m.86500,CARDENAS,TABASCO,27002010695,12/12/2016,
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
"FARMACIA YZA CARDENAS ABRAHAM 
BANDALA","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",ABRAHAM BANDALA 500 INTERIOR A,CENTRO,86500,CARDENAS,TABASCO,27002010636,14/10/2016,
"FARMACIA YZA CARDENAS CENTRO 
HISTORICO","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",PLAZA HIDALGO 120 LOCAL 1,CENTRO,86500,CARDENAS,TABASCO,27002010748,15/01/2018,
FARMACIA YZA CARDENAS MERCADO,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",AV.LAZARO CARDENAS 12,CENTRO,86500,CARDENAS,TABASCO,27002010665,08/11/2016,
FARMACIA YZA CARDENAS TERMINAL,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",ABRAHAM BANDALA NO. 718,PUEBLO NUEVO,86553,CARDENAS,TABASCO,27002010657,28/10/2016,
FARMACIA CHEDRAUI,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",ADOLFO LOPEZ MATEOS S/N.,PUEBLO NUEVO,86500,CARDENAS,TABASCO,27 002 01 0027,,
FARMACIA MAURY,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",ADOLFO LOPEZ MATEOS S/N.,PUEBLO NUEVO,86500,CARDENAS,TABASCO,27 002 01 0022,,
FARMACIAS DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV.BENITO JUAREZ NUM. 238,CENTRO,86500,CARDENAS,TABASCO,27 002 01 0031,,
FARMACIA DE LA CMF CARDENAS ISSSTE,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. LAS PALMAS S/N,FOVISSSTE,86500,CARDENAS,TABASCO,27002010602,,
BODEGA AURRERA CARDENAS,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. LAZARO CARDENAS NUM. 5,CENTRO,86500,CARDENAS,TABASCO,27 002 01 0026,,
FARMACIA YZA CARDENAS TABASCO,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",AV. LAZARO CARDENAS NUM20,CENTRO,86500,CARDENAS,TABASCO,27002010616,29/09/2016,
FARMACIA DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","CALLE MORELOS NO. 125 ESQ. 
GALEANA",CENTRO,86500,CARDENAS,TABASCO,27 002 01 0021,,
FARMACIA YZA CARDENAS GALEANA,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS","CALLE JOSE MARIA MORELOS NUMERO 
108",CENTRO,86500,CARDENAS,TABASCO,27002010683,10/11/2016,
FARMACIA DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE LA CENTRAL L-5,PUEBLO NUEVO,86500,CARDENAS,TABASCO,27 002 01 0023,,
"FARMACIA DEL HOSPITAL GENERAL DE ZONA 
CON MEDICINA FAMILIAR No.2","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",FCO. TRUJILLO GURRIA S/N.,PUEBLO NUEVO,86500,CARDENAS,TABASCO,27 002 01 0016,,
"FARMACIA DE LA UNIDAD MEDICA FAMILIAR 
NUM. 41","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE PRINCIPAL PERIFERICO S/N.,ING. BENITO JUAREZ,,CARDENAS,TABASCO,27 002 01 0017,,
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
"FARMACIA DE LA UNIDAD MEDICA FAMILIAR 
NUM. 5","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CARRETERA RIO SECO,ING. SANTA ROSALIA,,CARDENAS,TABASCO,27 002 01 0011,,
FARMAHORRO,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",JUAREZ NO. 121,"VILLA Y PUERTO SANCHEZ 
MAGALLANES",86500,CARDENAS,TABASCO,27 002 01 0035,,
FARMACIAS DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","LAZARO CARDENAS LOCAL 1,2,3,Y 4",CENTRO,86500,CARDENAS,TABASCO,27 002 01 0024,,
"FARMACIA DE LA UNIDAD MEDICA FAMILIAR 
NUM. 45","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",LEANDRO ADRIANO NUM. 201,CENTRO,86500,CARDENAS,TABASCO,27 002 01 0037,,
FARMACIA DEL AHORRO SUC. SAN LAZARO,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","AV. LAZARO CARDENAS ESQ.LEANDRO 
ADRIANO 210",CENTRO,86500,CARDENAS,TABASCO,27 002 01 0032,,
TIENDAS SORIANA S.A. DE C.V.,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",PERF. CARLOS A. MOLINA NUM. 589,R/A.PASO Y PLAYA,86500,CARDENAS,TABASCO,27 002 01 0033,,
FARMACIA DEL HOSPITAL DE PEMEX,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",ANILLO PERIFERICO ESQ. SECCION 26,EDUARDO SOTO INES,86500,CARDENAS,TABASCO,27 002 01 0034,,
FARMACIAS DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",PLAZA HIDALGO NO. 114,CENTRO,86500,CARDENAS,TABASCO,27002010163,,
"FARMACIA DE LA UNIDAD MEDICA FAMILIAR 
NUM. 7","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",PLUTARCO ELIAS CALLES,POBLADO C-14,86500,CARDENAS,TABASCO,27 002 01 0014,,
"FARMACIA DE LA UNIDAD MEDICA FAMILIAR 
NUM. 8","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",ENTRE LAS CALLES 4 Y 5 S/N.,"POBLADO C-16 EMILIANO 
ZAPATA",86500,CARDENAS,TABASCO,27 002 01 0012,,
"FARMACIA DE LA UNIDAD MEDICA FAMILIAR 
NUM. 9","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",ENTRE LAS CALLES 4 Y 5 S/N.,POBLADO C-21,NO TIENE,CARDENAS,TABASCO,27 002 01 0007,,
"FARMACIA DE LA UNIDAD MEDICA FAMILIAR 
NUM. 10","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE CUATRO S/N.,"POBLADO C-29 VICENTE 
GUERRERO",86500,CARDENAS,TABASCO,27 002 01 0015,,
"FARMACIA DE LA UNIDAD MEDICA FAMILIAR 
NUM. 14","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",ENTRE LAS CALLES 4 Y 5 S/N.,"POBLADO C-33 VEINTE DE 
NOVIEMBRE",86500,CARDENAS,TABASCO,27 002 01 0013,,
FARMACIA DE LA U.M.F. NUM.25 (IMSS),"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",BENITO JUAREZ NUM. 1,"CARRETERA A SANCHEZ 
MAGALLANES",,CARDENAS,TABASCO,27 002 01 0009,,
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
FARMACIA DEL AHORRO SUCURSAL ZOCALO,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",ALLENDE ESQUINA XICOTENCATL S/N.,CENTRO,86500,CARDENAS,TABASCO,27 002 01 0036,,
"FARMACIAS DEL AHORRO SUCURSAL 
ZARAGOZA II","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS","ZARAGOZA ESQ. VICENTE GUERRERO 
S/N",CENTRO,86500,CARDENAS,TABASCO,27002010706,03/02/2017,
"FARMACIAS DEL AHORRO SUCURSAL 
JACINTO LOPEZ","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS","AV.LAZARO CARDENAS ESQUINA 
JACINTO LOPEZ SN.",CENTRO,86500,CARDENAS,TABASCO,27002010701,25/01/2017,
FARMACIAS DE DESCUENTO UNION,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",AVENIDA CHONTALPA 35,CENTRO,86480,CARDENAS,TABASCO,27002010614,21/09/2016,
FARMACIA DE LA CRUZ,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE 2 DE ABRIL SN.,VILLA CUAUHTEMOC,86761,CENTLA,TABASCO,27003010038,,
FARMACIA BRISMA,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AQUILES SERDAN SN.,VILLA CUAUHTEMOC,86750,CENTLA,TABASCO,27003010039,,
"FARMACIA DE LA UNIDAD MEDICA FAMILIAR 
NUM. 20","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","PINO SUAREZ ESQ. MARIANO 
ESCOBEDO SN.",CENTRO,86750,CENTLA,TABASCO,27003010040,,
"FARMACIA DEL HOSPITAL INTEGRAL"" ULISES 
GARCIA HERNANDEZ""","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","ALVARO OBREGON ESQ. 
CONSTITUCIÓN SN.",CENTRO,86751,CENTLA,TABASCO,27003010046,21/11/2006,
