TEC 100  BAJIO S.A. DE C.V.,BOTICA,PRIV. IGNACIO ZARAGOZA No. 16,CENTRO,76000,QUERÉTARO,QUERÉTARO,14 22 14 B-017,2014,"ESTUPEFACIENTES, PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"MI BODEGA AURREGA, SANTA ROSA JAUREGUI",FARMACIA,AV. 20 DE NOVIEMBRE No. 310,"CENTRO, SANTA ROSA JAUREGUI",76222,QUERÉTARO,QUERÉTARO,08 22 14 0404,2008,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"MI BODEGA, EZEQUIEL MONTES",FARMACIA,JOAQUÍN VEGA No. 139,CENTRO,76650,EZEQUIEL MONTES,QUERÉTARO,08 22 07 0405,2008,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
SANTA MARIA,FARMACIA,"LABRADORITA No. 37, LOCAL 3,","INFONAVIT PEDREGOSO,",76808,SAN JUAN  DEL RIO,QUERÉTARO,08 22 16 F-0410,2008,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"TIENDAS SORIANA, S..A. DE C.V.",FARMACIA,VALENTIN GOMEZ FARIAS No. 22,CENTRO,76800,SAN JUAN  DEL RIO,QUERÉTARO,08 22 16 0401,2008,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"TIENDAS SORIANA, S.A DE C.V. (FARMACIA SORIANA)",FARMACIA,"AV. PROLONGACION ZARAGOZA 
No. 80, COL. ENSUEÑO, CIUDAD",ENSUEÑO,76178,QUERÉTARO,QUERÉTARO,08 22 14 0402,2008,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"TIENDAS SORIANA, S.A DE C.V. (FARMACIA SORIANA)",FARMACIA,VALENTÍN GÓMEZ FARIAS No. 22,CENTRO,76800,SAN JUAN  DEL RIO,QUERÉTARO,08 22 16 0401,2008,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"URGENCIAS PEDIATRICAS Y ADULTOS, S.A DE C.V.",BOTICA,"RIVA PALACIO No. 59, COL. 
CENTRO, SAN JUAN DEL RÍO, 
QRO.",CENTRO,76800,SAN JUAN  DEL RIO,QUERÉTARO,822160400,2008,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"DISTRIBUIDORA FARMACEUTICA SANTA MARIA, S.A. DE C.V.",FARMACIA,AV. CAÑAVERAL No. 3,CARRIZAL,76030,QUERÉTARO,QUERÉTARO,14 00103 735,2008,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
AMEALCO,FARMACIA,"ANDADOR JUAREZ NUM.117 
CENTRO",CENTRO,76850,AMEALCO,QUERÉTARO,22 001 09 0001,2009,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
CRISTO REY,FARMACIA,H.COLEGIO MILITAR 139,CENTRO,76650,EZEQUIEL MONTES,QUERÉTARO,09 22 07 F-004,2009,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,PROL. ZARAGOZA #203,EL JACAL,76187,QUERÉTARO,QUERÉTARO,22 014 09 0067,2009,"ESTUPEFACIENTES, PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,FCO. I MADERO No. 49,COL. CENTRO,76500,CADEREYTA,QUERÉTARO,09 22 04 F- 009,2009,"ESTUPEFACIENTES, PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA JV,FARMACIA,"MADERO 116 ESQ.CON CALLE 
S/n CENTRO",CENTRO,76500,CADEREYTA,QUERÉTARO,22 004 09 0001,2009,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA NEPTUNO,FARMACIA,JUÁREZ No. 5 OTE.,CENTRO,76750,TEQUISQUIAPAN,QUERÉTARO,22 17 09 0001,2009,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA QUERETARO,FARMACIA,"AV. INGENIEROS 306 ENTRE 
DOCTORES Y VETERINARIOS",EL MARQUES,76047,QUERÉTARO,QUERÉTARO,22 14 09 0366,2009,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA SAN JORGE,FARMACIA,INDEPENDENCIA SUR No. 32,"CENTRO, SANTA ROSA JAUREGUI",76220,QUERÉTARO,QUERÉTARO,22014090193,2009,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA SANTA MARINA,FARMACIA,CALLE 9 No. 909-A,LOMAS DE CASA BLANCA,76080,QUERÉTARO,QUERÉTARO,09 22 14 F-005,2009,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DE LA OFERTA S. A. DE C. V.,FARMACIA,"FEIPE ANGELES 223 A, COL. 
TECNOLÓGICO,",TECNOLOGICO,76158,QUERÉTARO,QUERÉTARO,09 22 14 F-010,2009,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
OPERADORA DE HOSPITALES ANGELES  S.A. DE C.V.,BOTICA,"BERNARDINO DEL RAZO #21,",ENSUEÑO,76178,QUERÉTARO,QUERÉTARO,22014090160,2009,"ESTUPEFACIENTES, PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
SAN XAVIER,FARMACIA,H.COLEGIO MILITAR 16,CENTRO,76700,PEDRO ESCOBEDO,QUERÉTARO,22 012 09 0002,2009,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
UNIDAD DE MEDICINA FAMILIAR # 7 IMSS,BOTICA,BLVD. DE SAN JUAN # 165,LOMAS DE SAN JUAN,76806,SAN JUAN  DEL RIO,QUERÉTARO,09 22 16 B-009,2009,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
UNIDAD DE MEDICINA FAMILIAR No. 11 (BICENTENARIO) IMSS,BOTICA,"MELCHOR OCAMPO S/N, SANTA 
ROSA JAUREGUI, CIUDAD",PARQUE BICENTANARIO,76220,QUERÉTARO,QUERÉTARO,09 22 14 B-004,2009,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
UNIDAD DE MEDICINA FAMILIAR No. 16 IMSS,BOTICA,"AV. CONSTITUYENTES OTE. # 
118",LAS PALMAS,76040,QUERÉTARO,QUERÉTARO,09 22 14 B-010,2009,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
UNIDAD DE MEDICINA FAMILIAR No. 9 IMSS,BOTICA,"CALZADA GUADALUPE VICTORIA 
No. 100",CARRILLO PUERTO,76138,QUERÉTARO,QUERÉTARO,09 22 14 B-013,2009,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
UNIDAD MEDICA DE ATENCION AMBULATORIA,BOTICA,AV. 4 ESQUINA CALLE  47 S/N,LOMAS DE CASA BLANCA,76080,QUERÉTARO,QUERÉTARO,09 22 14 B-021,2009,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
"UNIDAD DE MEDICINA FAMILIAR N° 5  ""PEDRO ESCOBEDO""",BOTICA,"BLVD. 16 DE SEPTIEMBRE ESQ. 
REVOLUCIÓN S/N",PEDRO ESCOBEDO,76700,PEDRO ESCOBEDO,QUERÉTARO,22 012 009 246,2004,"ESTUPEFACIENTES, PSICOTROPICOS, HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS Y ANTITOXINAS DE ORIEGEN ANIMAL Y 
VEGETAL"
"UNIDAD QUIRUGICA DEL VALLE, S.A. DE C.V.",BOTICA,CONSTITUYENTES 220 PTE.,EL JACAL,76187,QUERÉTARO,QUERÉTARO,2214090287,2009,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
CENTRO MEDICO DEL BAJIO S.A. DE C.V.,FARMACIA,"JOSEFA ORTIZ DE DOMINGUEZ  
102",EL PUEBLITO,76900,CORREGIDORA,QUERÉTARO,10 22 06 F 008,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
DAYAN,FARMACIA,BETANIA No. 5,BETANIA,76805,SAN JUAN  DEL RIO,QUERÉTARO,10 22 16 F-011,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
DIABESITY &HEART,FARMACIA,HIDALGO 189-H,CENTRO,76000,QUERÉTARO,QUERÉTARO,10 22 14 F 010,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
F. UNETE A NUESTRO CORAZÓN,FARMACIA,"JOSEFA ORTÍZ  DE DOMINGUEZ 
2",PEDRO ESCOBEDO,76700,PEDRO ESCOBEDO,QUERÉTARO,10 22 00 F 013,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA DEL AHORRO SUCURSAL MILENIO,FARMACIA,"CALZADA DE LOS ARCOS 177 
C.P. 76024",VILLA LOS ARCOS,76024,QUERÉTARO,QUERÉTARO,10 22 14 F 017,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA LUPITA,FARMACIA,"20 DE NOVIEMBRE # 262A,",SAN FRANCISQUITO,76020,QUERÉTARO,QUERÉTARO,1400103444,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,"SAN DIEGO # 3 COL. CARRILLO 
PUERTO",CARRILLO PUERTO,76138,QUERÉTARO,QUERÉTARO,2214100291,2010,"ESTUPEFACIENTES, PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,"JOSEFA ORTIZ DE DOMINGUEZ 
No. 93",EL PUEBLITO,76900,CORREGIDORA,QUERÉTARO,22006100232,2010,"ESTUPEFACIENTES, PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA LA PAZ,FARMACIA,EUCALIPTO 51,LA CAPILLA,76010,QUERÉTARO,QUERÉTARO,102214 F-016,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA NEPTUNO,FARMACIA,H. COLEGIO MILITAR 25,CENTRO,76750,TEQUISQUIAPAN,QUERÉTARO,10  22 16 F 005,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA PARAISO,FARMACIA,PROL. PINO SUÁREZ 460-A,ENSUEÑO,76178,QUERÉTARO,QUERÉTARO,2214100256,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA REGIO,FARMACIA,CALLE 20 DE NOVIEMBRE No 115,CENTRO,76800,SAN JUAN  DEL RIO,QUERÉTARO,2216100262,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA SAN JORGE,FARMACIA,GUTIERREZ  NAJERA 60,"LA CRUZ, CENTRO",76000,QUERÉTARO,QUERÉTARO,2214100313,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA SAN JOSÉ,FARMACIA,HDA. GRANDE No. 219,EL PEDREGAL,76750,TEQUISQUIAPAN,QUERÉTARO,22017100212,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA SORIANA EXPRESS SUCURSAL TEQUISQUIAPAN,FARMACIA,"CARRETERA SAN JUAN DEL RIO-
XILITLA 83, C.P. 76750 
TEQUISQUIAPAN",CENTRO,76750,TEQUISQUIAPAN,QUERÉTARO,10 22 17 F 021,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO,FARMACIA,"AV. PANAMERICANA 39, C",CENTRO,76700,PEDRO ESCOBEDO,QUERÉTARO,10 22 12 F 006,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO,FARMACIA,H. COLEGIO MILITAR 124,CENTRO,76650,EZEQUIEL MONTES,QUERÉTARO,10 22 07 F 007,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS ESPECIALIZADAS SUCURSAL QUERÉTARO,FARMACIA,AV. IGNACIO ZARAGOZA PTE 340,NIÑOS HEROES,76010,QUERÉTARO,QUERÉTARO,10 22 14 F 018,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA DE LA OFERTA,FARMACIA,"FELIPE ANGELES 223 A,",TECNOLOGICO,76158,QUERÉTARO,QUERÉTARO,10 22 14 F 003,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
LA PROVIDENCIA,DROGUERIA,LUIS G.BALVANERA 9 CENTRO,CENTRO,76000,QUERÉTARO,QUERÉTARO,22014100188,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL, FORMULAS 
MAGISTRALES Y OFICINALES"
MASTERFARMA S.A. DE C.V.,FARMACIA,"CARRETERA SAN JUAN DEL RIO-
XILITLA No. 42",ADOLFO LOPEZ MATEOS,76750,TEQUISQUIAPAN,QUERÉTARO,10 22 17 F 004,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
MI FARMACIA MILENIO,FARMACIA,"IGNACIO PÉREZ SUR No. 50, 
LOCALES 10 Y 11",CENTRO,76000,QUERÉTARO,QUERÉTARO,10 22 14 F 002,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
SAGRADO CORAZON,FARMACIA,HIDALGO 7,CENTRO,76340,JALPAN,QUERÉTARO,22009100167,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
SAN JUAN,FARMACIA,HIDALGO 9 CENTRO,CENTRO,76800,SAN JUAN  DEL RIO,QUERÉTARO,2216100315,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
SERVICIOS CORPORATIVOS MEDICOS DE QUERÉTARO S.C.,FARMACIA,"PROL. PRIVADA ZARAGOZA 16 
INT 8",CENTRO,76000,QUERÉTARO,QUERÉTARO,10 22 00 F 012,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"SERVICIOS MEDICOS DE QUERÉTARO, S.C.",FARMACIA,"PROL. PRIVADA ZARAGOZA 16 
INT. 8",CENTRO,76000,QUERÉTARO,QUERÉTARO,10 22 14 F 011,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
SUPER FARMACIA ISSSTE No. 54,FARMACIA,"20 DE NOVIEMBRE No. 100,",CENTRO,76800,SAN JUAN  DEL RIO,QUERÉTARO,10 22 16 F-009,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
SUPERFARMACIA LA MORENITA,FARMACIA,H. COLEGIO MILITAR # 130,CENTRO,76650,EZEQUIEL MONTES,QUERÉTARO,22007100222,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
TIENDAS SORIANA S.A. DE C.V.,FARMACIA,AV. REVOLUCION No. 99,EL SOL,76113,QUERÉTARO,QUERÉTARO,22 024 01 0357,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
TIENDAS SORIANA S.A. DE C.V.,FARMACIA,"CARRETERA SAN JUAN DEL RIO-
XILITLA 83, C.P. 76750 
TEQUISQUIAPAN",COL. CENTRO,76750,TEQUISQUIAPAN,QUERÉTARO,10 22 17 F 021,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA DE DESCUENTO UNION,FARMACIA,"FRAY SEBASTIAN DE GALLEGOS 
89-1",EL PUEBLITO,76900,CORREGIDORA,QUERÉTARO,10 22 06 F 020,2010,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
BODEGA TINTERO,FARMACIA,AV. REVOLUCION No. 78,FELIPE CARRILLO PUERTO,76138,QUERÉTARO,QUERÉTARO,11 22 14 F 0015,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
BOTICAS SAN JOSE,FARMACIA,PIE DE LA CUESTA NO. 2301,LOMAS DE SAN PEDRITO PEÑUELAS,76140,QUERÉTARO,QUERÉTARO,11 22 14 F 0059,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL MILENIO,FARMACIA,CALZ. DE LOS ARCOS No. 177,VILLAS LOS ARCOS,76024,QUERÉTARO,QUERÉTARO,11 22 14 F 0039,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA DEL HOSPITAL GENERAL DE JALPAN,BOTICA,"NICOLAS BRAVO ESQUINA 
GALEANA S/N",ALCANTARILLAS,76340,JALPAN,QUERÉTARO,11 22 09 B 067,2011,"ESTUPEFACIENTES, PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA FARMADOM,FARMACIA,AV. CONSTITUYENTES No. 9,CIMATARIO,76030,QUERÉTARO,QUERÉTARO,11 22 14 F 0058,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
