ESTABLECIMIENTO,"GIRO (FARMACIA, 
BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION 
AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS)"
FARMACIA INTRAHOSPITALARIA CRIS,FARMACIA,MELCHOR OCAMPO NO.100 SEC. II,SAN ANDRES CUENXCONTITLAN,50200,TOLUCA,ESTADO DE MEXICO,1510609212,25-abr-13,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
ALMACEN Y DISTRIBUCION DE MEDICAMENTOS,ALMACEN DE DISTRIBUCI,"INDUSTRIA ELECTRICAMZA. 2LT.1 2 24 
O3N0 DE MEDICAMENTOS","PARQUE INDUSTEIAL EX. 
HACIENDA DOÑA ROSA",52004,LERMA,ESTADO DE MEXICO,1505108002,10-May-13,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA DE AHORRO SUC. ISIDRO FABELA,FARMACIA,NEZAHUALCOYOTLNO. 501,SAN SEBASTIAN,50090,TOLUCA,ESTADO DE MEXICO,1510609213,22-Jul-13,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA GUADALAJARA SUC. PACIFICO,FARMACIA,CALZADA AL PACIFICON NO. 1500,SAN BUENA BENTURA,50110,TOLUCA,ESTADO DE MEXICO,1510609067,22-Jul-13,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA ESPECIALIZADA LA PAZ,FARMACIA,ALVARO OBREGON309,MODERNA DE LA CRUZ,50180,TOLUCA,ESTADO DE MEXICO,1510609183,08-Jul-13,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA ESPECIALIZADA LA PAZ,FARMACIA,"AV. ALFREDO DEL MAZO VELEZ NO. 
2888INT. B",LA MAGDALENA,50010,TOLUCA,ESTADO DE MEXICO,1510609214,25-Jul-13,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
BOTICA INTRAHOSPITALARIA MONICA PRETELINI,BOTICA,PASEO TOLLOCAN SN,UNIVESIDAD,50130,TOLUCA,ESTADO DE MEXICO,1510610007,11-abr-01,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA BENAVIDES,FARMACIA,AV. SOLIDARIDAD LAS TORRES NO. 109,LA PROVIDENCIA,52172,METEPEC,ESTADO DE MEXICO,15054090072,10-Mar-14,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA UROMEDICA,FARMACIA,ACULCO NO.101,ELECTRICISTAS,50040,TOLUCA,ESTADO DE MEXICO,15106090220,10-Mar-14,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA MI BODEGA AURRERA RANCHO SAN JUAN,FARMACIA,"CARRETERA LIBRE TOLUCA- 
IXTLAHUACA S/N",SANTA JUANA CENTRO,50900,ALMOLOYA DE JUAREZ,ESTADO DE MEXICO,15005090011,10 DEMARZO 2014,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
S.A,FARMACIA,HECTOR ZAMUDIO S/N,CUAUHTEMOC,50010,TOLUCA,ESTADO DE MEXICO,15106090221,10 DE MARZO 2014,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA MI BODEGA AURRERA SANTIAGUITO,FARMACIA,"CARRETERA ALMOLOYA DE JUAREZ 
NO.1301-C",LA LOMA II,51355,ZINACANTEPEC,ESTADO DE MEXICO,15118090019,10-Mar-14,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA GUADALAJARA,FARMACIA,REOLIN BAREJON NO.25,EL CALVARIO LA MERCED,52006,LERMA,ESTADO DE MEXICO,15051090021,24-Mar-14,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA CONSORCIO REPRESENTACIONES DE TOLUCA,FARMACIA,PASEO SAN BUENAVENTURA NO. 501,MORELOS,50120,TOLUCA,ESTADO DE MEXICO,15106090222,24-Mar-14,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA SOLUGLOB IKON,FARMACIA,"NICOLAS SAN JUAN ESQ. GANADERIA 
S.N.",EX. HACIENDA LA MAGDALENA,50010,TOLUCA,ESTADO DE MEXICO,15106090029,SEPTIEMBRE DE 2014,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA NUEVA WALT MART DE MEXICO S. DE R.L. DE C.V,FARMACIA,"CARRETERA TOLUCA VALLE DE BRAVO 
S.N.",SAN FRANCISCO TLACILALCALPAN,50940,ALMOLOYA DE JUAREZ,ESTADO DE MEXICO,15005090013,SEPTIEMBRE DE 2014,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
HOSPITAL REGIONAL TOLUCA ISSEMYM,FARMACIA,DR. NICOLAS SAN JUAN No. 115,EX. HACIENDA LA MAGDALENA,,"SANTA CRUZ 
ATZCAPOTZALTONGO, 
TOLUCA (106)",ESTADO DE MEXICO,15106100001,14/05/15,"ESTUPEFACIENTES, PSICOTROPICOS,  
TOXOIDES, ANTITOXINAS DE ORIGEN 
ANIMAL, VACUNAS, HEMODERIVADOS, 
SUEROS DE ORIGEN ANIMAL,"
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,"AV. PASEO VICENTE LOMBARDO 
TOLEDANO S/N",LA CRESPA,,TOLUCA (106),ESTADO DE MEXICO,15106090002,14/05/15,"PSICOTROPICOS,  TOXOIDES Y VACUNAS"
FARMACIAS DEL AHORRO SUCURSAL “ALFREDO DEL MAZO II”,FARMACIA,VIA ALFREDO DEL MAZO No. 706,SAN LORENZO TEPALTITLAN,,TOLUCA (106),ESTADO DE MEXICO,15106090003,11/05/15,"ESTUPEFACIENTES, PSICOTROPICOS,  
TOXOIDES, ANTITOXINAS DE ORIGEN 
ANIMAL, VACUNAS, HEMODERIVADOS, 
SUEROS DE ORIGEN ANIMAL,"
FARMACIA ALTIUS,FARMACIA,"CARRETERA LIBRE METEPEC A 
ZACANGO No. 421","BARRIO  DE ESPIRITU SANTO, SAN 
JORGE PUEBLO NUEVO",,METEPEC (054),ESTADO DE MEXICO,15054090004,14/05/15,PSICOTROPICOS FRACCION II Y III
PROVEEDORA MEDICO NUTRICIONAL S.A. DE C.V.,FARMACIA,MARIA CURIE No. 1003,CIENTÍFICOS,,TOLUCA (106),ESTADO DE MEXICO,15106090005,14/05/15,HEMODERIVADOS
FARMACIA HSR CA PHARMA,"FARMACIA C/VTA DE 
CONTROLADOS",AV. ISIDRO FABELA No. 609,SAN SEBASTIAN,,TOLUCA,EDOMEX,15 106 09 0009,23/06/15,"(ESTUPEFACIENTES FRACCION I), 
(PSICOTRÓPICOS FRACCION  II, III), 
VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL 
HEMODERIVADOS"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FARMACIAS DEL AHORRO SUCURSAL GLORIETA COLON,FARMACIA,AV. VENUSTIANO CARRANZA No. 122,NO ESPECIFICA,,TOLUCA,ESTADO DE MEXICO,15 106 09 0024,18/04/16,"Estupefacientes Fracción I, Psicotropicos fraccion 
II y III, Toxoides, Vacunas; Hemoderivados, 
Sueros de Origen Animal."
FARMACIAS DEL AHORRO SUCURSAL VICENTE LOMBARDO,FARMACIA,"AV. VICENTE LOMBARDO TOLEDANO 
No. 400",SANTA MARIA TOTOLTEPEC,,TOLUCA,ESTADO DE MEXICO,15 106 09 0025,18/04/16,"Estupefacientes Fracción I, Psicotropicos fraccion 
II y III, Toxoides, Vacunas; Hemoderivados, 
Sueros de Origen Animal."
FARMACIAS DEL AHORRO SUCURSAL LEONA VICARIO,FARMACIA,"AV. LEONA VICARIO PTE. ESQ. 
COMONFORT No. 101",BO. DE COAXUSTENCO,,METEPEC,ESTADO DE MEXICO,15 054 09 0026,18/04/16,"Estupefacientes Fracción I, Psicotropicos fraccion 
II y III, Toxoides, Vacunas; Hemoderivados, 
Sueros de Origen Animal."
"UNIDAD DE FARMACIA HOSPITALARIA MATERNO INFANTIL 
(ISSEMYM)",FARMACIA,,CIENTIFICOS,,TOLUCA,ESTADO DE MEXICO,15 106 10 0027,09/05/16,"Estupefacientes Fracción I, Psicotropicos fraccion 
II y III, Toxoides, Vacunas; Hemoderivados, 
Sueros de Origen Animal."
FARMACIA WAL-MART SUPERCENTER PILARES,FARMACIA,AV. BAJA VELOCIDAD No. 1201 OTE.,SAN JERONIMO CHICAHUALCO,,METEPEC,ESTADO DE MEXICO,15 054 09 0028,19/05/16,"Estupefacientes Fracción I, Psicotropicos fraccion 
II y III, Toxoides, Vacunas; Hemoderivados, 
Sueros de Origen Animal."
FARMACIA LA PAZ,FARMACIA,AV. JOSÉ MARÍA MORELOS Y PAVON,CENTRO,,TOLUCA,ESTADO DE MEXICO,15 106 09 0032,28/06/16,"Estupefacientes Fracción I, Psicotropicos fraccion 
II y III, Toxoides, Vacunas; Hemoderivados, 
Sueros de Origen Animal."
"UNIDAD DE FARMACIA HOSPITALARIA CENTRO MEDICO TOLUCA 
(ISSEMYM)",FARMACIA,"AV. BAJA VELOCIDAD KM. 57.5 CARR. 
MEXICO-TOLUCA  No. 284",SAN JERONIMO CHICAHUALCO,,METEPEC,ESTADO DE MEXICO,15 054 10 0035,20/07/16,"Estupefacientes Fracción I, Psicotropicos fraccion 
II y III, Toxoides, Vacunas; Hemoderivados, 
Sueros de Origen Animal."
"UNIDAD DE FARMACIA HOSPITALARIA CONSULTA EXTERNA 
“ALFREDO DEL MAZO”  (ISSEMYM)",FARMACIA,AV. MORELOS PONIENTE No. 1615,SAN BERNARDINO,,TOLUCA,ESTADO DE MEXICO,15 106 10 0036,20/07/16,"Estupefacientes Fracción I, Psicotropicos fraccion 
II y III, Toxoides, Vacunas; Hemoderivados, 
Sueros de Origen Animal."
"COMERCIALIZADORA AUTO SERVICIO LOS ENCINOS, S.A. DE C.V.",FARMACIA,"AV. INDEPENDENCIA No. 100, LOTE 32",LOS ROBLES,,LERMA,ESTADO DE MEXICO,15 051 09 0039,26/08/16,"Estupefacientes Fracción I, Psicotropicos fraccion 
II y III, Toxoides, Vacunas; Hemoderivados, 
Sueros de Origen Animal."
FARMACIA BODEGA AURRERA ALMOLOYA,FARMACIA,AVENIDA BENITO JUÁREZ S/N,ALMOLOYA DE JUÁREZ,,ALMOLOYA DE JUÁREZ,ESTADO DE MEXICO,15 005 09 0044,07/09/16,"PSICOTROPICOS GRUPOS II, III , 
VACUNAS,TOXOIDES,SUEROS DE ORIGEN 
ANIMAL Y HEMODERIVADOS"
FARMACIA DEL AHORRO SUCURSAL COMONFORT,FARMACIA,"LAS TORRES ESQ. IGNACIO 
COMONFORT No. 466, MZ.2, LOTE 20",SAN CARLOS,,METEPEC,ESTADO DE MÉXICO,15 054 09 0050,14/11/16,"Psicotropicos fraccion II y III, Toxoides, 
Antitoxinas de Origen Animal, Vacunas; 
Hemoderivados, Sueros de Origen Animal."
,,,,,,,,,
FARMACIA ALOPATICA DISUR (CENTRO DE SALUD ALMOLOYA DE ALQUISIRAS),FARMACIA,AV. DE LA PAZ S/N,CUAUTENCO,51860,ALMOLOYA DE ALQUISIRAS,ESTADO DE MEXICO,,,PSICOTROPICOS II Y III
FARMACIA MAYRA,FARMACIA,JUAREZ NO. 33,CABECERA MUNICIPAL,51860,ALMOLOYA DE ALQUISIRAS,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA ALOPATICA ECONOFARMA,FARMACIA,AGUSTIN MILLAN S/N,CABECERA MUNICIPAL,51860,ALMOLOYA DE ALQUISIRAS,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
ECONOFARMA,FARMACIA,FRANCISCO SARABIA NO. 26,SEGUNDA DE SANTA ANA,51700,COATEPEC HARINAS,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA ALOPATICA DISUR (INTRAHOSPITALARIA C. S. HOSPITALIZACION),FARMACIA,V. CARRANZA NO. 9,CABECERA MUNICIPAL,51700,COATEPEC HARINAS,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA ALOPATICA ECONOFARMA,FARMACIA,INDEPENDENCIA NO. 103,CABECERA MUNICIPAL,51900,IXTAPAN DE LA SAL,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA ALOPATICA CONSULTORIO PEDIATRICO,FARMACIA,ALFREDO DEL MAZO NO. 14,IXTAPITA,51900,IXTAPAN DE LA SAL,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA SAN AGUSTIN,FARMACIA,PRIVADA DE SAN ROMAN S/N,,51900,IXTAPAN DE LA SAL,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA DEL AHORRO FRANQUICIA IXTAPAN,FARMACIA,INDEPENDENCIA S/N,BARRIO SANTA CATARINA,51900,IXTAPAN DE LA SAL,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA ALOPATICA DISUR (INTRAHOSP. DEL HOSPITAL GENERAL IXTAPAN,FARMACIA,BOULEVARD IXTAPAN-TONATICO,EL SALITRE,51900,IXTAPAN DE LA SAL,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
"FARMACIA UNIDAD MEDICA FAMILIAR NO. 6, IXTAPAN",FARMACIA,HIDALGO Y CARR. A TONATICO S/N,,51900,IXTAPAN DE LA SAL,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA I.S.S.E.M.Y.M.,FARMACIA,PROLONGACION 16 DE SEPTIEMBRE S/N,IXTAPITA,51900,IXTAPAN DE LA SAL,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA MADRID,FARMACIA,16 DE SEPTIEMBRE NO. 5,,51900,IXTAPAN DE LA SAL,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA ALOPATICA MI BODEGA AURRERA 16 DE SEPTIEMBRE,FARMACIA,PROLONGACION 16 DE SEPTIEMBRE NO. 803,SAN GASPAR,51900,IXTAPAN DE LA SAL,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA MADRID,FARMACIA,ALLENDE NO.8,CABECERA MUNICIPAL,51900,IXTAPAN DE LA SAL,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
"FARMACIA ALOPATICA STAR PHARMACIES, S.A. DE C.V.",FARMACIA,ALLENDE NO. 7 ESQ. 20 DE NOVIEMBRE,SANTA CATARINA,51900,IXTAPAN DE LA SAL,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA GALENUS,FARMACIA,BENITO JUAREZ NO. 25,BARRIO SANTA CATARINA,51900,IXTAPAN DE LA SAL,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
"FARMACIA ALOPATICA DISUR, S.A. DE C.V.",FARMACIA,DOMICILIO CONOCIDO,CABECERA MUNICIPAL,52440,MALINALCO,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
"FARMACIA UNIDAD MEDICA FAMILIAR NO. 36, MALINALCO",FARMACIA,HIDALGO S/N,,52440,MALINALCO,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA SANTA TERESITA,FARMACIA,PLAZA PRINCIPAL NO. 3,,52440,MALINALCO,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA SANTELENA,FARMACIA,PLAZA PRINCIPAL NO. 106,SANTA MONICA,52440,MALINALCO,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA ALOPATICA FARMAPRONTO,FARMACIA,PORFIRIO DIAZ S/N,CABECERA MUNICIPAL,51600,SULTEPEC,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA ALOPATICA DISUR (CENTRO DE SALUD CON HOSP. SULTEPEC),FARMACIA,ROBERTO ACOSTA NO. 8,BO. EL CALVARIO,51600,SULTEPEC,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA ALOPATICA UNIDAD MEDICA FAMILIAR NO. 238,FARMACIA,CAMINO NACIONAL S/N,CABECERA MUNICIPAL,51600,SULTEPEC,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA ALOPATICA CENTRO MEDICO TENANCINGO,FARMACIA,AV. MORELOS NO. 301,CABECERA MUNICIPAL,52400,TENANCINGO,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
"FARMACIA ALOPATICA, HOSPITAL MEXICO",FARMACIA,MOCTEZUMA PTE. NO. 102,CABECERA MUNICIPAL,52400,TENANCINGO,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
COMERCIALIZADORA FARMACEUTICA DEL VALLE S.A. (FARMACIAS DEL AHORRO),FARMACIA,FRANCISCO I. MADERO NO. 303,CABECERA MUNICIPAL,52400,TENANCINGO,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
FARMACIA ALOPATICA ERICK,FARMACIA,GUERRERO NO.113,CENTRO,52400,TENANCINGO,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
"FARMACIA ALOPATICA DISUR (INTRAHOSP. DEL HOSPITAL GENERAL 
TENANCINGO)",FARMACIA,AV. DE LOS INSURGENTES S/N,LA TRINIDAD,52400,TENANCINGO,ESTADO DE MÉXICO,,,PSICOTROPICOS II Y III
