FARMACIA SONORA.,FARMACIA,CALLE 6 ORIENTE #500 E/ CALE 5 Y 6.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0061,09-ago.-11,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SAGRADO CORAZON 
NO. I.",FARMACIA,"CALLE 14 AVE. 20 #1378 BIS E/TRECE 
Y CATORCE.",VALLARTA.,84260,AGUA PRIETA,SONORA,26-002-09-0046,19-jun.-07,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA SIMYRAC.,FARMACIA,"1 AVE. 4 #399 E/PRIMERA E 
INTERNACIONAL.",CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0037,05-ene.-06,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES."
FARMACIA SAN JOSE.,FARMACIA,CALLE 3 AVENIDAS 24 Y 25 S/N.,OBRERA.,84230,AGUA PRIETA,SONORA,26-002-09-0012,22-ago.-02,"PSICOTRÒPICOS (GRUPO II Y III), TOXOIDES."
"FARMACIA SAGRADO CORAZON 
NO. I.",FARMACIA,CALLE 14 AVE. 20 ESQ. NO. 1378.,VALLARTA.,84260,AGUA PRIETA,SONORA,26-002-09-0008,02-ago.-02,"PSICOTRÒPICOS (GRUPO II Y III), TOXOIDES."
"UNIDAD DE MEDICINA FAMILIAR NO. 
50.",BOTICA,"CALLE 1RA. S/N E/AVE. GUERRERO Y 
AVE. RIO LERMA, COL. CENTRO.",ESQUEDA.,84330,AGUA PRIETA,SONORA,26-027-10-0001,18-nov.-05,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, SUEROS DE ORIGEN ANIMAL."
"BOTICA DE LA U.M.F. +MR2 ISSSTE 
AGUA PRIETA.",BOTICA,AVENIDA 14 ESQ. CALLE 14.,INDUSTRIAL.,84269,AGUA PRIETA,SONORA,26-002-10-0010,02-jun.-14,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
BOTICA VARAXI.,BOTICA,"CALLE 3 AVES. 7 Y 8 #750 E/CALLE 
DOS Y TRES.",CENTRO.,84200,AGUA PRIETA,SONORA,26-002-10-0008,23-ago.-11,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
FARMACIA XIVA.,FARMACIA,CALLE 3 AVE. 8 NO. 754.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0016,24-ene.-03,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA VIDA NUEVA.,FARMACIA,CALLE 8 Y AVES. 17 Y 18.,CENTRO.,84200,AGUA PRIETA.,SONORA,26-002-09-0033,19-ene.-05,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES."
FARMACIA BOTICA ECONOMICA.,FARMACIA,"ROSALES #20 E/SERDAN Y JOSE 
MARIA GUERRA 
FLORES.",CENTRO.,85760,ALAMOS,SONORA,26-003-09-0007,24-jun.-14,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"BOTICA DEL HOSPITAL BASICO DE 
ALAMOS.",BOTICA,"FRANCISCO I. MADERO S/N 
ENSEGUIDA 
DE BOMBEROS.",LAS PALMAS.,85266,ALAMOS,SONORA,26-003-10-0001,12-dic.-13,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA SANTAFE SUC. ALAMOS.,FARMACIA,ROSALES #8 LOCAL-2.,CENTRO.,85760,ALAMOS,SONORA,26-003-09-0006,23-ene.-13,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA G.R.,FARMACIA,"CALE FELIX GOMEZ #5 E/OCAMPO Y 
PEDRO PABLO VARELA.",CENTRO.,83750,ALTAR,SONORA,26-004-09-0003,25-sep.-07,PSICOTRÒPICOS (GRUPO II Y III).
"FARMACIA SANTAFE SUC. 
BAVIACORA.",FARMACIA,"OBREGON #13 E/MIGUEL HIDALGO Y 
1ERO. DE MAYO.",CENTRO.,84940,BAVIACORA,SONORA,26-014-09-0001,08-ago.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"BOTICA CENTRO DE SALUD VILLA 
JUAREZ.",BOTICA,DOMICILIO CONOCIDO.,VILLA JUAREZ.,85294,BENITO JUAREZ,SONORA,26-071-10-0001,21-jun.-02,PSICOTRÒPICOS (GRUPO II Y III).
"FARMACIA SANTAFE SUC. BENITO 
JUAREZ.",FARMACIA,CONSTITUCION Y 20 DE NOVIEMBRE.,CENTRO.,85294,BENITO JUAREZ,SONORA,26-071-09-0003,25-mar.-11,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL",MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), (PSICOTRÓPICOS  II, 
III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS)"
FARMACIA SAN JORGE.,FARMACIA,CARRETERA INTERNACIONAL S/N.,SAN FERNANDO.,83905,BENJAMIN HILL,SONORA,26-016-09-0004,30-oct.-14,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
BOTICA DEL IMSS.,BOTICA,"SEGUNDA Y ""C"" S/N.",COL. FERROCARIL.,83900,BENJAMIN HILL,SONORA,26-016-10-0001,23-may.-03,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS 
DE ORIGEN ANIMAL."
FARMACIA NUEVA.,FARMACIA,"CALLE MIGUEL ALEMAN #123 AVE. 
LUCINDA
 Y CUBILLAS.",CENTRO.,83900,BENJAMIN HILL,SONORA,26-016-09-0002,18-mar.-03,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS 
DE ORIGEN ANIMAL."
"FARMACIA ""B.H"".",FARMACIA,DAVILA #6 E HIDALGO.,FUNDO LEGAL.,83900,BENJAMIN HILL,SONORA,26-016-09-0001,13-feb.-03,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, SUEROS DE ORIGEN ANIMAL."
FARMACIA EXPRESS DEL AHORRO.,FARMACIA,"AVE. ADALBERTO SOTELO #60-A E/
CALLES 8 Y 9.",CENTRO.,83600,CABORCA,SONORA,26-017-09-0023,11-jul.-08,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES."
"BOTICA DEL HOSP. GRAL. DE 
SUBZONA CON MED. FARM. NO.51.",BOTICA,DOMICILIO CONOCIDO.,PUERTO LIBERTAD.,83970,CABORCA,SONORA,26-017-10-0001,01-may.-02,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA GENERICOS Y 
SIMILARES DE CABORCA.",FARMACIA,AVE. B Y CALLE 20 #59.,LAZARO CARDENAS.,83600,CABORCA,SONORA,26-017-09-0013,19-jun.-06,"PSICOTRÒPCOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL."
"FARMACIAS BENAVIDES SUC. LEY 
CABORCA.",FARMACIA,"BLVD. BENITO JUAREZ #182 INT. 
CASA LEY.",CENTRO.,83600,CABORCA,SONORA,26-017-09-0021,03-dic.-07,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
BOTICA I.S.S.S.T.E.,BOTICA,CALLE BIZANI #137 E/AVE. K Y AVE. L.,AGRONOMICA.,83600,CABORCA,SONORA,26-017-10-0006,27-mar.-06,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL."
"FARMACIAS BENAVIDES SUC. 
DESIERTO.",FARMACIA,ALVARO OBREGON #138.,CENTRO.,83600,CABORCA,SONORA,26-017-09-0019,29-oct.-07,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"BOTICA CLINICA 
MAGISTERIAL 
SIGLO XXI, A.C.",BOTICA,"OBREGON Y AVE. 5 DE MAYO #151 
ESTE.",CENTRO.,83600,CABORCA,SONORA,26-017-10-0008,22-oct.-08,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
BOTICA IMSS.,BOTICA,OBREGON FINAL ESTE.,EL ALTO.,83600,CABORCA,SONORA,26-017-10-003,13-jul.-04,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III)."
"FARMACIA BODEGA AURRERA 
CABORCA.",FARMACIA,CALLE TERCERA Y CUARTA S/N.,CENTRO.,83600,CABORCA,SONORA,26-017-09-0024,16-ene.-09,PSICOTRÒPICOS (GRUPO II Y III).
"BOTICA HOSPITAL GENERAL DE 
ZONA NO. 8.",BOTICA,"OBREGON FINAL ESTE #185, E/AVE. 
MORELOS Y 16 DE SEPTIEMBRE.",EL ALTO.,83600,CABORCA,SONORA,26-017-10-0010,05-sep.-15,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
FARMACIA MTZ.,FARMACIA,"QUIROZ Y MORA #74 SUR, DEPTO. 3 
E/CALLE PRIMERA Y SEGUNDA.",CENTRO.,83600,CABORCA,SONORA,26-017-09-0037,15-ago.-15,PSICOTRÒPICOS (GRUPO II Y III).
FARMACIA SANTA FE.,FARMACIA,AVE. J  #79-1 NTE.,CENTRO.,83600,CABORCA,SONORA,26-017-09-0003,26-mar.-02,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. 
CABORCA.",FARMACIA,"AVENIDA ALVARO OBREGON #129 
E/CALLE K Y CALLE L.",CENTRO.,83600,CABORCA,SONORA,26-017-09-0036,03-dic.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. 
CABORCA QUIROZ.",FARMACIA,AVE. QUIROZ #100 E/MORA Y DIEZ.,CENTRO.,83600,CABORCA,SONORA,26-017-09-0033,23-mar.-11,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. 6 DE 
ABRIL.",FARMACIA,AVENIDA 6 DE ABRIL #20 Y CALLE 8.,CENTRO.,83600,CABORCA,SONORA,26-017-09-0025,01-dic.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SORIANA EXPRESS 
CABORCA.",FARMACIA,"AVE. 6 DE ABRIL #60 NORTE 
E/CALLES SIETE 
Y OCHO.",CENTRO.,83600,CABORCA,SONORA,26-017-09-0038,14-abr.-16,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA LA PLAZA SUC. 
CABORCA.",FARMACIA,"CALLE 34 #118 ORIENTE E/AVE. LUIS 
ANIMAS Y AVE. RAMON ESQUER.",SANTA CECILIA.,83624,CABORCA,SONORA,26-017-09-0039,02-may.-16,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
