ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
"FARMACIA DE LA CLINICA HOSPITAL ""A"" ISSSTE PINOTEPA 
NACIONAL",FARMACIA,CARRETERA COLLANTES S/N,BARRIO EL ZAPOTE,71607,"PINOTEPA NACIONAL, 
SANTIAGO JAMILTEPEC",OAXACA,2068010828,02-jul.-13,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, OXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
FARMACIA SAMS CLUB SALINA CRUZ II,FARMACIA,"CARRETERA TRANSISMICA No. 
11",GRANADILLO,70613,SALINA CRUZ,OAXACA,2068010829,03-jul.-13,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA SAN MIGUEL,FARMACIA,AV. 15 DE JULIO No. 27,CENTRO,68420,"VICENTE CAMALOTE, ACATLAN 
DE PEREZ FIGUEROA",OAXACA,2068010831,11-jul.-13,"VENTA DE PSICOTROPICOS GRUPOS II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE OIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA MI BODEGA AURRERA PUERTO ESCONDIDO,FARMACIA,"AV. CUARTA PONIENTE ANTES 
CAMINO REAL",GRANJAS DEL PESCADOR,71984,SAN PEDRO MIXTEPEC,OAXACA,2068010833,05-sep.-13,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL DE ZONA IXCOTEL, OAX.",FARMACIA,"CARRETERA INTERNACIONAL 
S/N, CAMPO MIL. No. 28-A",SANTA MARIA IXCOTEL,68050,STA. LUCIA DEL CAMINO,OAXACA,2068010834,06-sep.-13,"CON VENTA DE ESTUPEFACIENTS GRUPO I, PSICOTROPICOS GRUPO II 
Y III"
FARMACIA LA PAZ,FARMACIA,"CALZADA PORFIRIO DIAZ No. 350 
LOCAL 1",REFORMA,68050,"OAXACA DE JUAREZ, OAX.",OAXACA,2068010835,06-sep.-13,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
FARMACIA SAN JORGE,FARMACIA,MOTOLINIA EXT 1 C Y D,CENTRO,69000,HUAJUAPAN DE LEON,OAXACA,2068010640,01-feb.-13,"CON VENTA DE ESTUPEFACIENTS GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
FARMACIA DE LA CLINICA HOSPITAL  B DE TEHUANTEPEC,FARMACIA,"CARRETERA TRANSISTMICA 
KM.7",BARRIO SANTA CRUZ,70760,"SANTO DOMINGO 
TEHUANTEPEC",OAXACA,2068010235,11-jun.-13,"CON VENTA DE ESTUPEFACIENTS GRUPO I,, PSICOTROPICOS GRUPO II 
Y III"
"FARMACIA ALOPATICA ""DEL PUEBLO""",FARMACIA,16 DE SEPTIEMBRE No. 30,CENTRO,68400,LOMA BONITA,OAXACA,2068010678,21-jun.-13,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
2014,,,,,,,,,
FARMACIAS OMEGA,FARMACIA,"CALZADA PORFIRIO DIAZ No. 
1007",REFORMA,68050,"OAXACA DE JUAREZ, OAX.",OAXACA,2068010842,23-ene.-14,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA SAM'S CLUB TUXTEPEC,FARMACIA,"BOULEVARD BENITO JUAREZ No. 
1101",FRACC. LOS ANGELES,68370,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,2068010843,23-ene.-14,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA OMEGA,FARMACIA,"AV. EDUARDO MATA 1912, LOCAL 
7",CENTRO,68000,"OAXACA DE JUAREZ, OAX.",OAXACA,2068010845,27-ene.-14,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA OMEGA,FARMACIA,"MORELOS, ESQ. CARRET. 
INTERNACIONAL No. 72, L-1",CENTRO,68200,VILLA DE ETLA,OAXACA,2068010846,27-ene.-14,CON VENTA DE PSICOTROPICOS GRUPO II Y III
TIENDAS SORIANA S.A. DE C.V. (FARMACIA),FARMACIA,AV. 5 DE FEBRERO No. 227-A,TEPEYAC,69006,"HEROICA CIUDAD DE 
HUAJUAPAN DE LEON",OAXACA,2068010848,27-feb.-14,"CON VENTA DE ESTUPEFACIENTES GRUPO IM PSICOTROPICOS GRUPO 
II Y III"
FARMACIAS DEL AHORRO,FARMACIA,"BOULEVARD MANUEL AVILA 
CAMACHO No. 14",LAZARO CARDENAS,68340,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,2068010849,18-mar.-14,CON VENTA DE PSICOTROPICOS GRUPO II Y III
FARMACIAS DEL AHORRO,FARMACIA,MATAMOROS No. 87,,68300,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,2068010850,20-mar.-14,CON VENTA DE PSICOTROPICOS GRUPO II Y III
FARMACIA SAN MIGUEL,FARMACIA,"AV. DIAGONAL GENERAL 
IGNACIO DE LA LLAVE 27",VICENTE Y CAMALOTE,68422,ACATLAN DE PEREZ FIGUEROA,OAXACA,2068010852,13-may.-14,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA BODEGA AURRERA TEHUANTEPEC,FARMACIA,"CARRETERA TRANSISMICA DEL 
BARRIO IXHANA KILOMETRO 20",SAN PABLO,70760,"SANTO DOMINGO 
TEHUANTEPEC",OAXACA,2068010854,25-mar.-14,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIAS OMEGA,FARMACIA,"AND. 8 OTE. MANZANA G. 
LOCALES 9 Y 10,",COSIJOEZA,68090,"OAXACA DE JUAREZ, OAX.",OAXACA,2068010855,30-abr.-14,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA ANGELES DEL SUR,FARMACIA,AV. LIBERTAD ESQ. MATAMOROS,CENTRO,68300,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,2068010856,13-may.-14,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III"
FARMACIA FARMAPRONTO,FARMACIA,INDEPENDENCIA No. 62,SECCION SEGUNDA,68470,SAN LUCAS OJITLAN,OAXACA,2068010857,20-may.-14,CON VENTA DE PSICOTROPICOS GRUPO II Y III
FARMACIA SAN FRANCISCO,FARMACIA,AV. 5 DE MAYO 1895,LA PIRAGUA,68380,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,2068010858,03-jun.-14,CON VENTA DE PSICOTROPICOS GRUPO II Y III
FARMACIAS FARMAPRONTO,FARMACIA,16 DE SEPTIEMBRE No. 12,CENTRO,68400,LOMA BONITA,OAXACA,2068010859,03-jun.-14,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIAS ESQUIVAR S.A. DE C.V. (SUC. MATIAS ROMERO),FARMACIA,"16 DE SEPTIEMBRE SUR ESQ. 
EMILIO CARRANZA S/N",CENTRO,70300,MATIAS ROMERO DE AVENDAÑO,OAXACA,2068010860,03-jul.-14,CON VENTA DE PSICOTROPICOS GRUPO II Y III
"FARMACIA DE CONSULTORIO JUCHITAN, OAXACA",FARMACIA,"CALLE GUANACASTLES ESQUINA 
COLORINES",FRACC. REFORMA,70050,JUCHITAN,OAXACA,2068010861,03-jul.-14,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA MI BODEGA AURRERA MATIAS ROMERO,FARMACIA,CALLE PORFIRIO DIAZ No. 500,CENTRO,70300,MATIAS ROMERO AVENDAÑO,OAXACA,2068010862,15-ago.-14,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIAS OMEGA,FARMACIA,HORNOS No. 330,STA. LUCIA DEL CAMINO,71228,"OAXACA DE JUAREZ, OAX.",OAXACA,2068010863,15-ago.-14,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
FARMACIAS DEL AHORRO SUCURSALL POCHUTLA,FARMACIA,AV. LAZARO CARDENAS No. 46,CENTRO,70900,SAN PEDRO POCHUTLA,OAXACA,2068010865,19-sep.-14,CON VENTA DE PSICOTROPICOS GRUPO II Y III
"FARMACIA DEL CENTRO DE SALUD CON SERVICIOS AMPLIADOS DE 
TLALIXTAC DE CABRERA",FARMACIA,CAMINO DEL RANCHO No. 713,"SECCION SEGUNDA, BARRIO SAN MIGUEL",68250,TLALIXTAC DE CABRERA,OAXACA,2068010867,26-nov.-14,"CON VENTA DE ESTUPEFACIENTES GRUPO 1, PSICOTROPICOS GRUPO 
II Y III"
FARMACIAS OMEGA,FARMACIA,"ANDADOR ORIENTE MODULO D. 
MDO. ABASTOS No. 28 Y 33",COSIJOEZA,68090,OAXACA DE JUAREZ,OAXACA,2068010840,07-abr.-14,CON VENTA DE PSICOTROPICOS GRUPO II Y III
FARMACIAS OMEGA,FARMACIA,LAS CASAS No. 111 D,CENTRO,68000,OAXACA DE JUAREZ,OAXACA,2068010837,07-abr.-14,CON VENTA DE PSICOTROPICOS GRUPO II Y III
CHEDRAUI,FARMACIA,BLVD. BENITO JUAREZ No. 1291,LOS ANGELES,68301,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,2068010396,23-ene.-14,CON VENTA DE PSICOTROPICOS GRUPO II Y III
FARMACIA DEL HOSPITAL GENERAL MARIA LOMBARDO DE CASO,FARMACIA,"5 SEÑORES ESQUINA LIC. 
HELADIO RAMIREZ",,70215,"MARIA LOMBARDO DE CASO, 
SAN JUAN COTZOCON MIXE",OAXACA,2068010690,19-sep.-14,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEOS, ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
2015,,,,,,,,,
CLINICA TEO JUCHITAN (FARMACIA),FARMACIA,"5 DE SEPTIEMBRE No. 9, LOCAL 5",CENTRO,70300,JUCHITAN DE ZARAGOZA,OAXACA,2068010868,02-mar.-15,CON VENTA DE PSICOTROPICOS GRUPO II Y III
FARMACIA DEL HOSPITAL COMUNITARIO SANTA MARIA HUATULCO,FARMACIA,"JUAN DE LA BARRERA S/N,",BARRIO NUEVO,70980,SANTA MARIA HUATULCO,OAXACA,2068010870,07-abr.-15,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III"
FARMACIA WAL MART SUPERCENTER MACRO PLAZA OAXACA,FARMACIA,AV. INTERNACIONAL No. 2002,NUEVA SANTA LUCIA,71228,STA. LUCIA DEL CAMINO,OAXACA,20680010871,29-abr.-15,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA SORIANA,FARMACIA,"MANZNA 1 LOTE 10 BAHIA 
CONEJOS, SECTOR T",STA. CRUZ HUATULCO,70989,STA. MARIA HUATULCO,OAXACA,2068010873,25-jun.-15,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA DE LA POLICLINICA DE LA MUJER Y DEL HOMBRE,FARMACIA,CLAVEL No. 19,JARDINES DEL SUR,69007,"HEROICA CIUDAD DE 
HUAJUAPAN DE LEON",OAXACA,2068010874,21-jul.-15,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III"
FARMACIA XIPE (DIOS ZAPOTECO),FARMACIA,5 DE FEBRERO No. 14,CENTRO,70430,VILLA DE MITLA,OAXACA,2068010875,21-jul.-15,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, BIOLOGICOS"
FARMACIA FARMAPRONTO,FARMACIA,MORELOS SIN NUMERO,ESTACION,70110,CIUDAD IXTEPEC,OAXACA,2068010876,25-ago.-15,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA DEL HOSPITAL BASICO COMUNITARIO DE JUQUILA,FARMACIA,"KM. 1 CARRETERA A RIO 
GRANDE S/N",BARRIO GRANDE,71900,STA. CATARINA JUQUILA,OAXACA,2068010707,23-abr.-15,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL BASICO COMUNITARIO DE SAN JACINTO 
TLACOTEPEC",FARMACIA,"CONOCIDO SAN JACINTO 
TLACOTEPEC",SAN JACINTO TLACOTEPEC,70403,SAN JACINTO TLACOTEPEC,OAXACA,2068010878,06-oct.-15,"CON VENTA DE ESTUPEFACIENTES GRUPO I,PSICOTROPICOS GRUPO II 
Y III"
FARMACIA SINAI,FARMACIA,16 DE SEPTIEMBRE No. 87,PRIMERA SECCION,7000,JUCHITAN DE ZARAGOZA,OAXACA,2068010879,05-nov.-15,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III"
FARMACIA ALBATROS SUCURSAL CARRANZA,FARMACIA,AV. JESUS CARRANZA No. 1547,COL. MARIA LUISA,68320,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,2068010880,05-nov.-15,CON VENTA DE PSICOTROPICOS GRUPO II Y III
FARMACIAS DEL AHORRO SUC. SALINA CRUZ,FARMACIA,"MANUEL AVILA CAMACHO Y 
GUAYMAS S/N",CENTRO,70600,SALINA CRUZ,OAXACA,2068010881,15-dic.-15,CON VENTA DE PSICOTROPICOS GRUPO II Y III
2016,,,,,,,,,
FARMACIA DEL HOSPITAL RURAL No. 18 IMSS,FARMACIA,"DIAGONAL 5 DE FEBRERO No, 8",LA SOLEDAD,69006,HUAJUAPAN DE LEON,OAXACA,2068010864,15-ene.-16,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III"
"FARMACIA DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y 
EQUIPO MEDICO S.A. DE C.V.",FARMACIA,ALDAMA S/N-A,PARAJE EL TULE,71256,SAN BARTOLO COYOTEPEC,OAXACA,2068010853,02-feb.-16,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, BIOLOGICOS Y HEMODEIVADOS"
"FAMACIA DEL CENTRO DE REHABILITACION E INCLUSION INFANTIL 
TELETON OAXACA",FARMACIA,"BOULEVARD GUADALUPE 
HINOJOSA DE MURAT No. 1000",SAN RAYMUNDO JALPAN,71248,SAN RAYMUNDO JALPAN,OAXACA,2068010753,18-feb.-16,"CON VENTA DE ESTUPEFACIENTES GRUPO 1, PSICOTROPICOS GRUPO 
II Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS."
FAMACIA BODEGA AURRERA MONTOYA,FARMACIA,"CARRETERA NUEVA A 
MONTEALBAN No. 101",MONTOYA,68036,OAXACA DE JUAREZ,OAXACA,2068010772,23-feb.-16,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FAMACIAS DEL AHORRO,FARMACIA,"PROLG. DE MELCHOR OCAMPO 
No. 1001",CENTRO,68000,OAXACA DE JUAREZ,OAXACA,2068010540,15-abr.-16,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
FARMACIA DE LA DIRECCION GENERAL DE REINSERCION SOCIAL,FARMACIA,"CARRETERA FEDERAL KM. 36, 
SIN NUMERO",TANIVET,70403,TLACOLULA DE MATAMOROS,OAXACA,2068010883,17-may.-16,CON VENTA DE PSICOTROPICOS GRUPO II Y III
