ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
Organización Farmaceutica LUMIG S.A de C.V,Farmacia,Lira y Ortega no. 4-A,Centro,90000,Tlaxcala,Tlaxcala,497,26-ago-16,"medicamentos grupos I,II,III Vacunas, toxoides, sueros de origen animal, 
antitoxinas, hemoderivados"
Botica Unidad Medica Familiar no. 20,Botica,"Narciso Mendozas/n 
esq.Morelos Poniente",Centro,90500,Huamantla,Tlaxcala,508,,No es´pecifica
,Farmacia,16 de septiembre no.24,Aquiahuac,90840,San Francisco Tetlanohcan,Tlaxcala,512,20 de marzo de 2000,
Farmacia San Francisco,Farmacia,"Hidalgo no. 4 San Felipe 
Ixtacuixtla",Centro,90120,Ixtacuixtla,Tlaxcala,518,13-abr-00,No especifica
,Farmacia,Guillermo Valle 115,Centro,90000,Tlaxcala,Tlaxcala,521,06 de octubre de 2014,"Comercialización grupos I,II y III"
San Miguel,Farmacia,Calle Pablo Sidar 193,Barrio San Miguel,90970,San Pablo del Monte,Tlaxcala,525,17-may-16,"Grupo II, III, toxoides, antitoxinas, vacunas, hemoderviados, sueros de origen 
animal"
Organización Farmaceutica LUMIG S.A de C.V,Farmacia,Cuauhtémoc Sur No. 905-A,Centro,90300,Apizaco,Tlaxcala,526,29-ene-16,"Grupo II, III, toxoides, antitoxinas, vacunas, hemoderviados, sueros de origen 
animal"
Tiendas Soriana S.A. de C.V.,Farmacia,"Blvd. Santa Ana- Ocotlan No. 
20",Ocotlán,90100,Tlaxcala,Tlaxcala,528,04-dic-15,Manejo de medicamentos psicotropicos grupos II y III
Botica Unidad Médico Familiar no. 18 IMSS,botica,Manuel Avila Camacho s/n,Centro,90640,Santa Cruz,Tlaxcala,529,13-ene-15,Manejo de medicamentos psicotropicos grupos II y III
Botica Santa Fe,Botica,27 de septiembre no. 16,Centro,90540,Terrenate,Tlaxcala,530,25-oct-00,No especifica
Unidad Medico Familiar No. 6 IMSS,Botica,"Avenida de las Industrias no. 
24",Centro,90796,Xicohténcatl,Tlaxcala,538,18-ags-15,Manejo de medicamentos psicotropicos y biologicos
Botica de la U.M.F. Núm 35,Botica,Av. Juárez num. 1,Centro,90280,Nanacamilpa,Tlaxcala,541,01-feb-01,Manejo de medicamentos psicotropicos grupos II y III
Servicios Farmaceuticos Pensiones Civiles de Tlax.,Farmacia,Lira y Ortega no. 9 int 1,Centro,90000,Tlaxcala,Tlaxcala,543 08-mar-01 Expendio de Medicamentos psicotropicos vacunas y toxxoides,,
Farmacias Guadalajara S.A.de C.V.,Farmacia,Av. Juárez num. 38,Centro,90000,Tlaxcala,Tlaxcala,554,17-dic-12,venta de medicamentos psicotropicos vacunas y toxoides
Farmacias del Ahorro,Farmacia,Ignacio Picazo . No. 95,Centro,90800,Chiautempan,Tlaxcala,557,13-may-14,"psicotropicos grupos, II y III, vacunas, toxoides, suerosde origen animal, 
antitoxinas de origen animal y hemoderivados."
Farmacia El Angel,Farmacia,Av. 16 de septiembre núm. 23,Centro,90770,Sta.Catarina Ayometla,Tlaxcala,560,04-jun-02,No especifica
Fernandez,Farmacia,5 de mayo número 52,Centro,90670,San Miguel Contla,Tlaxcala,567,22-oct-02,No especifica
Tiendas Soriana S.A de C.V,Farmacia,"Blv. Ocotlan-Sta Ana 
Chiautempan no. 20",Ocotlan,90000,Tlaxcala,Tlaxcala,573,18-dic-02,No especifica
Farmacia Bodega AURRERA,Farmacia,Julian Carrillo no. 7,Centro,90000,Tlaxcala,Tlaxcala,580,16-dic-13,"Grupo II, III, toxoides, antitoxinas, vacunas, hemoderviados, sueros de origen 
animal"
Farmacia la Luz,Farmacia,Av. San Martín no. 51,Centro,90710,Nativitas,Tlaxcala,583,12-ago-03,No especifica
Farmacias del Ahorro,Farmacia,Av. Juárez Nte 110-A,Centro,90500,Huamantla,Tlaxcala,584,13-nov-12,"Grupo II, III, toxoides, antitoxinas, vacunas, hemoderviados, sueros de origen 
animal"
Farmacia  Osiris,Farmacia,Plaza Principal No. 5,Centro,90250,Tlaxco,Tlaxcala,593 24-oct-03 No especifica,,
Farmacia Guadalajara S.A de C.V,Farmacia,Ignacio Picazo Nte. No. 25,Centro,90800,Chiautempan,Tlaxcala,626,13-ene-05,"medicamentos psicotropicos grupos IIy III, toxoides, antitoxinas, vacunas, 
hemoderivados, sueros de origen animalsg"
Organización Farmaceutica LUMIG S.A de C.V,Farmacia,Juárez norte 108,Centro,90500,Huamantla,Tlaxcala,606,12 de oct-2012,"psicotropicos grupos, II y III, vacunas, toxoides, suerosde origen animal, 
antitoxinas de origen animal y hemoderivados."
Organización Farmaceutica LUMIG S.A de C.V,Farmacia,Lardizabal NO. 75-A,Centro,90000,Tlaxcala,Tlaxcala,609,16-jul-15,"medicamentos psicotropicos grupos II, III,  antitoxinas, vacunas, hemoderivados,  
sueros de origen animal"
Botica,Botica,Tlaxcala-Puebla No. 5,2da. Sección,90740,Zacatelco,Tlaxcala,611,10-sep-13,"psicotropicos grupos, II y III, vacunas, toxoides, suerosde origen animal, 
antitoxinas de origen animal y hemoderivados."
Comercializadora de Chiautempan S.A de C.V,Farmacia,Carretera Puebla Tlaxcala 1,Sección II,90740,Zacatelco,Tlaxcala,617,06-jun-04,No especifica
La Nueva San José,Farmacia,"Av. Cuauhtémoc, 1107 -1A",Centro,90300,Apizaco,Tlaxcala,629,21-oct-16,"psicotropicos grupos, II y III, vacunas, toxoides, suerosde origen animal, 
antitoxinas de origen animal y hemoderivados."
Botica Unidad Médico Familiar no. 37,botica,"Calle Porfirio Bonilla esq. 
Hidalgo s/n",Centro,90200,Calpulalpan,Tlaxcala,637,07-abr-05,Botica con venta de medicamentos controlados fracción II y III
Sagrado Corazón de Jesús,Farmacia,"Carr.México VeracruzKm. 78 
s/n",Centro,90200,Calpulalpan,Tlaxcala,641,07-jul-05,Grupos II y III
Farmacia San Juan,Farmacia,Plaza de la Constitución no. 7,Centro,90580,Ixtenco,Tlaxcala,647,,"Psicotropicos II ,III"
Farmacia,Farmacia,"Josefa Ortiz de Dominguez 
núm. 3",Sección Segunda,90850,San Luis Teolocholco,Tlaxcala,648,14-oct-05,Farmacia  con venta de medicamentos controlados grupos II y III
"Unidad de medicina Familiar  ""A"" Calpulalpan",Botica,"Prolongación Camino Nacional 
No.2.",Centro,90200,Calpulalpan,Tlaxcala,652,06-jul-15,Venta de psicotropicos grupos II y III
Farmacia Super Che,Farmacia,Allende norte número 602,Centro,90500,Huamantla,Tlaxcala,657,01-mar-06,Venta de psicotropicos grupos II y III
Farmacia ISSSTE,Farmacia,Av. Calle Alamo s/n,La Noria,90300,Apizaco,Tlaxcala,661,23-sep-13,"Comercio al por menor de productos farmaceuticos y de perfumeria con venta de 
estupefacientes psicotropicos biologicos y hemoderivados grupos II, III"
,,5 de febrero No.508-A,,,,Tlaxcala,678,,"No se señalan grupos suponiendo los tres, biologicos y hemoderivados"
"Super  Farmacia ""San Miguel""",Farmacia,Av. Hidalgo No. 309-A,Centro,90300,Tlaxcala,Tlaxcala,679,29-sep-06,"No se señalan grupos suponiendo los tres, biologicos y hemoderivados"
"Farmacias  ""Guadalajara"" DE S.A. DE C.V.",Farmacia,Cuauhtémoc No. 207,Centro,90300,Apizaco,Tlaxcala,682,17-oct-06,No se señalan grupos
"Farmacia  ""el Calvario""",Farmacia,Guerrero Nte.122,Centro,90500,Tlaxcala,Tlaxcala,683,19-dic-06,Estupefacientes y Psicotropicos biologicos y hemoderivados
Farmacias de descuento,Farmacia,Justo Sierra No. 13,Centro,90000,Tlaxcala,Tlaxcala,684,19-nov-06,
Farmacias del Ahorro Calpulalpan,Farmacia,5 de mayo No. 16 esq. Galeana,Centro,90200,Tlaxcala,Tlaxcala,685,11-dic-06,Estupefacientes y Psicotropicos biologicos y hemoderivados
"Unidad Médica   ""Texoloc""",Farmacia,Constitución No. 19-C,Centro,90731,Tetlatlahuca,Tlaxcala,687,15-dic-06,Estupefacientes y Psicotropicos biologicos y hemoderivados
Farmacia Intrahospitalaria Cedros,Farmacia,Cedros No.5,Atempan,90010,Tlaxcala,Tlaxcala,689,18-mar-16,"Comercio al por menor de productos farmaceuticos y de perfumeria 
estupefacientes y psicotropicos biologicos y hemoderivados"
Farmacia del Ahorro,Farmacia,Aquiles Serdan No. 402,Centro,90300,Apizaco,Tlaxcala,691,13-may-07,Estupefacientes y Psicotropicos biologicos y hemoderivados
Bodega CHiautempan Farmacia,Farmacia,Antonio Díaz Varela 135,Centro,90800,Chiautempan,Tlaxcala,692,15-jun-07,"Comercio al por menor de productos farmaceuticos y de Perfumeria, 
estupefacientes, psicotropicos, biólogicos y hemoderivados"
Farmacia Leo`s,Farmacia,16 de septiembre No. 5,Centro,90460,Xaltostoc,Tlaxcala,693,23-jun-07,Estupefacientes y Psicotropicos biologicos y hemoderivados
Farmacia San Agustín,Farmacia,Nicolas Bravo No. 48,Centro,90570,Tequesquitla,Tlaxcala,694,12-jul-07,Estupefacientes y Psicotropicos biologicos y hemoderivados
Farmacia C.M.E,Farmacia,Guerrero Nte.300,Barrio el Calvario,90500,Huamantla,Tlaxcala,695,13-jul-07,Estupefacientes y Psicotropicos biologicos y hemoderivados
Farmacia Intrahospitalaria Hospital Infantil de Tlaxcala,Farmacia,20 Noviembre s/n,Centro,90606,Apetatitlan de Antonio Carbajal,Tlaxcala,696,15-mar-12,"Grupos I,II, III, Biologicos y hemoderivados"
Farmacia del hospital general de zona c/ medicina familiar no. 2,Farmacia,Centenario esq. V. Carranza,San Martín de Porres,90337,Apizaco,Tlaxcala,697,13-ags-2013,"Farmacia sin minisuper con venta de medicamentos psicotropicos grupos I,II y 
III,, vacunas, toxoides, sueros de origen animal y hemodirivados"
Farmacia San Martín de Porres,Farmacia,Libertad No. 116,Centro,90300,Apizaco,Tlaxcala,700,31-oct-07,"Con venta de estupefacientes y psicotropicos de los grupos I,II, III, Biologicos y 
hemoderivados"
farmacia hospital,Farmacia,5 de febrero 913,Centro,90300,Apizaco,Tlaxcala,702,26-nov-07,Estupefacientes y Psicotropicos biologicos y hemoderivados
"Farmacias Guadalajara, S.A de C.V.",Farmacia,Allende nte. No. 223,Centro,90500,Huamantla,Tlaxcala,704,27-nov-14,"Comercio al por menor de productos farmaceuticosy de perfumeria con venta de 
medicamentos de los grupos II y III"
Farmacia intrahospitalaria del Hospital Gral de Tlaxcala,Farmacia,Jardín de la Corregidora s/n,Centro,90000,Tlaxcala,Tlaxcala,706,17-nov-16,"Grupos I, II ,III Vacunas, Toxoides, antitoxinas, sueros de origen animal, 
hemoderivados"
Farmapronto Nativitas,Farmacia,Galeana No.6,Centro,90729,Nativitas,Tlaxcala,708,25-feb-08,"Productos farmaceuticos venta de estupefacientes y psicotrópicos grupos I, II, 
III, Biologicos y hemoderivados"
Farmacia Intrahospitalaria del Hospital Comunitario de Tlaxco,Farmacia,Estanislao Rodríguez No. 6,Quinta Sección,90250,Tlaxco,Tlaxcala,709,28-feb-08,"Suministro a´pormenor de productos farmaceuticos con venta de medicamentos 
de los grupos I, II y III, biologicos y hemoderivados"
Farmacia Intrahospitalaria hosp. Reg. Emilio Sánchez Piedras,Farmacia,"Carr. San Andrés 
Ahuasuatepec",Carr.San Ándres Ahuashuatepec,90491,Tzompantepec,Tlaxcala,711,13 de marzo de 08,"Suministro de productos farmaceuticos de los grupos I, II, III, Biologicos y 
hemoderivados"
Super Farmacia Jara,Farmacia,Hidalgo 210,Centro,90500,Huamantla,Tlaxcala,712,,
Farmacia Josua,Farmacia,Progreso No.33,Centro,90810,Chiautempan,Tlaxcala,713,02-abr-08,"Grupos II,III Biologico y hemoderivados"
Tienda Soriana S.A. de C.V. Farmacia Suc. Apizaco,Farmacia,Barbaran y Collar 306,San Martín de Porres,90300,Apizaco,Tlaxcala,714,,
Farmacia mi Bodega Aurrera,Farmacia,Carr.Puebla-Tlaxcala 91,Exquitla Secc.3o,90740,Zacatelco,Tlaxcala,715,02-jul-08,"Comercio al por menor de productos farmaceuticos y de perfumeria con venta de 
estupefacientes psicotropicos biologicos y hemoderivados grupos II, III"
Farmacia de Dios,Farmacia,Fco.I.Madero No-804,Centro,90300,Apizaco,Tlaxcala,716,04-jul-08,
,Farmacia,Francisco Sarabia 803-A,Jesús y San Juan,90355,Apizaco,Tlaxcala,718,29-ene-09,"Grupo II, III Biologicos y hemoderivados"
Farmacia Mi Bodega Calpulalpan,Farmacia,Nezahualcoyotl sur No.19,El Calvario,90205,Calpulalpan,Tlaxcala,719,28-ago-08,"Comercio al por menor de productos farmacéuticos y de perfumeria el 
establecimiento expendera medicamentos psicotropicos de los grupos II y III"
Tiendas Soriana S.A. de C.V. Farmacia Suc. Tlaxcala,Farmacia,Guillermo Valle 66,Centro,90000,Tlaxcala,Tlaxcala,720,18-ago-08,"Comercio alpor menor de productos farmaceuticos y de perfumeria con venta de 
estupefacientes, psicotropicos, biologicos y hemoderivados grupos II y III"
Farmacia de Descuento,Farmacia,Miguel N. Lira No.12-C,Centro,90000,Tlaxcala,Tlaxcala,721,30-sep-08,"Grupos  II,III, Biologicos Y Hemoderivados"
Farmacia Intrahospitalaria del Hospital Comunitario de Contla,Farmacia,Emiliano Zapata No.15,Secc. Séptima,90670,Contla de Juan Cuamatzi,Tlaxcala,722,17-oct-08,"Distribución al por menor de productos farmaceuticos grupos I, II,III."
,Farmacia,Av. Morelos 4-A,Secc. Séptima,90670,Contla de Juan Cuamatzi,Tlaxcala,724,22-may-09,"Grupos I, II, III, Biologicos y hemoderivados"
Super Che Farmacia,Farmacia,Pablo Sidar Sur No.126,Centro,90970,San Pablo del Monte,Tlaxcala,725,16-jul-09,"Comercio al por menor de productos farmáceuticos y de perfumeria  el 
establecimiento expenderá medicamentos psicotrópicos de los gru´pos II y III"
Farmacia Mi  Bodega Aurrera Papalotla,Farmacia,Carr.Tlaxcala sur No. 16,Panzacola,90796,Papalotla de Xicohténcatl,Tlaxcala,727,23-sep-09,"Comercio al por menor de productos farmáceuticos y de perfumeria  el 
establecimiento expenderá medicamentos psicotrópicos de los gru´pos II y III"
,Farmacia,Cuauhtémoc Sur 1100,Centro,90300,Apizaco,Tlaxcala,731,20-jun-11,"Grupos II,III Biologico y hemoderivados"
Mi Bodega Aurrera Huamantla,Farmacia,Morelos Ote.311,Centro,90500,Huamantla,Tlaxcala,732,29-ene-10,"Grupos II ,III Vacunas Toxoides, sueros de origen animal, hemoderivados"
,Farmacia,"Av. Hidalgo No.502
Carr.-Fed-Mex-Ver-Km-63",Centro,90300,Apizaco,Tlaxcala,733,12-abr-10,"Grupos II ,III Vacunas Toxoides, sueros de origen animal, hemoderivados"
Farmacia hospital general de Calpulalpan,Farmacia,,,90200,Calpulalpan,Tlaxcala,734,12-abr-10,"Productos Farmaceuticos suministro de estpefacientes y psicotropicos grupo II  
y III, Vacunas Toxoides, Sueros de origen animal"
Unidad Médica  Familiar No.10,Farmacia,Hidalgo No.19,Centro,90600,Apetatitlan de Antonio Carbajal,Tlaxcala,736,10-ago-10,"Sin minisuper con venta de estpefacientes y psicotropicos, biologicos y 
hemoderivados grupos I,II,III"
Super GB Santo  Toribio,Farmacia,Democracia No. 500,2da. Sección,90780,Xicohtzinco,Tlaxcala,737,07-may-14,"Grupos II ,III Vacunas, Toxoides, antitoxinas, sueros de origen animal, 
hemoderivados"
ECONOFORMAS 2000,Farmacia,Francisco I Madero No. 14,Centro,90250,Tlaxco,Tlaxco,738,25-may-17,"Psicotropicos I, II"
Farmacia Mine,Farmacia,Allende Pte. No. 35-A,Centro,90800,Chiautempan,Tlaxcala,740,08-dic-10,"Comercio al por menor de productos farmaceuticos y de Perfumeria, 
estupefacientes, psicotropicos, biólogicos y hemoderivados"
Farmacia San José,Farmacia,Hidalgo Poniente No.321-B,Centro,90500,Huamantla,Tlaxcala,742,24-ene-11,"Grupos II ,III Vacunas Toxoides, sueros de origen animal, hemoderivados"
,Farmacia,Hidalgo No.29,Centro,90590,El Carmen Tequexquitla,Tlaxcala,743,01-feb-11,"Farmacia sin minisuper con venta de medicamentos controlados, grupos I,II,III 
Vacunas, toxoides, sueros de origen animal, hemoderivados"
Farmacia SAMS el moliito Tlaxcala,Farmacia,Carr.Apizaco-Puebla   No. 3,Tlatempan,90610,Apetatitlan de Antonio Carbajal,Tlaxcala,744,17de enero de 2012,"psicotropicos II ,III Vacunas Toxoides,antitoxinas, sueros de origen animal, 
hemoderivados"
,Farmacia,Pablo Sidar Sur No.126,San Bartolome,90970,San Pablo del Monte,Tlaxcala,746,07 de abril de 2011,"Psicotropicos II ,III Vacunas Toxoides, sueros de origen animal, hemoderivados"
Mi Bodega Aurrera Tlaxco,Farmacia,Francisco  I Madero 71,Ejidal,90250,Tlaxco,Tlaxcala,747,09-may-11,"Farmacia con minisuper con venta de medicamentos controlados biologicos y 
hemoderivados, psicotropicos grupos II y III"
Farmacia Mi Bodega Aurrera Contla,Farmacia,AV. Hidalgo No.111,Sección Primera,90670,Contla de Juan Cuamatzi,Tlaxcala,748,22-ago-11,"Psicotropicos II ,III Vacunas Toxoides, sueros de origen animal, hemoderivados"
Unidad de Medicina Familiar No.5,Farmacia,"Av. Democracia y calle Allende 
S/n",Segunda Sección,90780,Sto. Toribio Xicohtzingo,Tlaxcala,749,20-sep-11,"Productos Farmaceuticos suministro de estpefacientes y psicotropicos grupo II  
y III, Vacunas Toxoides, Sueros de origen animal"
,Farmacia,Lardizabal No. 19-1,Centro,90000,Tlaxcala,Tlaxcala,750,24-ene-12,"Comercio al por menor de productos farmaceuticos de perfumeria con venta de 
psicotropicos grupos II y III Biologicos y Hemoderivados.  Vacunas, toxoides 
sueros de origen animall"
Farmacia D´Alex,Farmacia,Carr.--Mex-Ver-Km-78,Francisco Sarabia,90207,Calpulalpan,Tlaxcala,752,08-mar-12,"Farmacia sin minisuper con venta de medicamentos controlados biologicos y 
hemoderivados, psicotropicos grupos II y III"
,Farmacia,Prolongación Hidalgos/n,Pueblo de la Cruz,90500,Huamantla,Tlaxcala,753,14-mar-12,"I,II,III Vacunas, toxoides, sueros de origen animal, hemoderivados"
Farmacia San José,Farmacia,Cuauhtémoc 201-A,Centro,90300,Apizaco,Tlaxcala,754,10-abr-12,"Farmacia con minisuper con venta de medicamentos controlados biologicos y 
hemoderivados, psicotropicos grupos II y III"
,,,,90199,Tepeyanco,Tlaxcala,755,17-abr-12,"Farmacia sin minisuper con venta de medicamentos controlados biologicos y 
hemoderivados grupos II y III"
Organización Farmaceutica LUMIG S.A de C.V,Farmacia,Bernardo Picazo No. 1-A,Centro,,,,,,
,Farmacia,Av. Hidalgo no. 903-A,Centro,90300,Apizaco,Tlaxcala,757,25-jul-12,"Farmacia con minisuper con venta de medicamentos psicotropicos grupos II, III, 
vacunas, toxoides, sueros de origen animal y hemoderivados"
Farmacia del hospital comunitario Zacatelco,Farmacia,Av. Del deporte s/n,secc.Cuarta,90740,Zacatelco,Tlaxcala,758,05-oct-12,"Farmacia con minisuper con venta de medicamentos psicotropicos grupos II, III,  
toxoides, antitoxinas, vacunas, hemoderivados,  sueros de origen animal s"
,Farmacia,20 de noviembre s/n,,90606,Apetatitlan de Antonio Carbajal,Tlaxcala,759,11-feb-13,"Farmacia sin minisuper con venta de medicamentos psicotropicos grupos I,II y 
III,, vacunas, toxoides, sueros de origen animal y hemodirivados"
"Servicios Farmaceuticos de Pensiones Civiles de Tlaxcala, A.C.",Farmacia,5 DE MAYO 204-1,centro,90300,Apizaco,Tlaxcala,760,"Farmacia sin minisuper con venta de medicamentos psicotropicos grupos I,II y 
13-feb-13 III,, vacunas, toxoides, sueros de origen animal y hemodirivados",
Farmacia Guadalajara S.A de C.V,Farmacia,Calle Independencia 105-A,San Miguel,"90300
90856",Apizaco,Tlaxcala,761,15-may-13,"Farmacia sin minisuper con venta de medicamentos psicotropicos grupos I,II y 
III,, vacunas, toxoides, sueros de origen animal y hemodirivados"
Farmacia de la Unidad Medica Familiar No. 51,Farmacia,"AV.JOSÉ MARÍA MORELOS 
Y PAVÓN no.11",Segunda sección,,San Luis Teolocholco,Tlaxcala,762,9 de abril de 2013,"Farmacia sin minisuper con venta de medicamentos psicotropicos grupos ,II y 
III,, vacunas, toxoides, antitoxoides"
,Farmacia,"Carr-fed.Apizaco, Tlax. No. 254-
A",Santa Ursula Zimatepec,90450,Yauhquemehcan,Tlaxcala,763,30/10/017,"Farmacia con minisuper con venta de medicamentos psicotropicos grupos,II y 
III,, vacunas, toxoides, antitoxinas,sueros de origen animal y hemodirivados"
Farmacias del Ahorro,Farmacia,Lira y Ortega No. 39,Centro,90000,Tlaxcala,Tlaxcala,764,17-may-13,"Farmacia con minisuper con venta de medicamentos psicotropicos grupos,II y 
III,, vacunas, toxoides, antitoxinas,sueros de origen animal y hemodirivados"
Modulo Canino,Farmacia,Manuel Doblado   No. 3,Centro,90600,San Pablo Apetatitlan,Tlaxcala,765,27-may-13,Psicotropicos Grupo I
Farmacia del Hospital General de nativitas,Farmacia,Benito Juárez s/n,centro,90710,"Santo Tomas la Concordia 
Nativitas",Tlaxcala,766,20-jun-13,"Farmacia sin minisuper con venta de medicamentos estupefacientes y 
psicotropicos grupos I,II y III"
Farmacia de la unidad de medicina familiar del ISSSTE Zacatelco,Farmacia,Av. Barranca Seca No. 94,Segunda sección,90740,Zacatelco,Tlaxcala,767,19-jul-13,"Lineas de comercialización psicotropicos grupos II y III, vacunas, antitoxinas, 
hemoderivados de origen animal y toxoides"
,Farmacia,Francisco. I. Madero No. 17,Centro,90250,Tlaxco,Tlaxcala,768,25-oct-13,"Farmacia con minisuper con venta de medicamentos psicotropicos grupos,II y III, 
toxoides, Antitoxinas, Vacunas, Hemoderivados, Sueros de origen animal"
Farmacias del Ahorro,farmacia,Juárez Norte 110-A,Centro,90500,Huamantla,Tlaxcala,769,16-dic-13,"Farmacia con minisuper con venta de medicamentos psicotropicos grupos,II y III, 
toxoides, Antitoxinas, Vacunas, Hemoderivados, Sueros de origen animal  
Farmacia con minisuper con venta de medicamentos psicotropicos grupos,II y III, 
toxoides, Antitoxinas, Vacunas, Hemoderivados, Sueros de origen animal"
,farmacia,Jose maria Morelos  núm. 23,Centro,90200,Calpulalpan,Tlaxcala,770,20-ene-14,
Farmacia Soriana Express Huamantla,Farmacia,Matamoros Pte. 105,Centro,90500,Huamantla,Tlaxcala,771,21-feb-14,"Farmacia con minisuper con venta de medicamentos psicotropicos grupos,II y III, 
toxoides, Antitoxinas, Vacunas, Hemoderivados, Sueros de origen animal"
,Farmacia,Morelos 24,,"90200
90800
90780",Calpulalpan,Tlaxcala,772,23-mar-14,"Farmacia con minisuper con venta de medicamentos psicotropicos grupos,II y III, 
toxoides, Antitoxinas, Vacunas, Hemoderivados, Sueros de origen animal"
Botica de la Unidad Medico Familiar número 9,Botica,"Ignacio Picazo Norte número 
64",Centro,,Chiautempan,"Tlaxcala
Tlaxcala","773
775","09-abr-14
06-jun-14","Farmacia con minisuper con venta de medicamentos psicotropicos grupos,II y III, 
toxoides, Antitoxinas, Vacunas, Hemoderivados, Sueros de origen animal  
Farmacia con minisuper con venta de medicamentos psicotropicos grupos, I, II y 
III, toxoides, Antitoxinas, Vacunas, Hemoderivados, Sueros de origen animal"
Farmacia del Hospital Vista Medik S.C.,Botica,Democracia no. 162,Centro,,Xicohtzinco,,,,
Farmacia del Hospital General de Zona No. 1,Botica,Av. Universidad s/n,La Loma Xicohténcatl,90070,Tlaxcala,Tlaxcala,776,30-jun-14,"Farmacia con minisuper con venta de medicamentos psicotropicos grupos, I, II y 
III, toxoides, Antitoxinas, Hemoderivados, Sueros de origen animal"
