ESTABLECIMIENTO,"GIRO (FARMACIA, 
BOTICA 
,DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
"FARMACIA DEL HOSPITAL SAN 
CARLOS",FARMACIA,"UBILIO GARCIA S/N, BARRIO CAMPO",BARRIO EL CAMPO,,ALTAMIRANO,CHIAPAS,07004090002,10/09/2007,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA ALOPATICA HOSPITAL 
RURAL No. 03 ALTAMIRANO",FARMACIA,"BOULEVARD 20 DE NOVIEMBRE S/N, 
BARRIO CAMPO",BARRIO CAMPO,30190,ALTAMIRANO,CHIAPAS,07004090003,17/02/2015,"I, II"
FARMACIA SAN LORENZO,FARMACIA,"BELISARIO DOMINGUEZ Y 
CONSTITUCION S/N",,,AMATAN,CHIAPAS,07005090001,18/03/2002,"II, III"
FARMACIA LA REINA,FARMACIA,3a. CALLE ORIENTE NORTE No.16,,,"ANGEL ALBINO 
CORZO",CHIAPAS,07008090001,29/07/2003,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
UNIDAD MEDICA FAMILIAR,FARMACIA,"1a. PONIENTE NORTE No.6, CENTRO",CENTRO,,"ANGEL ALBINO 
CORZO",CHIAPAS,07008090002,23/07/2003,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL INTEGRAL 
ANGEL ALBINO CORZO",FARMACIA,"CARRETERA SALIDA A PALESTINA,",BARRIO ZAPATA,,"ANGEL ALBINO 
CORZO",CHIAPAS,07008090003,,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS ESQUIVAR S.A. DE C.V.,FARMACIA,"CENTRAL SUR No.8, JALTENANGO DE 
LA PAZ",,,"ANGEL ALBINO 
CORZO",CHIAPAS,07008090004,20/07/2009,"I, II, III"
"NADRO S.A.P.I. DE C.V. HOSP. BASICO 
COMUNITARIO ANGEL A. CORZO",FARMACIA,"INT. DEL HOSP. B. COMUNITARIO 
ANGEL A. CORZO, 5a. ORIENTE S/N, 
EMILIZANO ZAPATA",EMILIANO ZAPATA,30370,"ANGEL ALBINO 
CORZO",CHIAPAS,07008090006,03/03/2014,"I, II, III, VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA BETEL,FARMACIA,1A. AVENIDA SUR ORIENTE,BARRIO GUADALUPE,30385,"ANGEL ALBINO 
CORZO",CHIAPAS,07008090009,30/03/2017,II y III
"FARMACIA INTRAHOSPITALARIA 
HOSPITAL GENERAL I JUAREZ",FARMACIA,BLVD. FRANCISCO SARABIA S/N,,,ARRIAGA,CHIAPAS,07009090001,07/01/2003,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
UNIDAD MEDICA FAMILIAR,FARMACIA,"2a. ORIENTE S/N, NUEVA 
ESPERANZA",,,ARRIAGA,CHIAPAS,07009090002,23/07/2003,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD 
URBANO DE ARRIAGA",FARMACIA,"2a. CALLE SUR Y 3a. AV. PONIENTE 
S/N, CENTRO",CENTRO,,ARRIAGA,CHIAPAS,07009090003,23/07/2003,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL ARRIAGA",FARMACIA,"1a. SUR No.105, CENTRO",CENTRO,30450,ARRIAGA,CHIAPAS,07009090004,12/08/2003,"II, III"
FARMACIA SANTA MARIA,FARMACIA,"CENTRAL NORTE Y 6a. ORIENTE S/N, 
CENTRO",CENTRO,,ARRIAGA,CHIAPAS,07009090005,27/01/2005,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA ISSTECH,FARMACIA,"7a. NORTE No.20, CENTRO",CENTRO,,ARRIAGA,CHIAPAS,07009090007,24/03/2008,"II, III, VACUNAS Y TOXOIDES"
"FARMACIA MI BODEGA AURRERA 
CENTRAL SUR",FARMACIA,"CENTRAL SUR S/N, CENTRO",CENTRO,30450,ARRIAGA,CHIAPAS,07009090010,04/11/2010,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. SUC. HG ARRIAGA",FARMACIA,"INT. DEL HG ARRIAGA, BLVD. 
FRANCISCO SARABIA S/N",NUEVA ESPERANZA,30450,ARRIAGA,CHIAPAS,07009090013,24/07/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No. 16",FARMACIA,"BOULEVARD FRANCISCO SARABIA 
S/N COL. NUEVA ESPERANZA",NUEVA ESPERANZA,30450,ARRIAGA,CHIAPAS,07009090014,28/01/2014,"II, III, TOXOIDES Y VACUNAS"
FARMACIA CENTRAL,FARMACIA,"6A CALLE SUR No. 1150, COL. 
CENTRO",CENTRO,30450,ARRIAGA,CHIAPAS,07009090016,24/03/2015,"I, II, III, VACUNAS"
"GRUPO FARMACEUTICO SALINAS DEL 
SURESTE SA DE CV",FARMACIA,AVENIDA 3A. ORIENTE No. 3,CENTRO,30450,ARRIAGA,CHIAPAS,07009090018,14/03/2017,"II, III, TOXOIDES, VACUNAS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODEIRVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
1A. NORTE",FARMACIA,"2A. AVENIDA ORIENTE NORTE No. 7,",CENTRO,30450,ARRIAGA,ARRIAGA,07009090020,06/12/2017,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA DE LA SUBCOORDINACIÓN 
MÉDICA ISSTECH DE ARRIAGA",FARMACIA,"7ª CALLE NORTE No. 20, COLONIA 
CENTRO",CENTRO,30450,ARRIAGA,ARRIAGA,07009090021,11/07/2018,"ESTUPEFACIENTES FRACCIÓN I, PSICOTRÓPICOS FRACCIÓN II Y III,"
FARMACIA ALI,FARMACIA,"AV. CENTRAL ORIENTE No.240-A, 
CENTRO",CENTRO,,BERRIOZABAL,CHIAPAS,07012090001,06/01/2003,"I, II, III"
"FARMACIA MI BODEGA AURRERA 
BERRIOZABAL SUR",FARMACIA,"3a. AV. SUR ORIENTE No. 250,",SANTA CRUZ,29130,BERRIOZABAL,CHIAPAS,07012090002,06/08/2011,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"GRUPO FARMACEUTICO SALINAS DEL 
SURESTE SA DE CV",FARMACIA,CALLE 1A. NORTE ORIENTE S/N,COL. CENTRO,29130,BERRIOZABAL,CHIAPAS,07012090003,10/03/2017,"II, III, TOXOIDES, VACUNAS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODEIRVADOS"
"FARMACIA ALOPATICA DEL HOSPITAL 
RURAL S",FARMACIA,"AV. DEL NARANJO Y CALLE S/N,",MORELOS,,BOCHIL,CHIAPAS,07013090001,12/07/2004,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA PANIUR'S,FARMACIA,"1a. AV. SUR ORIENTE No.12,",BARRIO ORIZABA,,BOCHIL,CHIAPAS,07013090004,13/05/2005,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
BOCHIL",FARMACIA,CALLE CENTRAL No.1,COL. CENTRO,29770,BOCHIL,CHIAPAS,07013090007,24/08/2015,"II, III"
"FARMACIA SUBCOORDINACION 
MEDICA DE BOCHIL",FARMACIA,1a. ORIENTE Y 1a. NORTE S/N,,,BOCHIL,CHIAPAS,07013090008,28/07/2010,"II, III"
"FARMACIA DEL HOSPITAL RURAL ""O"" 
BOCHIL",FARMACIA,"AVENIDA EL NARANJO S/N, COL. 
BARRIO MORELOS",COL. BARRIO MORELOS,29770,BOCHIL,CHIAPAS,07013090011,08/08/2014,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA YZA BOCHIL CENTRO,FARMACIA,"AVENIDA CENTRAL SUR Nº 2, 
COLONIA CENTRO, BOCHIL, CHIAPAS",CENTRO,29770,BOCHIL,CHIAPAS,07013090012,06/06/2018,"PSICOTROPICOS FRACCION II Y III,  VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL CACAHOATAN",FARMACIA,"CENTRAL NORTE No.56, CENTRO",CENTRO,,CACAHOATAN,CHIAPAS,07015090001,23/07/2003,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD MEDICA 
FAMILIAR No.12",FARMACIA,"6a. CALLE ORIENTE No.20, CENTRO",CENTRO,,CACAHOATAN,CHIAPAS,07015090002,24/07/2003,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA MI BODEGA AURRERA 
CENTRAL NORTE",FARMACIA,"AV. CENTRAL NORTE No.111,",BARRIO GUADALUPE,,CACAHOATAN,CHIAPAS,07015090003,19/05/2009,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA SORIANA EXPRESS 
CACAHOATAN",FARMACIA,"6a. CALLE ORIENTE No. 62, COL. 
CENTRO",COL. CENTRO,30890,CACAHOATAN,CHIAPAS,07015090004,26/03/2015,"II, III, HEMODERIVADOS"
"GRUPO FARMACEUTICO SALINAS DEL 
SURESTE S.A. DE C.V.",FARMACIA,AVENIDA CENTRAL NORTE S/N,COL. CENTRO,30890,CACAHOATAN,CHIAPAS,07015090006,08/06/2017,"II, III, TOXOIDES, VACUNAS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,"1a. AV. SUR ORIENTE No.18, CENTRO",CENTRO,,CINTALAPA,CHIAPAS,07017090001,17/01/2002,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.24",FARMACIA,"13a. SUR Y 4a. ORIENTE S/N, 
CENTRO",CENTRO,,CINTALAPA,CHIAPAS,07017090003,18/03/2002,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DE USO 
INTRAHOSPITALARIO",FARMACIA,"1a. SUR Y 2a. PONIENTE S/N, 
CENTRO",CENTRO,,CINTALAPA,CHIAPAS,07017090004,08/04/2002,"I, III, TOXOIDES Y SUEROS DE ORIGEN ANIMAL"
UNIDAD MEDICA FAMILIAR,FARMACIA,"3a. SUR PONIENTE S/N,",BARRIO SANTA CECILIA,,CINTALAPA,CHIAPAS,07017090005,23/07/2003,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA DE JESUS,FARMACIA,"5a. SUR Y 4a. PONIENTE No.412, 
GUADALUPE",,30400,CINTALAPA,CHIAPAS,07017090006,29/09/2003,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL CINTALAPA CENTRO",FARMACIA,"CALLE CENTRAL No.7, CENTRO",CENTRO,,CINTALAPA,CHIAPAS,07017090007,31/08/2004,"II, III"
FARMACIA DEL CE.RE.SO. 14,FARMACIA,"CARRETERA PANAMERICANA 
Km.1063",,30140,CINTALAPA,CHIAPAS,07017090009,06/10/2006,"I, II, III, VACUNAS Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL INTEGRAL 
CINTALAPA",FARMACIA,"BLVD. RODULFO FIGUEROA S/N,",URBANA,,CINTALAPA,CHIAPAS,07017090010,21/12/2006,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA MI BODEGA CINTALAPA 
SUR",FARMACIA,3a. CALLE ORIENTE No.154,,,CINTALAPA,CHIAPAS,07017090012,24/03/2008,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA EL FENIX CINTALAPA I,FARMACIA,"BLVD. RODULFO FIGUEROA S/N, 
URBANA",URBANA,,CINTALAPA,CHIAPAS,07017090013,23/09/2009,"I, II, III"
"FARMACIA SORIANA EXPRESS SUC. 
CINTALAPA",FARMACIA,"CALLE 4a. ORIENTE No.875, BARRIO 
DE GUADALUPE",BARRIO GUADALUPE,30400,CINTALAPA,CHIAPAS,07017090015,29/07/2010,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
CINTALAPA",FARMACIA,AV. CENTRAL PONIENTE No.113,CENTRO,30400,CINTALAPA,CHIAPAS,07017090018,24/08/2015,"II, III"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. FCIA. HBC CINTALAPA",FARMACIA,"INT. DEL HBC CINTALAPA, CARR. 
PANAMERICANA KM.1002 S/N",URVANA,30400,CINTALAPA,CHIAPAS,07017090019,08/08/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DISUR DE LA 
COORDINACION MEDICA CINTALAPA",FARMACIA,2A PONIENTE S/N,BARRIO DE GUADALUPE,30400,CINTALAPA,CHIAPAS,07017090021,21/07/2015,"I, II, III, TOXOIDES, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"NADRO S.A.P.I. DE C.V. HOSPITAL 
BASICO COMUNITARIO CINTALAPA",FARMACIA,"INT. DEL HOSPITAL BASICO 
COMUNITARIO CINTALAPA, 
CARRETERA PANAMERICANA KM 
1002 S/N","CARRETERA 
PANAMERICANA",30400,CINTALAPA,CHIAPAS,07017090022,03/08/2015,"I, II, III, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL, TOXOIDES, VACUNAS Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
CINTALAPA II",FARMACIA,"CALLE CENTRAL ESQUINA 1A. 
AVENIDA NORTE S/N",COL. CENTRO,30400,CINTALAPA,CHIAPAS,07017090024,24/06/2016,II Y III
"GRUPO FARMACEUTICO SALINAS DEL 
SURESTE SA DE CV",FARMACIA,CALLE 1A. PONIENTE SUR No. 73,COL. CENTRO,30400,CINTALAPA,CHIAPAS,07017090026,10/03/2017,"II, III, TOXOIDES, VACUNAS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODEIRVADOS"
"GRUPO FARMACEUTICO SALINAS DEL 
SURESTE SA DE CV",FARMACIA,"CALLE MIRADOR S/N, COL. LINDOS 
AIRES, BERRIOZABAL",COL. CENTRO,30400,BERRIOZABAL,CHIAPAS,07017090027,06/09/2018,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO SUCURSAL 
TIANGUIS",FARMACIA,"1a. SUR PONIENTE S/N ESQ. BLVD. 
BELISARIO DOMINGUEZ",,30000,COMITAN,CHIAPAS,07019090001,29/12/2002,"II, III"
"FARMACIA DE LA UNIDAD MEDICA 
FAMILIAR No.18",FARMACIA,"BLVD. DR. BELISARIO DOMINGUEZ 
SUR PONIENTE KM.1258",BARRIO NICALOCOK,30069,COMITAN,CHIAPAS,07019090004,19/04/2007,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA ALOPATICA POPULAR 
MATRIZ",FARMACIA,"4a. CALLE SUR ORIENTE No.47,",BARRIO JESUSITO,,COMITAN,CHIAPAS,07019090004,14/09/2002,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL CATEDRAL COMITAN",FARMACIA,"1a. CALLE SUR ORIENTE No.7, 
CENTRO",CENTRO,,COMITAN,CHIAPAS,07019090005,30/07/2003,S/L
"FARMACIAS ESQUIVAR SUCURSAL 
BLVD. COMITAN",FARMACIA,"BLVD. BELISARIO DOMINGUEZ SUR 
No.57",,,COMITAN,CHIAPAS,07019090006,30/07/2003,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL GENERAL 
MARIA IGNACIA GANDULFO 
COMITAN",FARMACIA,9a. CALLE SUR ORIENTE No.11,BARRIO SAN SEBASTIAN,30029,COMITAN,CHIAPAS,07019090007,19/03/2014,"I, II, III"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. CENTRO COMITAN",FARMACIA,"AV. CENTRAL SUR No.61, CENTRO",CENTRO,30000,COMITAN,CHIAPAS,07019090008,23/01/2004,"II, III"
FARMACIA ALOPATICA TEPEYAC,FARMACIA,"3a. AV. PONIENTE NORTE No.14, 
CENTRO",CENTRO,,COMITAN,CHIAPAS,07019090009,29/03/2004,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA BODEGA AURRERA 
COMITAN DET.1259",FARMACIA,"BLVD. BELISARIO DOMINGUEZ 
No.1259,",BARRIO LA PILETA,,COMITAN,CHIAPAS,07019090012,10/10/2005,"I, II, III"
FARMACIA AURORA,FARMACIA,"PRIVADA DEL HOSPITAL No.4, 
BARRIO SAN SEBASTIAN",SAN SEBASTIAN,,COMITAN,CHIAPAS,07019090013,10/10/1995,"I, II, III"
"FARMACIA DEL AHORRO SUCURSAL 
PARQUE",FARMACIA,"1a. CALLE SUR ORIENTE No.1, 
CENTRO",CENTRO,30000,COMITAN,CHIAPAS,07019090014,21/02/2006,"II, III, VACUNAS, TOXOIDES Y SUEROS DE ORIGEN ANIMAL"
"FARMACIAS DEL AHORRO SUCURSAL 
BLVD. COMITAN",FARMACIA,"BLVD. BELISARIO DOMINGUEZ 
PONIENTE S/N, CENTRO",CENTRO,30000,COMITAN,CHIAPAS,07019090016,10/07/2006,"I, II, III"
"FARMACIA DEL SANATORIO ULLOA 
HIDALGO S.A. DE C.V.",FARMACIA,"5a. SUR ORIENTE No.55,",BARRIO SAN AGUSTIN,,COMITAN,CHIAPAS,07019090017,,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"LA FARMACIA DEL MEDICO EN 
COMITAN S.A. DE C.V.",FARMACIA,"CALLE PRIVADA DEL HOSPITAL No.8-
A",SAN SEBASTIAN,30029,COMITAN,CHIAPAS,07019090018,03/05/2007,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA PARIS,FARMACIA,3a. CALLE SUR ORIENTE No.9,,,COMITAN,CHIAPAS,07019090019,03/05/2007,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. CEDROS COMITAN",FARMACIA,"5a. NORTE ORIENTE No.117-A,",CEDROS,,COMITAN,CHIAPAS,07019090020,25/07/2007,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
COMITAN",FARMACIA,"2a. AV. ORIENTE SUR No.41, CENTRO",CENTRO,30019,COMITAN,CHIAPAS,07019090021,25/08/2000,"II, III"
"FARMACIA DE LA CLINICA HOSPITAL 
ISSTECH COMITAN",FARMACIA,"2a. CALLE SUR ORIENTE No.30, 
CENTRO",CENTRO,,COMITAN,CHIAPAS,07019090022,10/04/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL DIF MUNICIPAL,FARMACIA,CALZADA DEL PANTEON S/N,,,COMITAN,CHIAPAS,07019090023,20/05/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA INTRAHOSPITALARIA 
CLINICA HOSPITAL ""C"" ISSSTE 
COMITAN",FARMACIA,CALLE JIMENEZ Y ABASOLO S/N,MIGUEL ALEMAN,,COMITAN,CHIAPAS,07019090024,13/10/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA EL FENIX COMITAN 1,FARMACIA,"9a. SUR ORIENTE No.11,",SAN SEBASTIAN,,COMITAN,CHIAPAS,07019090025,03/11/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAM'S COMITAN,FARMACIA,"BLVD. DE LAS FEDERACIONES KM. 
176 MAS 200, CHICHIMA",COL. CHICHIMA,30098,COMITAN,CHIAPAS,07019090026,19/05/2009,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
3A. NORTE",FARMACIA,3a. CALLE NORTE PONIENTE,COL. GUADALUPE,30020,COMITAN,CHIAPAS,07019090027,23/09/2009,"II, III, VACUNAS, SUEROS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y/O HEMODERIVADOS"
"FARMACIA WAL MART COMITAN DE 
DOMINGUEZ",FARMACIA,"BLVD. DE LAS FEDERACIONES KM. 
1260.5 No.4021, CHICHIMA 
ACAPETAHUA",,,COMITAN,CHIAPAS,07019090029,04/11/2009,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL AHORRO ISSTECH 
COMITAN (INTERIOR DEL HOSPITAL)",FARMACIA,"2a. CALLE ORIENTE No. 30, CENTRO",CENTRO,30000,COMITAN,CHIAPAS,07019090032,11/05/2011,"II, III"
DISTRIBUIDORA MEDICA LA PIEDAD,FARMACIA,"PRIVADA DEL HOSPITAL No. 12, SAN 
SEBASTIAN",,30029,COMITAN,CHIAPAS,07019090033,29/08/2011,"II, III"
FARMACIAS LA PIEDAD,FARMACIA,4a. CALLE NORTE PONIENTE No.100,BARRIO DE CANDELARIA,30060,COMITAN,CHIAPAS,07019090037,08/02/2013,"I, II, III"
