"SUPER FARMACIA HIDALGO, S.A. DE C.V.",FARMACIA,AV. INDEPENDENCIA # 325,CENTRO,74200,Atlixco,PUEBLA,1050200031,22/09/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN CARLOS,FARMACIA,AV. REFORMA # 28,CENTRO,74730,Chiautla,PUEBLA,1070490032,20/09/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN LUIS,FARMACIA,AV. INDEPENDENCIA # 518-A,CENTRO,74200,Atlixco,PUEBLA,1050200036,21/09/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ROJANO,FARMACIA,"JOSEFA ORTIZ DE 
DOMINGUEZ LOCAL-8",,73760,Ocotepec,PUEBLA,1041060037,01/03/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DE LA SALUD,FARMACIA,"DR. MANUEL PEREYRA MEJIA 
# 201-A",,75760,Tehuacán,PUEBLA,1101560039,07/12/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
OBREGON,FARMACIA,13 PONIENTE ESQ. 11 SUR,ALVARO OBREGON N,74260,Atlixco,PUEBLA,1050200040,19920918,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA GUADALUPANA,FARMACIA,16 DE SEPTIEMBRE # 8,,75650,Molcaxac,PUEBLA,1091000043,19931027,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN ANTONIO,FARMACIA,MORELOS # 4,SAN ANTONIO,,Santa Ines Ahuatempan,PUEBLA,1091480044,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANDY,FARMACIA,2 ORIENTE # 2819-2,SANTA BARBARA,72380,Puebla,PUEBLA,1061140045,04/12/1996,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
EL SALVADOR,FARMACIA,AV. JUAREZ # 38,CHAPULTEPEC,72320,Puebla,PUEBLA,1061140046,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
OLIDAE 2,FARMACIA,CALZADA OROPEZA # 2-A,OBRERA CAMPESINA,72250,Puebla,PUEBLA,1061140047,08/01/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ALEX,FARMACIA,PENSADOR MEXICANO # 802,CENTRO,72670,Coronango,PUEBLA,1050360050,19940927,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SOCIEDAD ESPAÑOLA DE BENEFICENCIA DE P.,FARMACIA,19 NORTE # 1001,JESUS GARCIA,72090,Puebla,PUEBLA,1061140053,09/02/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
NAZARETH,FARMACIA,ALVARO OBREGON  # 106,ALVARO OBREGON,74060,San Martín Texmelucan,PUEBLA,1051330054,19970220,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL ROSARIO,FARMACIA,23 NORTE #  5605,CLEOTILDE TORRES,72050,Puebla,PUEBLA,1061140059,11/01/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ALEX,FARMACIA,3 NORTE # 17,,73640,Tetela de Ocampo,PUEBLA,1021720061,06/01/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL CENTRO,FARMACIA,FCO.I.MADERO # 8,S.PABLO XOCHIMEHUACA,72920,Puebla,PUEBLA,1061140063,03/01/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LUZ MARIA,FARMACIA,PRIVADA PEDRO ANAYA # 30,AZTECA,72280,Puebla,PUEBLA,1061140064,19940817,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAGRADO CORAZON,FARMACIA,GUADALUPE VICTORIA # 102,CENTRO,74000,San Martín Texmelucan,PUEBLA,1051330065,05/04/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
EUNICE,FARMACIA,PORVENIR # 3-A,SAN JUAN ACOZAC,75410,Los Reyes de Juárez,PUEBLA,1091190066,02/01/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FER-MAR,FARMACIA,AV. LIBERTAD # 65,TEPEYAC,72210,Puebla,PUEBLA,1061140067,19940831,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SUSY,FARMACIA,"7 NORTE Y 72 PONIENTE # 
531 LOCAL-C",20 DE NOVIEMBRE,72230,Puebla,PUEBLA,1061140068,19920917,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
GARVIC,FARMACIA,CALLE 1-E # 33,BOSQUES S.SEBASTIAN,72310,Puebla,PUEBLA,1061140070,19940125,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANTA ELENA,FARMACIA,3 PONIENTE # 902-B,CENTRO,74250,Atlixco,PUEBLA,1050200071,10/01/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA LUZ,FARMACIA,2 ORIENTE # 1212,BARRIO LA LUZ,72000,Puebla,PUEBLA,1061140072,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DIANA,FARMACIA,"DOMICILIO CONOCIDO 
TATAUZOQUICO",,73900,Tlatlauquitepec,PUEBLA,1031860073,06/02/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
BETTY,FARMACIA,AV. REFORMA # 201,,75160,San Salvador el Seco,PUEBLA,1041430075,19950215,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN PEDRO,FARMACIA,9 PONIENTE # 120,,75100,Tepatlaxco de Hidalgo,PUEBLA,1091630076,03/01/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DON BOSCO,FARMACIA,25 PONIENTE # 1904,LOS VOLCANES,72410,Puebla,PUEBLA,1061140077,19950217,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN MANUEL,FARMACIA,13 SUR # 1501,BARRIO SAN ANTONIO,75480,Tecamachalco,PUEBLA,1091540078,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL PERPETUO SOCORRO,FARMACIA,AV. HIDALGO # 1204,BARRIO SAN JOSE,75480,Tecamachalco,PUEBLA,1091540079,01/01/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA FE,FARMACIA,5 DE MAYO # 847,CENTRO,73780,Libres,PUEBLA,1040960080,04/01/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL ROSARIO,FARMACIA,LIBERTAD # 2-C,SAN MIGUEL,74940,Acatlán,PUEBLA,1080030082,19940630,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAGRADO CORAZON DE JESUS,FARMACIA,13 PONIENTE # 706,BARRIO STA.MA.XIXITL,72760,San Pedro Cholula,PUEBLA,1051410083,11/01/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DE ESPECIALIDADES,FARMACIA,27 ORIENTE # 5-A,EL CARMEN,72530,Puebla,PUEBLA,1061140084,11/01/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANTIAGO,FARMACIA,5 NORTE # 1001-A,BARRIO DE SANTIAGO,72760,San Pedro Cholula,PUEBLA,1051410085,08/01/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA PRINCIPAL,FARMACIA,CALLE PRINCIPAL # 32,MAYORAZGO,72450,Puebla,PUEBLA,1061140086,19941028,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LETY,FARMACIA,"INDEPENDENCIA NORTE # 
226",CENTRO,74000,San Martín Texmelucan,PUEBLA,1051330087,19940726,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN JUAN,FARMACIA,PARQUE HIDALGO # 10,CENTRO,74900,Ixcaquixtla,PUEBLA,1090840088,19941116,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANTA MONICA,FARMACIA,8 PONIENTE Y 5 NORTE # 313,CENTRO,74200,Atlixco,PUEBLA,1050200089,19921015,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ELIZABETH,FARMACIA,REFORMA NORTE # 87 49,,,San Martín Texmelucan,PUEBLA,1051330091,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LOMAS DEL CARMEN,FARMACIA,"RAFAEL AVILA CAMACHO # 
308",EL CARMEN,73800,Teziutlán,PUEBLA,1031740093,19940729,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
ELDY,FARMACIA,INDEPENDENCIA # 45,,74000,San Salvador el Verde,PUEBLA,1051440094,19940930,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN JOSE,FARMACIA,16 DE SEPTIEMBRE # 6,CENTRO,,Tehuacán,PUEBLA,1101560095,10/01/1991,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CRISTO REY,FARMACIA,MEXICO TUXPAN S/N,,73040,Venustiano Carranza,PUEBLA,1011940096,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN JOSE,FARMACIA,"AV. INDEPENDENCIA 
ORIENTE # 545",CENTRO,75700,Tehuacán,PUEBLA,1101560098,01/06/1993,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN FRANCISCO,FARMACIA,CALZADA GUADALUPE # 5,SAN JUANITO,72760,San Andrés Cholula,PUEBLA,1051200100,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN JUDAS TADEO,FARMACIA,"KM. 3.5 CARRETERA FED. A 
ATLIXCO LOCAL A",CONCEPCION LA CRUZ,72197,San Andrés Cholula,PUEBLA,1051200101,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ROSAS,FARMACIA,AV. INDEPENDENCIA # 70,,73900,Tlatlauquitepec,PUEBLA,1031860103,11/01/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MATAMOROS,FARMACIA,AV. INDEPENDENCIA # 57,CENTRO,74400,Izucar de Matamoros,PUEBLA,1070870105,02/01/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN CARLOS,FARMACIA,"MAXIMINO AVILA CAMACHO 
# 1601-A",EL SALVADOR,72340,Puebla,PUEBLA,1061140107,10/10/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ROMERO,FARMACIA,GUSTAVO A. MADERO # 19,MORELOS,74000,San Martín Texmelucan,PUEBLA,1051330108,07/11/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
EL FENIX,FARMACIA,CALLE GUERRERO # 1202,CENTRO,75960,Zinacatepec,PUEBLA,1102140109,10/07/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN ANTONIO,FARMACIA,5 DE MAYO # 207,,,San Salvador Huixcolotla,PUEBLA,1091450112,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DE JESUS,FARMACIA,3 NORTE # 8,,73640,Tetela de Ocampo,PUEBLA,1021720114,19941019,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANTA JUANITA,FARMACIA,24 DE JUNIO # 10,CENTRO,73965,Teziutlán,PUEBLA,1031740115,19941026,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ANGELUZ,FARMACIA,7 ORIENTE # 1402,ANALCO,72000,Puebla,PUEBLA,1061140116,09/01/1992,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MARISOL,FARMACIA,"FRANCISCO I. MADERO 
NORTE # 100",DOMINGO ARENAS,74050,San Martín Texmelucan,PUEBLA,1051330118,10/01/1993,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
REFORMA,FARMACIA,REFORMA # 17,CENTRO,74940,Acatlán,PUEBLA,1080030120,04/03/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN MIGUEL,FARMACIA,JUAREZ # 4,,75290,Santo Tomás Hueyotlipan,PUEBLA,1091510121,19941115,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
VALENCIA,FARMACIA,15 NORTE # 7601-A,,72000,Puebla,PUEBLA,1061140125,19941018,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DE DIOS,FARMACIA,9 SUR # 1106,ALVARO OBREGON,74260,Atlixco,PUEBLA,1050200126,19950116,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
AVENIDA,FARMACIA,"AVENIDA MANUEL A. 
CAMACHO # 502",CENTRO,74200,Atlixco,PUEBLA,1050200127,02/10/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA MEXICANA,FARMACIA,3 ORIENTE Y 4 SUR # 107,CENTRO,75480,Tecamachalco,PUEBLA,1091540128,01/09/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANTIAGO,FARMACIA,AV. FCO. I. MADERO # 922,BARRIO SANTIAGO,72980,Amozoc,PUEBLA,1090150129,01/09/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL MERCADO,FARMACIA,3 SUR # 117,CENTRO,75700,Tehuacán,PUEBLA,1101560131,09/01/1993,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN GABRIEL,FARMACIA,SEGUNDA DE MEXICO # 46,CENTRO,74360,Atlixco,PUEBLA,1050200138,19950120,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"SANBORN HNOS., S.A.",FARMACIA,2 ORIENTE # 6,CENTRO,72000,Puebla,PUEBLA,1061140139,02/07/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA PROVIDENCIA,FARMACIA,"13 PONIENTE # 702 ESQ. 7 
SUR",XIXITLA,72760,San Andrés Cholula,PUEBLA,1051200145,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CENTRAL,FARMACIA,AV. HIDALGO # 703,CENTRO,73800,Teziutlán,PUEBLA,1031740147,19941021,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA MAGDALENA,FARMACIA,3 PONIENTE # 6,CENTRO,75118,Acajete,PUEBLA,1090010149,19941130,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LOS ARCOS,FARMACIA,VICENTE GUERRERO # 8,S.FCO.TOTIMEHUACAN,72960,Puebla,PUEBLA,1061140150,19941028,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
NIÑO JESUS,FARMACIA,ABELARDO RODRIGUEZ # 14,MIGUEL HIDALGO,72314,Puebla,PUEBLA,1061140151,11/04/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
PAOLA,FARMACIA,MONTES URALES  # 8818,MARAVILLAS,72220,Puebla,PUEBLA,1061140152,19920421,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN FELIPE,FARMACIA,5 DE FEBRERO ORIENTE # 637,SAN FELIPE HUEYOTLI.,72030,Puebla,PUEBLA,1061140153,02/01/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
RUBI,FARMACIA,6 PONIENTE # 102,LA LIBERTAD,72130,Puebla,PUEBLA,1061140156,11/09/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LEO,FARMACIA,11 PONIENTE # 310,CENTRO,74200,Atlixco,PUEBLA,1050200157,19941214,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
PATTY,FARMACIA,IGNACIO COMONFORT # 1,SAN JERONIMO CALERAS,72100,Puebla,PUEBLA,1061140158,19960725,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
GUADALUPE,FARMACIA,LOPEZ MATEOS S/N,,73040,Venustiano Carranza,PUEBLA,1011940160,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
GALEX,FARMACIA,16 DE SEPTIEMBRE # 101,CENTRO,74000,San Martín Texmelucan,PUEBLA,1051330161,08/01/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SCANDA,FARMACIA,XICOTENCATL # 19,BARRIO DE SAN GABRIE,74940,Acatlán,PUEBLA,1080030163,19941122,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CRISTAL,FARMACIA,2 SUR # 102,CENTRO,74200,Atlixco,PUEBLA,1050200164,19930129,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
EL AGUILA,FARMACIA,4 ORIENTE # 214,CENTRO,72000,Puebla,PUEBLA,1061140165,12/01/1992,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ROSY,FARMACIA,AVENIDA REFORMA # 36,,75118,Acajete,PUEBLA,1090010167,09/01/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL CENTRO,FARMACIA,16 DE SEPTIEMBRE # 2,CENTRO,74129,San Martín Texmelucan,PUEBLA,1051330168,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MARIA DEL CARMEN,FARMACIA,"CARRET. INTERNACIONAL # 1-
B",,74400,Izucar de Matamoros,PUEBLA,1070870169,10/04/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
NUESTRA SEÑORA DEL CARMEN,FARMACIA,"AVENIDA LIBERTAD SUR # 
104-A",,74000,San Martín Texmelucan,PUEBLA,1051330172,19940725,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANTA MARIA,FARMACIA,"CARR. FED. MEX-PUE KM. 95 
# 235",,72660,Juan C. Bonilla,PUEBLA,1050920174,07/08/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL AHORRO,FARMACIA,11 SUR # 5102,PRADOS AGUA AZUL,75430,Puebla,PUEBLA,1061140183,19970324,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
EL DIVINO SALVADOR,FARMACIA,2ª DE BRAVO # 10,,72600,Tlaltenango,PUEBLA,1051810190,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL CENTRO,FARMACIA,HIDALGO PONIENTE # 102,CENTRO,74000,San Martín Texmelucan,PUEBLA,1051330196,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
D'LEONARDOS,FARMACIA,"AV. DE LAS TORRES EDIFICIO 
152 LOCAL-101",MANUEL RIVERA ANAYA,72270,Puebla,PUEBLA,1061140198,19950214,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
EL REDENTOR,FARMACIA,AV. REFORMA # 2,,74170,Domingo Arenas,PUEBLA,1050610199,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
PARIS,FARMACIA,LUIS AUDIRAC GALVEZ # 57,,73880,Teziutlán,PUEBLA,1031740200,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DE DESCUENTO Y VARIOS,FARMACIA,9 NORTE # 210,CENTRO,72760,San Pedro Cholula,PUEBLA,1051410203,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ANI,FARMACIA,AQUILES SERDAN # 8,,74129,San Martín Texmelucan,PUEBLA,1051330204,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
GUADALUPE,FARMACIA,BALDERAS # 13,CENTRO,73310,Zacatlán,PUEBLA,1022080206,19941114,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"SAN FRANCISCO DE ASIS, S.A. DE C.V.",FARMACIA,"PROL.MAX.A.CAMACHO 
LOCAL 38-39 SECC. "" C """,,75200,Tepeaca,PUEBLA,1091640207,19941115,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN JOSE,FARMACIA,JUAN GALINDO # 84,SAN FRANCISCO,73160,Huauchinango,PUEBLA,1010720211,19930914,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN JAVIER,FARMACIA,GUERRERO # 20,CENTRO,74400,Izucar de Matamoros,PUEBLA,1070870212,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"PLAZA DE PUEBLA, S.A. DE C.V.",FARMACIA,"AV. REFORMA # 3117 LOC.13 
Y 14",LA PAZ,72160,Puebla,PUEBLA,1061140217,19950223,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
24 HORAS,FARMACIA,"MAXIMINO AVILA CAMACHO 
# 535",BARRIO DE TETELA,73780,Libres,PUEBLA,1040960218,08/05/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LOS PINOS,FARMACIA,7 NORTE # 13,,75520,Chalchicomula de Sesma,PUEBLA,1040460219,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MARIA AUXILIADORA,FARMACIA,5 PONIENTE # 715,CENTRO,72000,Puebla,PUEBLA,1061140222,08/01/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
"SUPER FARMACIA REX, S.A. DE C.V.",FARMACIA,REFORMA NORTE # 201-1,CENTRO,75700,Tehuacán,PUEBLA,1101560225,19920129,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
