ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA HIDALGO,DROGUERIA,"VICENTE GUERRERO N° 600 Y 
ALDA",CENTRO,31000,CHIHUAHUA,CHIHUAHUA,08019110003,12/09/2001,HEMODERIVADOS
FARMACIA SORIANA JUVENTUD,FARMACIA,AV. DE LA JUVENTUD Nº 401,COL. PASEOS DE CHIHUAHUA,31106,CHIHUAHUA,CHIHUAHUA,08019090007,12/09/2001,TOXOIDES
FARMACIA GUADALUPE,FARMACIA,CALLE JUAREZ Nº 6,COL. CENTRO,33470,GUADALUPE Y CALVO,CHIHUAHUA,08029090001,12/09/2001,PSICOTRÓPICOS
FARMACIA EL FENIX,FARMACIA,"AV. 16 DE SEPTIEMBRE Y AV. 
DE",COL. LAS MARGARITAS,32690,JUÁREZ,CHIHUAHUA,08037090014,12/09/2001,TOXOIDES
FARMACIA SAN FELIPE Nº 3,FARMACIA,"C. MATAMOROS Nº 5787 Y 
HOSPITA",COL.  INSURGENTES,32150,JUÁREZ,CHIHUAHUA,08037090015,13/09/2001,PSICOTRÓPICOS
"FARMACIA DEL HOSP. GRAL. CD. JUAREZ DEL INST. DE SEG. Y 
SERV",FARMACIA,"C. ENVOLVENTE 4, CONJUNTO 
PRON",COL. ANA ELENA AUZA,32310,JUÁREZ,CHIHUAHUA,08037090016,13/09/2001,ESTUPEFACIENTES
FARMACIA ALEXANDER,FARMACIA,"C. TOMAS ALBA EDISON Nº 
1294 N",COL. HIDALGO,32300,JUÁREZ,CHIHUAHUA,08037090017,13/09/2001,TOXOIDES
FARMACIA EL FENIX,FARMACIA,"AV. HERMANOS ESCOBAR Y 
AMERICA",COL. MARGARITAS,32550,JUÁREZ,CHIHUAHUA,08037090018,13/09/2001,TOXOIDES
"FARMACIAS DE VANGUARDIA, S. A. DE C. V.",FARMACIA,C. MINA Y OCAMPO Nº 365,COL. BARRIO ALTO,32610,JUÁREZ,CHIHUAHUA,08037090059,13/09/2001,PSICOTRÓPICOS
FARMACIA BRISA,FARMACIA,"C. VICENTE GUERRERO Nº 
1886-B",COL. BARREAL,32040,JUÁREZ,CHIHUAHUA,08037090020,13/09/2001,TOXOIDES
FARMACIA TITAN,FARMACIA,"C. IGNACIO MEJIA Nº 126 
OTE.",COL. CENTRO,32000,JUÁREZ,CHIHUAHUA,08037090021,13/09/2001,PSICOTRÓPICOS
FARMACIA ALMA,FARMACIA,MIGUEL AHUMADA Nº 424,ZONA CENTRO,32800,AHUMADA,CHIHUAHUA,08001090001,13/09/2001,TOXOIDES
"FARMACIA DROGUERIA BENAVIDES, S. A. DE C. V.",FARMACIA,AV. MORELIA Nº 7305,COL. ERENDIRA,32662,JUÁREZ,CHIHUAHUA,08037090022,13/09/2001,TOXOIDES
FARMACIA GUADALUPE,FARMACIA,AV. JUAREZ Nº 459,COL. CENTRO,33980,JIMÉNEZ,CHIHUAHUA,08036090001,13/09/2001,TOXOIDES
FARMACIA ALONSO,FARMACIA,"AV. VALENTIN FUENTES Nº 
2571-A",COL. INFONAVIT CASAS GRA,32600,JUÁREZ,CHIHUAHUA,08037090023,13/09/2001,TOXOIDES
"DROGUERIA DE FARMACIA POLIPLAZA MEDICA, S. A. DE C. V.",DROGUERIA,"C. PEDRO ROSALES DE LEON 
Nº 75",COL. FUENTES DEL VALLE,32500,JUÁREZ,CHIHUAHUA,08037110001,13/09/2001,TOXOIDES
"DROGUERIA DEL CENTRO MEDICO DE ESPECIALIDADES DE 
CD. JUAREZ,",DROGUERIA,"AV. DE LAS AMERICAS Nº 201 
NOR",COL. MARGARITAS,32300,JUÁREZ,CHIHUAHUA,08037110002,13/09/2001,TOXOIDES
FARMACIA JUAREZ,FARMACIA,AV. JUAREZ Nº 124,COL. CENTRO,33987,JIMÉNEZ,CHIHUAHUA,08036090002,13/09/2001,TOXOIDES
FARMACIA DEL PRADO,FARMACIA,AV. AMERICAS Nº 1351,COL. AMERICAS,32310,JUÁREZ,CHIHUAHUA,08037090024,13/09/2001,TOXOIDES
FARMACIA CANO 3,FARMACIA,"CAMPO MENONITA 101 
VIANA",COL. ALVARO OBREGON,31610,CUAUHTEMOC,CHIHUAHUA,08017090001,13/09/2001,PSICOTRÓPICOS
FARMACIA NUEVA WAL MART DE MEXICO S. DE R. L. DE C. V.,FARMACIA,"PERIFERICO DE LA JUVENTUD 
Nº 2",HACIENDAS DEL VALLE,31128,CHIHUAHUA,CHIHUAHUA,08019090009,13/09/2001,SUEROS DE ORIGEN ANIMAL
FARMACIA CANO 2,FARMACIA,"AV. CUAUHTEMOC Y 7ª Nº 
700",ALVARO OBREGON,31610,CUAUHTEMOC,CHIHUAHUA,08017090002,13/09/2001,SUEROS DE ORIGEN ANIMAL
FARMACIA DEL PARQUE,FARMACIA,"C. BUSTAMENTO Y TAGLE Nº 
403",CENTRO,33987,JIMÉNEZ,CHIHUAHUA,08036090003,13/09/2001,TOXOIDES
FARMACIA YOLI,FARMACIA,"FCO. BACA GALLARDO Nº 
6754-A O",LA CUESTA,32650,JUÁREZ,CHIHUAHUA,08037090031,18/09/2001,PSICOTRÓPICOS
"FARMACIA SUPERMERCADO GONZALEZ DE ALTAVISTA, S. A. 
DE C. V.",FARMACIA,C. SANTIAGO BLANCAS Nº 380,COL. PRADERAS DEL SUR,32599,JUÁREZ,CHIHUAHUA,08037090025,13/09/2001,TOXOIDES
FARMACIA NACIONAL,FARMACIA,C. 16 DE SEPTIEMBRE Nº 2800,COL. DEL CARMEN,32160,JUÁREZ,CHIHUAHUA,08037090026,13/09/2001,PSICOTRÓPICOS
DROGUERIA FARMACIA ALIANZA,DROGUERIA,"AV. VENUSTIANO CARRANZA 
Nº 180",COL. CENTRO,31000,CHIHUAHUA,CHIHUAHUA,08019110001,13/09/2001,HEMODERIVADOS
FARMACIA DE LA TIENDA FUTURAMA VALLARTA,FARMACIA,"AV. VALLARTA Y ZARAGOZA 
S/N",COL. GRANJAS,31160,CHIHUAHUA,CHIHUAHUA,08019090010,13/09/2001,SUEROS DE ORIGEN ANIMAL
FARMACIA SAN FELIPE Nº 2,FARMACIA,"C. JUAN MATA ORTIZ Nº 3504 
SUR",COL. MARIANO ESCOBEDO,32690,JUÁREZ,CHIHUAHUA,08037090027,13/09/2001,PSICOTRÓPICOS
FARMACIA DE LA TIENDA FUTURAMA LEONES,FARMACIA,"AV. GLANDORF Y BLVD. ORTIZ 
MEN",COL. UNIDAD PRESIDENTES,31109,CHIHUAHUA,CHIHUAHUA,08019090011,13/09/2001,SUEROS DE ORIGEN ANIMAL
FARMACIA EL FENIX,FARMACIA,AV. DE LA RAZA Nº 4627,COL. DEL COLEGIO,32340,JUÁREZ,CHIHUAHUA,08037090028,13/09/2001,TOXOIDES
FARMACIA EL FENIX,FARMACIA,"CARRETERA PANAMERICANA 
Nº 6595",COL. GRANJERO,32680,JUÁREZ,CHIHUAHUA,08037090029,13/09/2001,TOXOIDES
FARMACIA SAN MARCOS,FARMACIA,"BLVD. JUAREZ PORVENIR KM. 
3, I",COL. RINCONES DE SAN MAR,32450,JUÁREZ,CHIHUAHUA,08037090030,13/09/2001,TOXOIDES
FARMACIA GUADALUPE,FARMACIA,ABRAHAM GONZALEZ Nº 114,CENTRO,33180,GUACHOCHI,CHIHUAHUA,08027090001,16/09/2001,PSICOTRÓPICOS
DROGUERIA BENAVIDES S. A. DE C. V.,FARMACIA,AV. NUEVA ESPAÑA Nº 2400,COL. DIVISION DEL NORTE,31060,CHIHUAHUA,CHIHUAHUA,08019090012,18/09/2001,TOXOIDES
FARMACIA DEL HOSPITAL CENTRAL DEL ESTADO,FARMACIA,ROSALES Nº 3302,COL. OBRERA,31350,CHIHUAHUA,CHIHUAHUA,08019090013,20/09/2001,TOXOIDES
FARMACIA QUINTAS,FARMACIA,"LATERAL ORTIZ MENA Nº 
3415",QUINTAS DEL SOL,31250,CHIHUAHUA,CHIHUAHUA,08019090014,20/09/2001,TOXOIDES
FARMACIA SAN MARTIN,FARMACIA,"SOR. JUANA INES DE LA CRUZ 
290",STO. NIÑO,31320,CHIHUAHUA,CHIHUAHUA,08019090016,20/09/2001,TOXOIDES
FARMACIA DE LA CLINICA DEL CENTRO,FARMACIA,C. OJINAGA Nº 816,CENTRO,31000,CHIHUAHUA,CHIHUAHUA,08019090017,20/09/2001,TOXOIDES
FARMACIA EL FENIX,FARMACIA,"ANTONIO J. BERMUDEZ Nº 
1150",FRACC. PARQUE IND. J. BE,32470,JUÁREZ,CHIHUAHUA,08037090032,28/09/2001,TOXOIDES
FARMACIA DE PENSIONES CIVILES DEL ESTADO,FARMACIA,18 DE MARZO Y 31a.,CENTRO,31000,CHIHUAHUA,CHIHUAHUA,08019090018,09/10/2001,PSICOTRÓPICOS
FARMACIA JUAREZ,FARMACIA,PORFIRIO DIAZ Nº 997,EXHIPODROMO,32380,JUÁREZ,CHIHUAHUA,08037090033,15/10/2001,PSICOTRÓPICOS
FARMACIA EL FENIX,FARMACIA,"AV. JUAREZ Y TLAXCALA Nº 
647-A",ZONA CENTRO,32000,JUÁREZ,CHIHUAHUA,08037090167,16/10/2001,PSICOTRÓPICOS
FARMACIA AVENIDA MATRIZ,FARMACIA,Av. 3ª NORTE Nº 308,CENTRO,33000,DELICIAS,CHIHUAHUA,08021090002,22/10/2001,PSICOTRÓPICOS
I.M.S.S.  UNIDAD DE MEDICINA FAMILIAR Nº 48,BOTICA,"MANUEL J. CLOUTHIER Nº 
8625",INF. ANGEL TRIAS,32698,JUÁREZ,CHIHUAHUA,08037100001,22/10/2001,PSICOTRÓPICOS
"FARMACIA SANATORIO PALMORE, A. C.",FARMACIA,AV. ZARCO Nº 3001,ZARCO,31020,CHIHUAHUA,CHIHUAHUA,08019090031,25/10/2001,HEMODERIVADOS
FARMACIA REPUBLICA DE SUPER DESCUENTO,FARMACIA,AV. ZARCO Nº 2801,ZARCO,31020,CHIHUAHUA,CHIHUAHUA,08019090019,25/10/2001,TOXOIDES
BOTICA INTRAHOSP. HOSP. REGIONAL DE DELICIAS,BOTICA,"AV. RIO CONCHOS PTE. Nº 
500",CENTRO,33000,DELICIAS,CHIHUAHUA,08021100001,30/10/2001,ESTUPEFACIENTES
"FARMACIA MEDICINAS DEL PARQUE, S. A. DE C. V.",FARMACIA,IGNACIO DE LA LLAVE Nº 1421,SANTA RITA,31020,CHIHUAHUA,CHIHUAHUA,08019090020,31/10/2001,PSICOTRÓPICOS
"DROGUERIA BENAVIDES, S. A. DE C. V.",FARMACIA,AV. TECNOLOGICO Nº 6910,LAGOS,31110,CHIHUAHUA,CHIHUAHUA,08019090049,14/11/2001,TOXOIDES
"FARMACIA DEL HOSPITAL GENERAL DE ZONA NORTE M. F. Nº 
11",FARMACIA,"AV. RIO CONCHOS PONIENTE 
S/N",CENTRO,33000,DELICIAS,CHIHUAHUA,08021090001,14/11/2001,HEMODERIVADOS
"FARMACIA EL CAMINO, SUC. 5 LA SOLEDAD",FARMACIA,IGNACIO RAMIREZ Nº 6,CENTRO,33860,HIDALGO DEL PARRAL,CHIHUAHUA,08032090014,16/11/2001,PSICOTRÓPICOS
FARMACIA PLAZA MEDICA,FARMACIA,ZARAGOZA Nº 125 - I,CENTRO,33800,HIDALGO DEL PARRAL,CHIHUAHUA,08032090001,16/11/2001,PSICOTRÓPICOS
FARMACIA DEL CENTRO ESTATAL DE CANCEROLOGIA,FARMACIA,EJERCITO MEXICANO Nº 3700,CENTRO,31000,CHIHUAHUA,CHIHUAHUA,08019090062,19/11/2001,PSICOTRÓPICOS
BOTICA INTRAHOSP. DEL IMSS / U.M.F. Nº 41,BOTICA,CALLE LIBERTAD S/N,CENTRO,31900,GÓMEZ FARÍAS,CHIHUAHUA,08025100001,26/11/2001,PSICOTRÓPICOS
BOTICA INTRAHOSP. DEL IMSS / H.G.S.Z. M. F. Nº 17,BOTICA,ALDAMA S/N,ANAHUAC,31600,CUAUHTEMOC,CHIHUAHUA,08017100002,26/11/2001,PSICOTRÓPICOS
BOTICA INTRAHOSP. DEL IMSS / U. M. F. Nº 5,BOTICA,"KILOMETRO 2 CARRETERA A 
CD. MA",CENTRO,31940,MADERA,CHIHUAHUA,08040100002,26/11/2001,PSICOTRÓPICOS
BOTICA INTRAHOSP. DEL IMSS / U.M.F. Nº 32,BOTICA,AV. LOPEZ MATEOS S/N,"CENTRO, CREEL",33200,BOCOYNA,CHIHUAHUA,08009100001,26/11/2001,PSICOTRÓPICOS
BOTICA INTRAHOSP. DEL IMSS / H.G.Z.M.F. Nº 16,DROGUERIA,"AV. 16 DE SEPTIEMBRE Y 
CALLE R",LOS MANZANOS,31560,CUAUHTEMOC,CHIHUAHUA,08017100001,26/11/2001,ESTUPEFACIENTES
BOTICA INTRAHOSP. DEL IMSS / U.M.F. Nº 39,BOTICA,"INDEPENDENCIA Y 4ª S/N, 
CARRET","CENTRO, EL MOLINO",31964,NAMIQUIPA,CHIHUAHUA,08048100001,26/11/2001,PSICOTRÓPICOS
BOTICA INTRAHOSP. DEL IMSS / U.M.F. Nº 31,BOTICA,DOMICILIO CONOCIDO,"FERROCARRILERA, LA JUNTA",31690,GUERRERO,CHIHUAHUA,08031100001,26/11/2001,PSICOTRÓPICOS
BOTICA INTRAHOSP. DEL IMSS / U.M.F. Nº 38,BOTICA,FRANCISCO I. MADERO S/N,CENTRO,31680,GUERRERO,CHIHUAHUA,08031100002,26/11/2001,PSICOTRÓPICOS
BOTICA INTRAHOSP. DEL IMSS / U.M.F. Nº 7,BOTICA,DOMICILIO CONOCIDO,"CENTRO, MESA DEL HURACAN",31952,MADERA,CHIHUAHUA,08040100001,26/11/2001,PSICOTRÓPICOS
FARMACIA FLOR MARIA,FARMACIA,18 Nº 1070,CENTRO,31500,CUAUHTEMOC,CHIHUAHUA,08017090003,06/12/2001,PSICOTRÓPICOS
"FARMACIA DEL AHORRO DE CHIHUAHUA, S. A. DE C. V.    SUC. 
EST",FARMACIA,ALDAMA Nº 1510,CENTRO,31000,CHIHUAHUA,CHIHUAHUA,08019090021,06/12/2001,PSICOTRÓPICOS
FARMACIA PENSIONES CIVILES DEL ESTADO DE CHIHUAHUA,FARMACIA,AV. ORTIZ MENA Nº 18,CENTRO,33800,HIDALGO DEL PARRAL,CHIHUAHUA,08032090002,06/12/2001,PSICOTRÓPICOS
BOTICA INTRAHOSP. HOSPITAL  GINECO-OBSTETRICIA,BOTICA,"CALZADA BELIZARIO CHAVEZ 
S/N",DUBLAN,31510,CUAUHTEMOC,CHIHUAHUA,08017100003,06/12/2001,PSICOTRÓPICOS
FARMACIA PLAZA MEDICA,FARMACIA,"CARRETERA PANAMERICANA 
Nº 5219",LA CUESTA,32650,JUÁREZ,CHIHUAHUA,08037090034,12/12/2001,PSICOTRÓPICOS
"FARMACIA EL CAMINO, SUC. SUPER FARMACIA",FARMACIA,AV.  A. ORTIZ MENA Nº 99,CENTRO,33800,HIDALGO DEL PARRAL,CHIHUAHUA,08032090003,12/12/2001,TOXOIDES
BOTICA CENTRAL,FARMACIA,"AV. 6a ORIENTE INTERIOR N° 
603",CENTRO,31000,DELICIAS,CHIHUAHUA,08019090025,23/01/2002,TOXOIDES
BOTICA DEL HOSPITAL DEL SOL,BOTICA,TOMAS ALBA EDISON Nº 1333,MARGARITAS,32300,JUÁREZ,CHIHUAHUA,08037100002,23/01/2002,PSICOTRÓPICOS
"FARMACIA REPUBLICA DE SUPER DESCUENTO, SUC. AMERICA",FARMACIA,AV. ZARCO Nº 2846,ZARCO,31020,CHIHUAHUA,CHIHUAHUA,08019090064,23/01/2002,PSICOTRÓPICOS
BOTICA INTRAHOSP. DEL HOSP. GRAL. DE ZONA M. F. Nº 23,BOTICA,"PROLONGACION 
INDEPENDENCIA S/N",CENTRO,33800,HIDALGO DEL PARRAL,CHIHUAHUA,08032100001,23/01/2002,HEMODERIVADOS
FARMACIA HIDALGO AMERICAS,FARMACIA,AV. AMERICAS Nº 101,GRANJAS,31160,CHIHUAHUA,CHIHUAHUA,08019090075,23/01/2002,SUEROS DE ORIGEN ANIMAL
"FARMACIA LIBERTAD PARRALENSE, S. A.",FARMACIA,CALLE OJITO Nº 12,CENTRO,33800,HIDALGO DEL PARRAL,CHIHUAHUA,08032090004,23/01/2002,ANTITOXINAS DE ORIGEN ANIMAL
FARMACIA GALY 2,FARMACIA,TLAXCALA Nº 331 OTE.,CENTRO,32010,JUÁREZ,CHIHUAHUA,08037090035,23/01/2002,PSICOTRÓPICOS
FARMACIA VIANNA,FARMACIA,"KM 50 CARRETERA  
CUAUHTEMOC -",CAMPO Nº 101,31610,CUAUHTEMOC,CHIHUAHUA,08017090004,23/01/2002,HEMODERIVADOS
"FARMACIAS AVENIDA, S. A. DE C. V.  SUC. GUERRERO",FARMACIA,AV. JUAREZ Nº 304,CENTRO,31680,GUERRERO,CHIHUAHUA,08031090001,23/01/2002,VACUNAS
FARMACIA CASTRO,FARMACIA,"CALLE JUAREZ Y AV. 
CUAUHTEMOC",CENTRO,32950,JULIMES,CHIHUAHUA,08038090001,24/01/2002,HEMODERIVADOS
"FARMACIA DIET CENTER, S. A. DE C. V.",FARMACIA,"HACIENDA DEL CARRIZAL Nº 
3406",FRACC. LAS HACIENDAS,31215,CHIHUAHUA,CHIHUAHUA,08019090022,30/01/2002,ESTUPEFACIENTES
FARMACIA GALY 1,FARMACIA,AV. LERDO 791-B NTE,CENTRO,32010,JUÁREZ,CHIHUAHUA,08037090036,31/01/2002,PSICOTRÓPICOS
"FARMACIA DE PENSIONES CIVILES DEL ESTADO DE 
CHIHUAHUA",FARMACIA,"AV. PASEO TRIUNFO DE LA 
REPUBL",EL COLEGIO,32340,JUÁREZ,CHIHUAHUA,08037090037,27/03/2002,TOXOIDES
"FARMACIAS AVENIDA, S. A. DE C. V.",FARMACIA,"AV. 16 DE SEPTIEMBRE Y FCO. 
I.","CENTRO, ESTACION LIC. AD",31690,GUERRERO,CHIHUAHUA,08031090002,05/04/2002,TOXOIDES
FARMACIA SORIANA,FARMACIA,"CALZADA GOMEZ MORIN 
ENTRE 7ª Y",CENTRO,33000,DELICIAS,CHIHUAHUA,08021090003,05/04/2002,PSICOTRÓPICOS
FARMACIA PARIS,FARMACIA,"AV. 2º SUR Y CALLE LAZARO 
CARD",BENITO JUAREZ,33060,DELICIAS,CHIHUAHUA,08021090004,05/04/2002,PSICOTRÓPICOS
FARMACIA SORIANA SUC. IGLESIAS,FARMACIA,"AV. EJERCITO NACIONAL Nº 
5230",PARTIDO IGLESIAS,32390,JUÁREZ,CHIHUAHUA,08037090038,05/04/2002,PSICOTRÓPICOS
FARMACIA SMART JILOTEPEC,FARMACIA,"AV. JILOTEPEC Nº 8650 ENTRE 
CA",AMPLIACION AEROPUERTO,32690,JUÁREZ,CHIHUAHUA,08037090039,05/04/2002,PSICOTRÓPICOS
FARMACIA TRES  HERMANOS,FARMACIA,TRIGO Y ACACIAS Nº 779,SECTOR PANTEON,31824,ASCENSIÓN,CHIHUAHUA,08005090001,05/04/2002,TOXOIDES
FARMACIA FUND. DE BENEF. PRIV. HOSPITAL DE JESUS,FARMACIA,ZARAGOZA Nº 70,CENTRO,33800,HIDALGO DEL PARRAL,CHIHUAHUA,08032090005,05/04/2002,HEMODERIVADOS
FARMACIA INDEPENDENCIA,FARMACIA,AV. INDEPENDENCIA Nº  153,CENTRO,33800,HIDALGO DEL PARRAL,CHIHUAHUA,08032090006,05/04/2002,ESTUPEFACIENTES
"BOTICA INTRAHOSP. HOSP. RURAL ""S"" Nº 36",BOTICA,"INDEPENDENCIA Y BENITO 
JUAREZ","CENTRO,  VALLE DE ALLEND",33920,ALLENDE,CHIHUAHUA,08003100001,05/04/2002,PSICOTRÓPICOS
FARMACIA OLIVAS SELECTA,FARMACIA,"AV. HIDALGO Y CALLE 11 Nº 
1115",CENTRO,31500,CUAUHTEMOC,CHIHUAHUA,08017090005,05/04/2002,PSICOTRÓPICOS
"BOTICA GUADALUPE DE PARRAL, S. A.",FARMACIA,MACLOVIO HERRERA Nº 77,CENTRO,33800,HIDALGO DEL PARRAL,CHIHUAHUA,08032090007,05/04/2002,ANTITOXINAS DE ORIGEN ANIMAL
FARMACIA PERLITA,FARMACIA,"BLVD. FERNANDO BAEZA KM. 
1\2 C",CARRETERA A GUERRERO,31551,CUAUHTEMOC,CHIHUAHUA,08017090006,05/04/2002,PSICOTRÓPICOS
FARMACIA DE PENSIONES CIVILES DEL ESTADO,FARMACIA,"AV. SEXTA T. C. PRIMERA 
ORIENT",CENTRO,33000,DELICIAS,CHIHUAHUA,08021090005,08/04/2002,PSICOTRÓPICOS
FARMACIA INTRAHOSP. DEL HOSP. DE GINECO OBSTETRICIA,FARMACIA,AV. INDEPENDENCIA Nº 291,CENTRO,33800,HIDALGO DEL PARRAL,CHIHUAHUA,08032090008,08/04/2002,ANTITOXINAS DE ORIGEN ANIMAL
FARMACIA ONSA,FARMACIA,OJINAGA Nº 805,CENTRO,31000,CHIHUAHUA,CHIHUAHUA,08019090026,19/04/2002,ESTUPEFACIENTES
FARMACIA MIRADOR,FARMACIA,"MONTE SACRAMENTO N° 
1800 - A",RESIDENCIAL CAMPESTRE WA,31217,CHIHUAHUA,CHIHUAHUA,08019090027,19/04/2002,TOXOIDES
FARMACIA MONSERRAT,FARMACIA,"ANTONIO DE MONTES Nº 
2904",SAN FELIPE,31200,CHIHUAHUA,CHIHUAHUA,08019090028,17/05/2002,PSICOTRÓPICOS
"BOTICA INTRAHOSPITALARIA DEL HOSPITAL RURAL ""S"" Nº 26",BOTICA,ZACATEPEC Y ATLANTE S/N,ALTAVISTA,33180,GUACHOCHI,CHIHUAHUA,08027100001,21/05/2002,PSICOTRÓPICOS
"FARMACIA DROGUERIA Y FARMACIA EL FENIX, SUC. OCAMPO",FARMACIA,OCAMPO Nº 208,CENTRO,31000,CHIHUAHUA,CHIHUAHUA,08019090029,24/05/2002,TOXOIDES
FARMACIA EXPRESS,FARMACIA,BLVD. OSCAR FLORES S/N,CONSTITUCION,32881,OJINAGA,CHIHUAHUA,08052090004,24/05/2002,ANTITOXINAS DE ORIGEN ANIMAL
FARMACIA CRISTAL,FARMACIA,CALLE 1a SUR N° 208,"CENTRO, OSCAR SOTO MAYNE",31968,NAMIQUIPA,CHIHUAHUA,08048090002,24/05/2002,TOXOIDES
