ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES),
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA YZA CHETUMAL NICOLAS BRAVO,FARMACIA,"AV. NICOLAS BRAVO M. 182, L. 16,
COL. SOLIDARIDAD",SOLIDARIDAD,77086,O.P.B,QUINTANA ROO,LIC 2016-23-04-035,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL EFRAIN AGUILAR,FARMACIA,"AV. EFRAIN AGUILAR No. 271, COL.
CENTRO",CENTRO,77000,O.P.B,QUINTANA ROO,LIC 2016-23-04-036,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL BELICE,FARMACIA,"AV. BELICE No. 319, L. 19, COL.
ADOLFO LOPEZ MATEOS",ADOLFO LOPEZ MATEOS,77010,O.P.B,QUINTANA ROO,LIC 2016-23-04-037,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL NAPOLES,FARMACIA,"AV. FIDEL VELAZQUEZ SANCHEZ -
BUGAMBILIAS No. 420, COL. JOSEFA
O. DE DOMINGUEZ",JOSEFA ORTIZ DE DOMINGUEZ,77036,O.P.B,QUINTANA ROO,LIC 2016-23-04-038,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL IMSS,FARMACIA,"AV. ADOLFO LOPEZ MATEOS No. 428-
A, COL. CAMPESTRE",CAMPESTRE,77030,O.P.B,QUINTANA ROO,LIC 2016-23-04-039,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL ERICK PAOLO,FARMACIA,"AV. ERICK PAOLO MARTINEZ M. 128,
L. 14, COL. SOLIDARIDAD",SOLIDARIDAD,77086,O.P.B,QUINTANA ROO,LIC 2016-23-04-040,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL MADERO,FARMACIA,"AV. FCO. I. MADERO No. 315, COL.
DAVID G. GUTIERREZ RUIZ",DAVID GUSTAVO GUTIERREZ RUIZ,77013,O.P.B,QUINTANA ROO,LIC 2016-23-04-041,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA MAGISTERIO,FARMACIA,"AV. MACHUXAC M. 51, FRACC. 1, LOC.
2, COL. SOLIDARIDAD",SOLIDARIDAD,77086,O.P.B,QUINTANA ROO,LIC 2016-23-04-042,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL CALDERITAS,FARMACIA,"CAMPECHE No. 97, COL. 16 DE
SEPTIEMBRE, CALDERITAS",16 DE SEPTIEMBRE,77960,O.P.B,QUINTANA ROO,LIC 2016-23-04-043,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL LOPEZ MATEOS,FARMACIA,"AV. CALZADA VERACRUZ No. 552,
COL. ADOLFO LOPEZ MATEOS",ADOLFO LOPEZ MATEOS,77010,O.P.B,QUINTANA ROO,LIC 2016-23-04-044,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA OBREGON,FARMACIA,"AV. ALVARO OBREGON No. 262, COL.
CENTRO",CENTRO,77000,O.P.B,QUINTANA ROO,LIC 2016-23-04-045,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA ROJO GOMEZ,FARMACIA,"AV. ERICK PAOLO MARTINEZ No. 125,
COL. PAYO OBISPO",PAYO OBISPO,,O.P.B,,LIC 2016-23-04-046,26/07/2016,
FARMACIA YZA HOSPITAL GENERAL,FARMACIA,"PRIV. ITALIA M. 7, L. 1, DEP. 1 No. 360,
COL. 20 DE NOVIEMBRE",20 DE NOVIEMBRE,77038,O.P.B,QUINTANA ROO,LIC 2016-23-04-047,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL CARIBE,FARMACIA,"AV. CHETUMAL M. 8, L. 2 No. 79, COL.
LAZARO CARDENAS",LAZARO CARDENAS,77086,O.P.B,QUINTANA ROO,LIC 2016-23-04-048,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL FORJADORES,FARMACIA,"ISAAC MEDINA M. 63, L. 1 P.B, COL.
GDPE. VICTORIA",GUADALUPE VICTORIA,77025,O.P.B,QUINTANA ROO,LIC 2016-23-04-049,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA SAN SALVADOR,FARMACIA,"PALERMO No. 479, COL.
FLAMBOYANES",FLAMBOYANES,77034,O.P.B,QUINTANA ROO,LIC 2016-23-04-050,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL PAYO OBISPO,FARMACIA,"AV. JAVIER ROJO GOMEZ No. 430 P.B,
COL. PAYO OBISPO IV",PAYO OBISPO IV,77083,O.P.B,QUINTANA ROO,LIC 2016-23-04-051,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL INSURGENTES,FARMACIA,"AV. INSURGENTES No. 278 FRACC. A,
COL. DAVID G. GUTIERREZ RUIZ",DAVID GUSTAVO GUTIERREZ RUIZ,77013,O.P.B,QUINTANA ROO,LIC 2016-23-04-052,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA PRIMO DE VERDAD,FARMACIA,"AV. DE LOS HEROES No. 221, INT. 1,
COL. ADOLFO L. MATEOS",ADOLFO LOPEZ MATEOS,77010,O.P.B,QUINTANA ROO,LIC 2016-23-04-053,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL MERCADO,FARMACIA,"EXT. MDO. LAZARO CARDENAS LOC.
233, 234, 235, 309, 310, 325 Y 326, COL.
ADOLFO L. MATEOS",ADOLFO LOPEZ MATEOS,77010,O.P.B,QUINTANA ROO,LIC 2016-23-04-054,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL CONSTITUYENTES,FARMACIA,"AV. CONSTITUYENTES No. 302, M. 14,
COL. PROTERRITORIO IV",PROTERRITORIO IV,77086,O.P.B,QUINTANA ROO,LIC 2016-23-04-055,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL ARMADA,FARMACIA,"AV. CHETUMAL M. 105, L. 20, COL.
ANDRES Q. ROO",ANDRES QUINTANA ROO,77086,O.P.B,QUINTANA ROO,LIC 2016-23-04-056,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA UR MART,FARMACIA,"AV. 10, M. 5, LOC. 2 No. 141, COL.
CENTRO",CENTRO,77710,SOL.,QUINTANA ROO,LIC 2016-23-08-057,15/08/2016,"PSICOTROPICOS II, III"
MULTIFARMACIA,FARMACIA,"PROL. RAFAEL E. MELGAR LOC. D,
Z.H. SUR",ZONA HOTELERA SUR,77675,COZ.,QUINTANA ROO,LIC 2016-23-01-058,15/08/2016,"PSICOTROPICOS II, III"
PHARMACY STAR,FARMACIA,"AV. RAFAEL E. MELGAR C. 7 Y II SUR,
COL. CENTRO",CENTRO,77600,COZ.,QUINTANA ROO,LIC 2016-23-01-059,15/08/2016,"PSICOTROPICOS II, III"
