ESTABLECIMIENTO,"GIRO 
(FARMACIA 
BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO     
POSTAL",MUNICIPIO,ENTIDAD,NO. LICENCIA,"FECHA 
EXPEDICION","LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA  GRAN'D CENTRAL,FARMACIA,BLVD. FIDEL VELAZQUEZ # 2020 NVO. SANTANDER,FRACC. COMERCIAL 2000,87099,VICTORIA,TAMAULIPAS,28041090046,03/02/05,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,TAMPICO # 290 E/ZEFERINO FAJARDO Y L. MARCOS,AMP. INDUSTRIAL,87018,VICTORIA,TAMAULIPAS,28041090102,25/10/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,ADOLFO LOPEZ MATEOS NO. 799 ENTRE  NAFARRETE Y GASPAR,NORBERTO TREVIÑO ZAPATA,87020,VICTORIA,TAMAULIPAS,28041090104,17/01/11,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,HIDALGO # 407 E/GASPAR DE GZA. Y E. PORTES GI,CENTRO,87000,VICTORIA,TAMAULIPAS,28041090098,30/06/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,BRAVO # 515 E/AV. FIDEL VQZ. Y ALFONSO R.,TAMAULIPAS,87090,VICTORIA,TAMAULIPAS,28041090088,19/05/09,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,ZACATECAS # 2839,LAS HUERTAS,87025,VICTORIA,TAMAULIPAS,28041090072,02/10/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,AVE. DEL VALLE # 1558,FRACC. DEL VALLE,87029,VICTORIA,TAMAULIPAS,28041090073,02/10/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,NORBERTO TREVIÐO ZAPATA #3045,FRACC. VILLARREAL,87027,VICTORIA,TAMAULIPAS,28041090093,23/11/09,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,VERACRUZ # 485 E/GASPAR DE LA GZA. Y EMILIANO,DEL PERIODISTA,87040,VICTORIA,TAMAULIPAS,28041090094,23/11/09,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,GRAL. LUIS CABALLERO ENTRE RIO PURIFICACION Y SAN MARCOS,FRACC. ZOZAYA,87070,VICTORIA,TAMAULIPAS,28041090127,01/08/13,PSICOTROPICOS
FARMACIA  GUADALAJARA S.A. DE C.V.,FARMACIA,"OLIVIARAMIREZNO.50874ENTREFIDELVELAZQUEZYF.DELA
GARZA",FRACC. RESIDENCIAL LAS PALMAS,87050,VICTORIA,TAMAULIPAS,28041090116,23/08/12,PSICOTROPICOS
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,27 # 136 E/JUAREZ E HIDALGO,COL. NACOZARI,87030,VICTORIA,TAMAULIPAS,28041090082,20/10/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,BERRIOZABAL NO. 901 OTE.,COL. MORELOS,87050,VICTORIA,TAMAULIPAS,28041090128,22/11/13,PSICOTROPICOS
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,JOSE SULAIMAN CHAGNON NO. 350,COL. BUROCRATAS MUNICIPALES,87020,VICTORIA,TAMAULIPAS,28041090131,29/01/14,PSICOTROPICOS
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,EJE VIAL AV. LAZARO CARDENAS NO. 403,COL. HEROE DE NACOZARI,87030,VICTORIA,TAMAULIPAS,28041090139,20/03/15,PSICOTROPICOS
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,"DELAUNIDADNO.1090ENTREAGSUTINMELGARYUNIONY
CONCORDIA",COL. CHAPULTEPEC,87130,VICTORIA,TAMAULIPAS,28041090141,23/09/15,PSICOTROPICOS
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,"FRANCISCO I. MADERO NO. 501,",ZONA CENTRO,87000,VICTORIA,TAMAULIPAS,28041090148,08/02/17,PSICOTROPICOS
FARMACIA HOSPITALARIA,FARMACIA,LIBRAMIENTO NACIONES UNIDAS NO. 3115 B,EJIDO GUADALUPE VICTORIA,87089,VICTORIA,TAMAULIPAS,28041090154,18/07/17,PSICOTROPICOS
FARMACIA HOSPITAL VICTORIA LA SALLE,FARMACIA,CIRCUITO MEDICO DR. EGIDIO TORRE LOPEZ NO. 1200,EJ. GUADALUPE VICTORIA,87086,VICTORIA,TAMAULIPAS,28041090150,20/04/17,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA  HOSPITAL CIVIL DE CD. VICTORIA,FARMACIA,PEDRO JOSE MENDEZ 21 Y 22 # 502,CENTRO,87000,VICTORIA,TAMAULIPAS,28041090029,25/03/03,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA HOSPITAL GENERAL DE ZONA M.F. N°1,FARMACIA,CENTRO MEDICO EDUCATIVO ADOLFO LOPEZ M.,SOSA,87120,VICTORIA,TAMAULIPAS,28041090062,18/01/07,"ESTUPEFACIENTES,PSICOTROPICOS, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS HEMODERIVADOS"
"FARMACIAHGHOSPITALGENERALVICTORIA""DR.
NORBERTO TREVIÑO ZAPATA""",FARMACIA,BOULEVARD FIDEL VELAZQUEZ OTE. # 1845,REVOLUCION VERDE,87024,VICTORIA,TAMAULIPAS,28041090156,28/07/17,"ESTUPEFACIENTES,PSICOTROPICOS, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS HEMODERIVADOS"
FARMACIA HOSPITAL RURAL HIDALGO TAMAULIPAS,FARMACIA,MINA E/GPE. VICTORIA Y CAMINO A LA CLEOTILDE,CENTRO,87000,HIDALGO,TAMAULIPAS,28016090002,26/04/10,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA  HOSPITAL INFANTIL DE TAMAULIPAS,FARMACIA,CALZ. GRAL.L. CABALLERO Y AV. DEL MAESTRO,COL. DEL MAESTRO,87060,VICTORIA,TAMAULIPAS,28041090024,16/12/02,ESTUPEFACIENTES Y PSICOTROPICOS
"FARMACIA HOSPITAL REGIONAL DE ALTA
ESPECIALIDAD",FARMACIA,LIBRAMIENTO GUADALUPE VICTORIA S/N,FRACC. AREA DE PAJARITOS,87087,VICTORIA,TAMAULIPAS,28041090159,29/08/17,ESTUPEFACIENTES Y PSICOTROPICOS
"FARMACIAHOSP.REGIONALDEESPECIALIDAD
VICTORIA",FARMACIA,LIBRAMIENTO GUADALUPE VICTORIA S/N,FRACC. AREA DE PAJARITOS,87087,VICTORIA,TAMAULIPAS,28041090123,08/03/13,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA HOSPITAL  I.S.S.S.T.E.,FARMACIA,19 OAXACA S/N,MOD. HAB. FOVISSSTE,87048,VICTORIA,TAMAULIPAS,28041090054,27/02/06,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA  LA CADENA SUC. LIBERTAD,FARMACIA,ZEFERINO FAJARDO # 234,FRACC. INDUSTRIAL,87018,VICTORIA,TAMAULIPAS,28041090030,20/06/03,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA LA FE,FARMACIA,VENUSTIANO CARRANZA NO. 401 LOCAL 1 ESQ. CON OCAMPO,ZONA CENTRO,87000,VICTORIA,TAMAULIPAS,28041090117,24/09/12,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA  LIGHT,FARMACIA,EMILIANO P. NAFARRETE # 138-B,FRACC. VILLAREAL,87027,VICTORIA,TAMAULIPAS,28041090038,29/10/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA MEDICAL DEPOT,FARMACIA,BOULEVARD CARLOS ADRIAN AVILES S/N,COLONIA LA PAZ,87089,VICTORIA,TAMAULIPAS,28041090176,29/05/19,ESTUPEFACIENTES Y PSICOTROPICOS
ORTHO FARMA,FARMACIA,"CALLEFELIPEBERRIOZABALN°730INTERIOR""C""ENTRECALLE
ANAYA Y CALLE MINA",COLONIA RESIDENCIAL SELECTAS,87050,VICTORIA,TAMAULIPAS,28041090169,15/01/19,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA ONCOLOGISTICA,FARMACIA,CALLE PINO NO. 711 ENTRE CALLE LAUREL Y CALLE AGUACUHITLE,FRACCIONAMIENTO LAS FLORES,87078,VICTORIA,TAMAULIPAS,28041090172,25/03/19,PSICOTROPICOS
FARMACIAS PUREX SUC. CENTRO,FARMACIA,PORFIRIO DIAZ NO. 104 ENTRE HIDALGO Y MORELOS,ZONA CENTRO,87000,VICTORIA,TAMAULIPAS,28041090091,13/07/09,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA PUREX SUC. LOPEZ MATEOS,FARMACIA,BLVD. LOPEZ MATEOS # 145,JESUS ELIAS PIÐA,87020,VICTORIA,TAMAULIPAS,28041090092,25/09/09,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA PUREX SUC. 16 OLIVIA,FARMACIA,OLIVIA RAMIREZ  # 245-A,SAN FRANCISCO,87050,VICTORIA,TAMAULIPAS,28041090061,16/01/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA PUREX SUC. MAINERO,FARMACIA,JUAN B. TIJERINA # 2504,MAINERO,87100,VICTORIA,TAMAULIPAS,28041090055,02/03/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA  PUREX SUC. HOSPITAL GENERAL,FARMACIA,BLVD. FIDEL VELAZQUEZ C/FLORES MAGON # 1401,DOCTORES,87024,VICTORIA,TAMAULIPAS,28041090017,25/06/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA  PUREX SUC. HOSPITAL CIVIL,FARMACIA,21 Y 22 MENDEZ # 525,CENTRO,87000,VICTORIA,TAMAULIPAS,28041090018,25/06/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA  PUREX SUC. INDEPENDENCIA,FARMACIA,16 DE SEPTIEMBRE # 113,16 DE SEPTIEMBRE,87080,VICTORIA,TAMAULIPAS,28041090027,11/03/03,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA  PUREX SUC. HOSPITAL INFANTIL,FARMACIA,CALZADA LUIS C.E/HOMERO ZOZAYA Y GUAYALEJO424,FRACC. ZOZAYA,87070,VICTORIA,TAMAULIPAS,28041090031,28/07/03,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA  PUREX SUC. JUAREZ,FARMACIA,LAURO RENDON ESQ. CON JUAREZ # 945,HEROES DE NACOZARI,87030,VICTORIA,TAMAULIPAS,28041090035,05/04/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA PUREX SUCURSAL NO. 13,FARMACIA,CALLE CONRADO CASTILLO NO. 302-B,COL. SAN FRANCISCO,87050,VICTORIA,TAMAULIPAS,28041090146,31/01/17,PSICOTROPICOS
FARMACIA  SAM'S CLUB,FARMACIA,BLVD. ADOLFO LOPEZ MATEOS # 150 L-A,U. H. F. VELAZQUEZ,87049,VICTORIA,TAMAULIPAS,28041090010,10/04/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA  SAN CARLOS,FARMACIA,VENUSTIANO CARRANZA # 149 ESQ. C/MORELOS,CENTRO,87000,VICTORIA,TAMAULIPAS,28041090015,12/06/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SAN JOSE,FARMACIA,CALLE RICARDO FLORES MAGON NO. 1502,COLONIA DOCTORES,87024,VICTORIA,TAMAULIPAS,28041090175,21/05/19,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA SAN RICARDO,FARMACIA,GASPAR DE LA GARZA NO. 1701 NTE.,COL. SAN FRANCISCO,87050,VICTORIA,TAMAULIPAS,28041090133,27/02/14,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA SAN SEBASTIAN,FARMACIA,RICARDO  FLORES MAGON S/N,COL. DOCTORES,87024,VICTORIA,TAMAULIPAS,28041090124,26/03/13,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA SAN SEBASTIAN,FARMACIA,CALLE EMILIANO P. NAFARRETE NO. 519,ZONA CENTRO,87000,VICTORIA,TAMAULIPAS,28041090161,06/11/17,PSICOTROPICOS
FARMACIA  SORIANA S.A. DE C.V.,FARMACIA,JUAN B. TIJERINA NTE. # 2033 NTE.,FRACC. LAS PALMAS,87050,VICTORIA,TAMAULIPAS,28041090032,25/05/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA  SORIANA S.A. DE C.V.,FARMACIA,CALZADA GRAL. LUIS CABALLERO PTE. # 250,FRACC. ZOZAYA,87070,VICTORIA,TAMAULIPAS,28041090036,25/05/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SORIANA SUC. SATELITE,FARMACIA,BLVD. A. LOPEZ MATEOS OTE. # 125 E/AVE. 5 MAY,TREVIÐO ZAPATA,87020,VICTORIA,TAMAULIPAS,28041090099,28/06/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA  SUPERTIENDA RICO S.A. DE C.V.,FARMACIA,"FRANCISCOI.MADERONO.104ENTRECARRERATORRESE
IGNACIO",ZONA CENTRO,87800,HIDALGO,TAMAULIPAS,28016090003,16/08/16,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIA SUPERMERCADOSINTERNACIONALES
HEB",FARMACIA,BLVD. TAMAULIPAS NO. 2856,COL. ADOLFO LOPEZ MATEOS,87020,VICTORIA,TAMAULIPAS,28041090112,08/05/12,PSICOTROPICOS
"FARMACIA TAMAULIPECAS, S.A. DE C.V.",FARMACIA,"VERACRUZNO.1413LOCAL5ENTREEMILIANOP.NAFARRETEY
MANUEL",COL. SAN FRANCISCO,87050,VICTORIA,TAMAULIPAS,28041090142,02/10/15,"ESTUPEFACIENTES, PSICOTROPICOS, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS HEMODERIVADOS"
