ESTABLECIMIENTO,GIRO,CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION 
AUTORIZADAS 
(ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN 
ANIMAL, HEMODERIVADOS)"
Ocampo,Farmacia,Nicolás Bravo # 47,Centro,61250,Maravatío,Michoacán,16 050 09 0001,23/06/2000,"Ps., V., T., S., H."
Comhmsa,Farmacia,Portal Matamoros # 46,Centro,61250,Maravatio,Michoacán,16 050 09 0002,11/12/2000,"Ps., V., T., S., A., H."
La Fe,Farmacia,Esq. Portal Hidalgo y Nicolas Bravo S/N,Centro,61250,Maravatio,Michoacán,16 050 09 0003,11/12/2000,"Ps., V., T., S., A., H."
Del Refugio,Farmacia,Av. Hidalgo # 6,Centro,61250,Maravatio,Michoacán,16 050 09 0004,12/0272001,"Ps., V., T."
La Esperanza,Farmacia,Prol. Melchor Ocampo # 561 Loc. 2,Centro,61250,Maravatio,Michoacán,16 050 09 0005,12/02/2001,"Ps., V., T., S., A."
De Jesús,Farmacia,Leona Vicario # 77,Centro,61250,Maravatio,Michoacán,16 050 09 0006,23/02/2010,"Ps., V., T., S., A., H."
Ocampo,Farmacia,Nicolás Bravo # 47,Centro,61250,Maravatio,Michoacán,16 050 09 0008,03/12/2002,"Ps., V., T., S., A.,.H."
Botica U.M.F. No. 50,Botica,Km. 3 Carret. Maravatío-Cd. Hidalgo S/N,San Miguel,61250,Maravatio,Michoacán,16 050 10 0009,21/10/2003,"Ps.., V., T., S."
F. Del Ahorro,Farmacia,Portal Independencia # 92,Centro,61250,Maravatio,Michoacán,16 050 09 0010,04/06/2018,"Ps., V., T., S., A., H."
Farmacia Jardín,Farmacia,Jardín Ocampo # 33,Centro,61250,Maravatio,Michoacán,16 050 09 0011,18/08/2008,"Ps., V., T., S., A."
Nuestro Señor De Los Herreros,Farmacia,Leona Vicario # 324,Centro,61250,Maravatio,Michoacán,16 050 09 0013,21/09/2004,"Ps., V., T., S."
Guadalajara,Farmacia,Portal 5 De Mayo # 12,Centro,61250,Maravatio,Michoacán,16 050 09 0014,21/09/2004,"Ps., V."
San Miguel,Farmacia,"Morelos # 70, Centro",Centro,61250,Maravatio,Michoacán,16 050 09 0015,19/10/2005,"E., Ps., V."
Farmacia Guadalupe,Farmacia,Av. 16  Septiembre # 974-B,San M. Curahuango,61250,Maravatio,Michoacán,16 050 09 0016,17/03/2006,"E., Ps., V.,T., A."
Farmacia Del Rosario,Farmacia,Amado Nervo # 28,Centro,61250,Maravatio,Michoacán,16 050 09 0017,17(03/2006,"E., Ps."
Farmacia Ideal Del Centro,Farmacia,Portal Hidalgo # 2,Centro,61250,Maravatio,Michoacán,16 050 09 0018,29/06/2006,"E., Ps., V., T., S., A."
Farmacia La Fe,Farmacia,Esq. Portal Hidalgo y Nicolas Bravo S/N,Centro,61250,Maravatio,Michoacán,16 050 09 0019,02/07/2007,"Ps., V., T., S., A., H."
Farmacia San José,Farmacia,16 De Septiembre # 200 - B,Sin colonia,61250,Maravatio,Michoacán,16 050 09 0020,23/1172007,"E., Ps., V., T., H."
Farmacia Mi Bodega Aurrera Maravatio,Farmacia,Libramiento Sur # 460,La Hortaliza,61250,Maravatio,Michoacán,16 050 09 0021,18/12/2008,"Ps., V., T., S., H."
HNoAsDpRitaOl  GS.eAn.ePr.aI.l  DDEe  MCa.Vra. vHaotisopital General,Botica,Av. Lázaro Cárdenas # 111,Las Arenas,61250,Maravatio,Michoacán,16 050 10 0022,19/06/2009,"E., Ps., V., T., S., A., H."
de Maravatio,Botica,Lázaro Cárdenas No. 111,Las Arenas,61250,Maravatio,Michoacán,16 050 10 0023,27/08/2915,"E., Ps., V., T., S., A., H."
Farmacia Madero,Farmacia,Av. Madero No.483,Centro,61250,Maravatio,Michoacán,16 050 09 0024,11/12/2015,"E.,Ps.,V.,T.,S.,H."
FF.a rDmISaUciRas H Eol sFpeitnailx G deenl eCreanl tdreo  MHoasrapvitaatli o,Botica,"Ejido Guadalajara al norte autopista México 
Guadalajara",S/Colonia,58020,Maravatio,Michoacán,16 050 10 0025,29/04/2016,"E.,PS.,V.,T.,S.,H."
GF.e MneErDalA dLeF MA aHraovsaptiitoal General de,Farmacia,Av. Lázaro Cárdenas no. 111,La Arenas,61520,Maravatio,Michoacán,16 050 09 0026,02/02/2018,"E., Ps.,V.,T.,A.,S.,H."
MFaarrmavaactiiao y Perfumería La Popular De,Farmacia,Av. Lázaro Cárdenas no. 111,Las Arenas,61520,Maravatio,Michoacán,16 050 09 0027,16/03/2018,"E, Ps., V., T., S., A., H."
Valladolid,Farmacia,Lázaro Cárdenas # 2759,Chapultepec Norte,58260,Morelia,Michoacán,16 053 09 0001,16/06/2000,"Ps., V., T."
Paquita (Sucursal),Farmacia,Av. Periodismo # 1731,Rector Hidalgo,58120,Morelia,Michoacán,16 053 09 0002,23/06/2000,"Ps., V., T., S., A."
Claudia,Farmacia,Samuel Ramos # 557 - 1,Centro,58060,Morelia,Michoacán,16 053 09 0004,23/06/2000,"Ps., V., T., S., A."
Mary,Farmacia,Vicente Santa Maria # 1950,Felix Ireta,58070,Morelia,Michoacán,16 053 09 0005,23/06/2000,"Ps., V., T., S., A."
Vane I,Farmacia,Capitan Carlos Rovirosa # 652,Jardines de Gpe.,58140,Morelia,Michoacán,16 053 09 0006,28/09/2006,"Ps., V., T., H."
Liz,Farmacia,Cerro De Quinceo # 15,Granjas del Maestro,58120,Morelia,Michoacán,16 053 09 0007,23/06/2000,"Ps., V., T."
Gems De Descuento,Farmacia,Blvd.Garcia De Leon # 1711,Chapultepec Ote.,58260,Morelia,Michoacán,16 053 09 0009,22/04/2005,"E., Ps., T."
Torre Medica,Farmacia,Ana Maria Gallaga # 911 - C,Centro,58000,Morelia,Michoacán,16 053 09 0010,03/07/2007,"Ps., V., T., S., A., H."
Santa Cruz De Morelia,Farmacia,Plan de Ayala # 675,Centro,58000,Morelia,Michoacán,16 053 09 0013,29/10/2004,"E., Ps., V., T., S., A., H."
Gems De Descuento,Farmacia,Iretiticateme # 300,Felix Ireta,58070,Morelia,Michoacán,16 053 09 0014,09/08/2000,"Ps., V., T."
Gems De Descuento,Farmacia,Manuel Muñiz # 383,Juárez,58010,Morelia,Michoacán,16 053 09 0015,09/08/2000,"Ps., V., T."
Unidad de Medicina Familiar # 75,Farmacia,Av. Camelinas # 1901,Camelinas,58070,Morelia,Michoacán,16 053 10 0017,10/09/2010,"E., Ps., V., T., H."
Unidad de Medicina Familiar # 80,Farmacia,Av. Madero Poniente # 1200,Centro,58000,Morelia,Michoacán,16 053 10 0018,12/07/2002,"Ps., V., T."
SBaontic Paa Hbolos pSiutacl udres aNl u1estra Señora de la,Farmacia,Isidro Huarte # 576,Centro,58000,Morelia,Michoacán,16 053 09 0019,04/08/2006,"Ps., V., T."
Salud,Botica,Ignacio Zaragoza # 276,Centro,58000,Morelia,Michoacán,16 053 10 0020,07/06/2004,"E., Ps., V., T., S., A., H."
CFaernmtraacl iDa eG MEoMreSl iade descuento S.A. DE,Farmacia,Eduardo Ruiz # 605 - A,Centro,58000,Morelia,Michoacán,16 053 09 0021,11/09/2000,"Ps., V., T."
C.V.,Farmacia,Ana Maria Gallaga # 911 - A,Centro,58000,Morelia,Michoacán,16 053 09 0022,01/03/2017,"E.,Ps.,V.,T.,S.,A.,H."
"JHuolsiapital Memorial de Morelia, S.A. DE",Farmacia,"Clzda. Juarez # 812 Esq. Onésimo Lopez 
Couto",F. Del Río,58040,Morelia,Michoacán,16 053 09 0023,11/09/2000,Ps.
C.V.,Farmacia,Periferico Paseo De La Republica # 2111,Camelinas,58290,Morelia,Michoacán,16 053 09 0024,21/07/2016,"Ps., T., S., A."
Bogar,Farmacia,Curtidores De Teremendo # 969,Buena Vista,58228,Morelia,Michoacán,16 053 09 0025,04/10/2000,"PS., V., T."
Guadalajara,Farmacia,Av. Lázaro Cárdenas # 360,Ventura Puente,58020,Morelia,Michoacán,16 053 09 0026,04/10/2000,"Ps., V., T., A."
Farmacia El Everest,Farmacia,Av. Pedregal # 492,La Colina,58140,Morelia,Michoacán,16 053 09 0027,01/03/2007,"Ps., T."
De Dios,Farmacia,Av. Torreón Nuevo # 488 - D,Torreón Nuevo,58116,Morelia,Michoacán,16 053 09 0029,04/10/2000,"Ps., V., T."
La Villa,Farmacia,Bartolomé De Las Casas # 145 - A,Centro,58000,Morelia,Michoacán,16 053 09 0030,04/10/2000,"Ps., V., T."
Tlatelolco,Farmacia,Av. Francisco I. Madero Ote. 2656 - A,Enrique Ramírez,58220,Morelia,Michoacán,16 053 09 0032,08/10/2007,"E. Ps., V., T., S., A., H."
Del Hospital,Farmacia,Isidro Huarte # 320,Centro,58000,Morelia,Michoacán,16 053 09 0035,19/12/2016,"E, Ps., V., T., S., A., H."
San Pablo Suc. 2,Farmacia,"Alfareros de Capula # 11, Esq. Acueducto",Vasco de Quiroga,58150,Morelia,Michoacán,16 053 09 0037,18/10/2000,"Ps., V., T."
Centro Estatal De Atención Oncológica,Botica,Gertrudis Bocanegra # 300,Cuauhtémoc,58000,Morelia,Michoacán,16 053 10 0039,05/12/2002,"E., Ps."
"Hospital General ""Dr. Miguel Silva""",Botica,"Isidro Huarte y Samuel Ramos,",Centro,58000,Morelia,Michoacán,16 053 09 0040,16/12/2002,"E., Ps."
"Farmacias y Laboratorio Mier, S.A. de C.V.",Farmacia,Corregidora # 361,Centro,58000,Morelia,Michoacán,16 053 09 0041,12/11/2012,"Ps., V."
Tapia,Farmacia,Mariano Jiménez # 406 - A,Nva. Chapultepec sur,58260,Morelia,Michoacán,16 053 09 0043,07/11/2000,Ps.
San Martín,Farmacia,Virrey De Mendoza # 1785,Felix Ireta,58070,Morelia,Michoacán,16 053 09 0044,23/10/2000,"Ps., V., T."
Nueva Clavel,Farmacia,Clavel # 526,Las Flores,58160,Morelia,Michoacán,16 053 09 0045,17/10/2003,"Ps., T."
Miver De Descuento,Farmacia,Blvd.Garcia De León # 432 - A,Nva. Chapultepec,58260,Morelia,Michoacán,16 053 09 0048,07/11/2000,"Ps., V., T., S., A., H."
Humbert-Van,Farmacia,Av. Pedregal # 969 - A,La Colina,58140,Morelia,Michoacán,16 053 09 0049,12/07/2002,"E., Ps., S."
Del Punhuato,Farmacia,Av. Acueducto # 3577,Pascual O. Rubio,58170,Morelia,Michoacán,16 053 09 0052,07/11/2000,"Ps., V., T., S., A., H."
Plaza,Farmacia,Abasolo # 176,Centro,58000,Morelia,Michoacán,16 053 09 0056,10/11/2000,"Ps., V., T., S., A., H."
Centro Medico,Farmacia,Bartolomé De Las Casas # 636,Centro,58000,Morelia,Michoacán,16 053 09 0058,02/05/2003,Ps.
La Torre De Babel,Drogueria,Vicente Santa Maria # 232,Centro,58000,Morelia,Michoacán,16 053 11 0059,30/08/2005,Ps.
Central,Farmacia,Aquiles Serdan # 65,Centro,58000,Morelia,Michoacán,16 053 09 0060,13/11/2000,Ps.
Guadalajara,Farmacia,Av. Morelos Sur # 117 - A,Centro,58000,Morelia,Michoacán,16 053 09 0061,06/12/2000,"Ps., V., T."
Universidad,Farmacia,Av. Universidad # 745 - A,V. Universidad,58010,Morelia,Michoacán,16 053 09 0063,06/12/2000,"Ps., V., T."
Zapotlan,Farmacia,Ana Maria Gallaga # 910,Centro,58000,Morelia,Michoacán,16 053 09 0065,06/12/2000,"Ps., V., T."
San Vicente De Paul,Farmacia,Ignacio Zaragoza # 276 Interior A,Centro,58000,Morelia,Michoacán,16 053 09 0066,06/12/2000,"Ps., V., T."
Guadalajara,Farmacia,Francisco I. Madero No. 617,Centro,58320,Morelia,Michoacán,16 053 09 0068,21/12/2015,"Ps., V., T.,S.,A.,H.."
Guadalajara,Farmacia,Av. Acueducto # 518,Chapultepec Nte.,58260,Morelia,Michoacán,16 053 09 0069,01/02/2007,"E., Ps., V., T., S., A., H."
Guadalajara,Farmacia,Av. Madero Poniente # 1125,Centro,58000,Morelia,Michoacán,16 053 09 0070,11/12/2000,"Ps., V., T."
Fátima,Farmacia,Ana Maria Gallaga # 1001,Centro,58000,Morelia,Michoacán,16 053 09 0071,15/05/2006,"Ps., V., T."
Guerrero,Farmacia,Morelos Norte # 1793 - B,Santiaguito,58110,Morelia,Michoacán,16 053 09 0072,09/01/2001,"PS., V., T."
A. Mier II,Farmacia,Av. Michoacan # 1005,Nva. Jacarandas,58075,Morelia,Michoacán,16 053 09 0073,09/01/2001,"Ps., V., T., S."
San Andrés,Farmacia,Nicolás Bravo # 474,Centro,58000,Morelia,Michoacán,16 053 09 0076,02/03/2001,"Ps., V., T."
Guadalajara,Farmacia,Av. Camelinas # 2650 - C,P. Campestre,58150,Morelia,Michoacán,16 053 09 0077,22/03/2001,"Ps., V., T., A."
Guadalajara,Farmacia,Av. Madero Poniente # 1531,G. Bocanegra,58150,Morelia,Michoacán,16 053 09 0079,22/03/2001,"Ps., V., T., A."
"Farmacia GEMS de Descuento S.A. de 
C.V.",Farmacia,Boulevard Garcia De León # 242,Del Empleado,58260,Morelia,Michoacán,16 053 09 0080,14/06/2016,"Ps., V., T."
Botica del Hosp. Gral. No. 1 IMSS,Botica,Av. Bosques de los Olivos No. 101,La Goleta,58290,Morelia,Michoacán,16 053 10 0082,07/05/2013,"E., Ps., V., T., S., A., H."
"Farmacia y Drogueria la Popular Valladolid 
S.A. de C.V.",Farmacia,Obrajeros de Nurio No. 215-A,V. Quiroga,58230,Morelia,Michoacán,16 053 09 0084,20/06/2015,"E., Ps., V., T., S.,H"
Niño De La Salud,Farmacia,Av. Acueducto y José Frontera # 26,Chapultepec Ote.,58260,Morelia,Michoacán,16 053 09 0085,16/05/2001,"Ps., V., T."
Hospital Vasco De Quiroga,Botica,Km. 3 Carretera a Salamanca,Fovissste M.,58120,Morelia,Michoacán,16 053 10 0088,13/02/2003,"E., Ps."
Farmacia Paquita,Farmacia,Av. Madero Ote. # 1856,V. Quiroga,58230,Morelia,Michoacán,16 053 09 0090,03/06/2005,"Ps., T."
24 Horas Leo,Farmacia,Av. Periodismo # 1259,A. Arriaga R.,58120,Morelia,Michoacán,16 053 09 0091,21/06/2001,"Ps., V., T."
Kary,Farmacia,Aparicio Sanchez #203 - B,Granjas del Maestro,58110,Morelia,Michoacán,16 053 09 0092,21/06/2001,"Ps., V., T., S., A., H."
Paquita,Farmacia,Isidro Huarte # 336 -B,Centro,58000,Morelia,Michoacán,16 053 09 0094,21/06/2001,"Ps., V., T."
Benavides,Farmacia,Av. Lazaro Cardenas # 3035,Chapultepec Norte,58260,Morelia,Michoacán,16 053 09 0095,25/09/2002,"Ps., V., T."
Madero Oriente,Farmacia,Av. Francisco I Madero Ote. # 1608,V. Quiroga,58230,Morelia,Michoacán,16 053 09 0096,21/06/2001,"Ps., V., T."
Lore,Farmacia,Av. Madero Poniente # 1117,Centro,58000,Morelia,Michoacán,16 053 09 0097,21/06/2001,
El Pastillero Sucursal Abastos,Farmacia,"Block 1, Bodega 3 y 4",M. de Abastos,58502,Morelia,Michoacán,16 053 09 0098,25/06/2001,
El Pastillero Sucursal Ventura Puente,Farmacia,Av. Ventura Puente # 879,Fracc. Independiente,58502,Morelia,Michoacán,16 053 09 0099,22/06/2001,
Paquita Sucursal,Farmacia,Ignacio Zaragoza # 259,Centro,58000,Morelia,Michoacán,16 053 09 0100,21/06/2001,
Pro Mediq,Farmacia,Isidro Huarte # 590,Centro,58000,Morelia,Michoacán,16 053 09 0101,27/06/2001,
Isabel,Farmacia,Av. Pedregal # 2165,Eduardo Ruiz,58148,Morelia,Michoacán,16 053 09 0102,04/12/2007,
Miver,Farmacia,Jardin Morelos # 67 - A,Centro,58000,Morelia,Michoacán,16 053 09 0103,11/01/2005,
Lago De Patzcuaro,Farmacia,Lago De Patzcuaro # 198,V. Puente,58070,Morelia,Michoacán,16 053 09 0104,27/06/2001,
Lucy,Farmacia,Juan Escutia # 275,Chapultepec Norte,58260,Morelia,Michoacán,16 053 09 0105,27/06/2001,
Lucy -1,Farmacia,Madrigal De Las Altas Torres # 218 - G,V. Quiroga,58230,Morelia,Michoacán,16 053 09 0106,27/06/2001,
I.S.S.S.T.E.,Farmacia,Av. Madero Poniente # 2200,Tres Puentes,58150,Morelia,Michoacán,16 053 09 0107,13/12/2001,"Ps., V., T., S., A., H."
Del Rosario,Farmacia,Av. Lázaro Cárdenas # 1318 - 2,Ventura Puente,58020,Morelia,Michoacán,16 053 09 0108,12/12/2001,"Ps., V., T."
Tadeo,Farmacia,Av. Pedregal # 2417,Eduardo Ruíz,58140,Morelia,Michoacán,16 053 09 0110,13/12/2001,"Ps., V., T."
Nacional,Farmacia,Av. Lázaro Cárdenas # 457 - A,Centro,58000,Morelia,Michoacán,16 053 09 0111,13/12/2001,"Ps., V., T., S., A., H."
San Pablo,Farmacia,Ventura Puente # 1049 -A,Del empleado,58280,Morelia,Michoacán,16 053 09 0112,13/12/2001,Ps.
De Lourdes,Farmacia,Luis Moya # 105 - A,Centro,58000,Morelia,Michoacán,16 053 09 0115,13/12/2001,"Ps., V., T."
Paquita,Farmacia,Sierra De Pichátaro # 265,Santiaguito,58122,Morelia,Michoacán,16 053 09 0116,13/12/2001,"Ps., V., T., S., A., H."
Teo Morelia,Farmacia,Concepción Urquiza # 266,Inf. Camelinas,58240,Morelia,Michoacán,16 053 09 0117,13/12/2001,Ps.
Farmacias San José,Farmacia,"Pino Chino # 276,",Fracc. Los Pinos,58057,Morelia,Michoacán,16 053 09 0118,20/06/2003,"Ps., V., T."
Issstefarmacia # 124,Farmacia,Trabajadores De La Agricultura S/N,Fovissste M.,58120,Morelia,Michoacán,16 053 09 0119,13/12/2001,"Ps., V., T., S., A., H."
La Luz,Farmacia,General Bravo # 50,Chapultepec Nte.,58260,Morelia,Michoacán,16 053 09 0120,13/12/2001,"Ps., V., T., S., A."
Huerta,Farmacia,Av. Camelinas # 2325,Camelinas,58290,Morelia,Michoacán,16 053 09 0121,13/12/2001,Ps.
"F. y Droguería La Popular Valladolid Suc. 
El Rosario",Farmacia,General Bravo # 15 - D,Chapultepec Nte.,58260,Morelia,Michoacán,16 053 09 0122,21/07/2015,"Ps., V., T., S., H."
Farmacia Santa Maria,Farmacia,Fco. Glez. Bocanegra # 14 - C,Sta. Ma. De Guido,58090,Morelia,Michoacán,16 053 09 0124,21/12/2010,"Ps., V., T., S., A., H."
Nueva Romina,Farmacia,Nicolas Bravo # 400,Centro,58000,Morelia,Michoacán,16 053 09 0125,12/12/2001,"Ps., V., T., S., A."
Benavides,Farmacia,Boulevard Garcia De León # 1650,Nva. Chapultepec,58260,Morelia,Michoacán,16 053 09 0126,25/09/2001,"Ps., V., T."
Benavides,Farmacia,Av. Madero Oriente # 346-A,Centro,58000,Morelia,Michoacán,16 053 09 0127,06/07/2004,"Ps., V., T., S., A., H."
Paris,Farmacia,Manuel Muñiz # 653,Juárez,58010,Morelia,Michoacán,16 053 09 0128,12/12/2001,"Ps., V., T."
Chedrahui,Farmacia,Av. Héroes de Nocupétaro # 201,Centro,58000,Morelia,Michoacán,16 053 09 0129,01/11/2001,"Ps., V., T., S., A."
Farmacia La Santísima Trinidad,Farmacia,Gertrudis Sánchez # 150,Obrera,58130,Morelia,Michoacán,16 053 09 0130,21/02/2006,"Ps., V., T., S., A., H."
Rocío,Farmacia,Vicente Santa Maria # 951,V. Puente,58020,Morelia,Michoacán,16 053 09 0131,09/01/2002,Ps.
Dermatológica Arantxa,Drogueria,Boulevard Garcia de Leon # 1964 - B,5 de Diciembre,58280,Morelia,Michoacán,16 053 11 0132,09/01/2002,Ps.
La Luz,Farmacia,Heroes de Nocupetaro # 261 - A,Centro,58000,Morelia,Michoacán,16 053 09 0133,08/01/2001,"Ps., T., S., A."
Clínica Hospital De Dios,Farmacia,Mariano de Jesus Torres # 81,Miguel Silva,58120,Morelia,Michoacán,16 053 09 0134,07/01/2002,"Ps., V., T., S., A., H."
Nueva Wal Mart De México,Farmacia,Calzada Ventura Puente # 1843,Los Viveros,58070,Morelia,Michoacán,16 053 09 0135,15/01/2002,"Ps., V., T., A."
Valladolid,Farmacia,Boulevard Garcia de León # 1425,Chapultepec Ote.,58260,Morelia,Michoacán,16 053 09 0136,16/01/2002,Ps.
Ayala,Farmacia,Dr. Luis Pasteur # 121 - A,P. Ocolusen,58270,Morelia,Michoacán,16 053 09 0137,27/11/2001,"Ps., T., S.,  H."
La Providencia,Farmacia,Soldado de Zaragoza # 228,Leandro Valle,58147,Morelia,Michoacán,16 053 09 0138,16/01/2002,"Ps., T."
"Súper Farmacias Mexicana Suc. La 
Guadalupe",Farmacia,Sexta # 484,Guadalupe,58140,Morelia,Michoacán,16 053 09 0139,16/01/2002,"Ps., V., T., S., A., H."
Tiendas Soriana,Farmacia,Artilleros de 1847 No. 1500,Chapultepec Oriente,58270,Morelia,Michoacán,16 053 09 0142,11/10/2018,Ps.
Zaragoza,Farmacia,Zaragoza # 316,Centro,58000,Morelia,Michoacán,16 053 09 0143,18/01/2002,"Ps., V., T., S., A."
Súper Farmacias Mexicana Suc. San Juan,Farmacia,Plan De Ayala # 686,Centro,58000,Morelia,Michoacán,16 053 09 0144,18/01/2002,"Ps., V., T., S., A., H."
Del Mar,Farmacia,Bucareli # 194,V. Quiroga,58230,Morelia,Michoacán,16 053 09 0145,18/01/2002,Ps.
"Banco De Medicamentos Vasco De 
Quiroga",Farmacia,Priv. De Constituyentes # 2,Obrera,58130,Morelia,Michoacán,16 053 09 0146,25/01/2002,"Ps., V., T., S., A."
Hospital De La Mujer,Botica,Guillermo Roquet # 250 Esq. Miguel Arreola,P. Ocolusen,58270,Morelia,Michoacán,16 053 10 0147,07/02/2002,"E., Ps., V., T., S., A., H."
Farmapronto Cuautla,Farmacia,Cuautla # 787 - A,Juárez,58010,Morelia,Michoacán,16 053 09 0149,09/04/2002,"Ps., V., T."
Bodega Aurrera Tres Puentes,Farmacia,Av. Madero Poniente # 1550,Los Ejidos,58180,Morelia,Michoacán,16 053 09 0150,12/04/2002,"Ps., V., T., S., A."
Dr. José Torres Orozco,Botica,Miguel Arreola # 450,P. Ocolusen,58270,Morelia,Michoacán,16 053 10 0154,25/06/2002,"Ps., V., T., S., A., H."
Nueva Wal Mart De México,Farmacia,Calzada La Huerta # 3000,Ex Hacienda H.,58342,Morelia,Michoacán,16 053 09 0156,30/05/2003,"Ps., V., T."
Marva Suc. Hospital De La Mujer,Farmacia,Luis Martinez De Castro # 143 - A,P. Ocolusen,58270,Morelia,Michoacán,16 053 09 0157,06/02/2004,"Ps., V., T., S., A., H."
Paquita,Farmacia,Fray Sebastián De Aparicio # 22,B. Vista,58230,Morelia,Michoacán,16 053 09 0158,12/07/2002,
Farmacia Paquita,Farmacia,Ocolusen # 171 - A,P. Ocolusen,58270,Morelia,Michoacán,16 053 09 0159,16/07/2002,"Ps., V., T."
