ESTABLECIMIENTO,GIRO,CALLE,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,LICENCIA,"FECHA 
EXPEDICION","LINEAS DE COMERCIALIZACION 
AUTORIZADAS (ESTUPEFACIENTES 
GRUPO I), (PSICOTRÓPICOS GRUPOS  
II, III), VACUNAS, TOXOIDES, SUEROS 
DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL, HEMODERIVADOS, 
(I,II,III,V,T,S,A,H) METADONA, 
OXYCONTIN)"
"""GUADALAJARA""",FARMACIA,"BLVD. ADOLFO LOPEZ 
MATEOS No. 103 PTE",CENTRO,38000,CELAYA,GUANAJUATO,11007090028,20-mar-01,"II y III, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""MEDINA""",FARMACIA,"FRANCISCO MALDONADO No. 
106",RINCON DE TAMAYO,38150,CELAYA,GUANAJUATO,11007090051,04-abr-01,"II y III, ANTITOXINAS Y 
HEMODERIVADOS"
"""ISSEG No. 69""",FARMACIA,BENITO JUÁREZ No. 103,SAN MIGUEL OCTOPAN,38130,CELAYA,GUANAJUATO,11007090150,06-may-11,"II y III, VACUNAS, TOXOIDES Y SUEROS"
"ANEXA A CLÍNICA MÉDICA 
SANTA MARÍA",FARMACIA,HUIZACHE No. 322,DEL BOSQUE,38085,CELAYA,GUANAJUATO,11007090151,17-may-12,"I, II y III"
"""FARMACIAS DEL AHORRO 
SUCURSAL CELAYA""",FARMACIA,MORELOS No. 110-A,CENTRO,38000,CELAYA,GUANAJUATO,11007090157,05-jul-11,"II y III,VACUNAS,  TOXOIDES, SUEROS,  
ANTITOXINAS Y HEMODERIVADOS"
"""DIMESA 
INTRAHOSPITALARIA 
HOSPITAL GENERAL 
CELAYA""",BOTICA,"VIÍCTOR LIZARDI Y JUAN B. 
CASTELAZO S/N",VALLE  DEL REAL,38020,CELAYA,GUANAJUATO,11007100005,23-oct-13,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""DIMESA UNIDAD DE 
ESPECIALIDAD MÉDICA 
CENTRO INTEGRAL DE 
SALUD MENTAL",BOTICA,REAL DEL POTOSÍ S/N,VALLE  DEL REAL,38020,CELAYA,GUANAJUATO,11007100006,23-oct-13,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""BOTICA DIMESA 
AMBULATORIA HOSPITAL 
GENERAL CELAYA""",BOTICA,"VÍCTOR LIZARDI Y JUAN B. 
CASTELAZO P.B. CONSULTA 
EXTERNA",VALLE DEL REAL,38020,CELAYA,GUANAJUATO,11007100007,06-nov-13,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"ANEXA A CAISES  MANUEL 
DOBLADO",FARMACIA,"ARTEAGA ESQ. CON MADERO 
S/N",CENTRO,36470,MANUEL DOBLADO,GUANAJUATO,11008090001,08-nov-12,"PSICOTROPICOS GRUPO II Y III, 
VACUNAS,TOXOIDES, SUEROS DE 
ORIGEN ANIMAL, ANTITOXINAS  DE 
ORIGEN ANIMAL y HEMODERIVADOS."
"FARMACIA HOSPITAL 
COMUNITARIO  MANUEL 
DOBLADO.",FARMACIA,"CARRETERA MANUEL 
DOBLADO-JALPA KM-1.5",CENTRO,36470,MANUEL DOBLADO,GUANAJUATO,11008090002,14-nov-12,"ESTUPEFACIENTES GRUPO I, 
PSICOTROPICOS GRUPO  II y III, 
TOXOIDES, SUEROS DE ORIGEN 
ANIMAL Y  HEMODERIVADOS"
"""DIMESA HOSPITAL 
COMUNITARIO 
COMONFORT""",BOTICA,MATAMOROS No. 20,CENTRO,38200,COMONFORT,GUANAJUATO,11009100001,22-oct-13,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERVADOS"
ISSSTE,BOTICA,PROL. MANUEL DOBLADO S/N,VILLAS DEL SOL,38300,CORTAZAR,GUANAJUATO,11010110002,24-abr-02,SI
GUADALAJARA,FARMACIA,FRANCISCO ZARCO No. 364,CENTRO,38300,CORTAZAR,GUANAJUATO,11011090001,27-may-13,"II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""ALIANZA""",FARMACIA,"BLVD. PASEO DE LA 
JUVENTUD No. 304",DEL VALLE,38320,CORTAZAR,GUANAJUATO,11011090002,11-jun-13,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""BOTICA DIMESA 
HOSPITAL COMUNITARIO 
CORTAZAR""",BOTICA,"BLVD. INSURGENTES SUR No. 
1000",NUEVA ROSALES,38470,CORTAZAR,GUANAJUATO,11011100003,15-nov-13,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""LA LUZ""",FARMACIA,SANTOS DEGOLLADO No. 302,CENTRO,36960,CUERAMARO,GUANAJUATO,11012090001,15-may-13,"II y III,  Y SUEROS"
"""BOTICA DE GUADALUPE""",BOTICA,"JARDIN MANUEL DOBLADO No. 
141",CENTRO,36960,CUERAMARO,GUANAJUATO,11012090001,27-jun-12,II  y III
"""GUADALAJARA""",FARMACIA,"JOSE ALFREDO JIMENEZ 
NO.51",CENTRO,C.P. 37800,DOLORES HIDALGO,GUANAJUATO,11014090005,08-nov-04,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"FARMACIA HOSPITAL 
GENERAL GUANAJUATO",FARMACIA,"CARRETERA DE CUOTA 
GUANAJUATO-SILAO KM. 6.5",LOS ALCALDES,C.P. 36250,GUANAJUATO,GUANAJUATO,11015090011,06-sep-13,"ESTUPEFACIENTES GRUPO I  
PSICOTRÓPICOS GRUPO II III VACUNAS 
TOXOIDES SUEROS Y ANTITOXINAS  
HEMODERIVADOS"
"ANEXA A HOSPITAL 
COMUNITARIO 
HUANÍMARO",BOTICA,"CARR. HUANÍMARO-SAN 
CRISTÓBAL KM.1.6",CENTRO,36990,HUANIMARO,GUANAJUATO,11016100002,18-sep-12,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO 
SUC. LÁZARO CÁRDENAS",FARMACIA,"BLVD. LÁZARO CÁRDENAS No. 
509",LA MODERNA,36690,IRAPUATO,GUANAJUATO,11017090001,14-092012,"II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""DISTRIBUIDORA MEDICA 
Y HOSPITALARIA QUIROZ""",FARMACIA,"BLVD. VILLAS DE IRAPUATO 
No. 2026 LOCAL 2",VILLAS DE IRAPUATO,36670,IRAPUATO,GUANAJUATO,11017090001,27-feb-13,"II y III, HEMODERIVADOS"
"""VIDA""",FARMACIA,ISABEL No. 1771-A,GÁMEZ,36650,IRAPUATO,GUANAJUATO,11017090002,13-mar-13,"I, II y III, VACUNAS, TOXOIDES, Y 
SUEROS"
DERMATOLOGICA PIELEX,FARMACIA,AV. DE LA REFORMA No. 422,"FRACCIONAMIENTO 
GÁMEZ",36650,IRAPUATO,GUANAJUATO,11017090002,18-sep-12,II  y III
"FARMACIAS DEL AHORRO 
SUC. JARDINES",FARMACIA,"BLVD. GUSTAVO DÍAZ ORDAZ 
No. 3426",LAS REYNAS,36660,IRAPUATO,GUANAJUATO,11017090003,18-sep-12,"II  y III,   VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"HOSPITAL MILITAR 
REGIONAL DE IRAPUATO, 
GTO.",FARMACIA,AV.  SOLIDARIDAD No. 8168,MORELOS,36545,IRAPUATO,GUANAJUATO,11017090003,21-mar-13,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
GUADALAJARA,FARMACIA,"MANUEL GÓMEZ MORÍN No. 
3377-18",EJIDO,36600,IRAPUATO,GUANAJUATO,11017090004,30-may-13,"II y III, VACUNAS Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO 
SUC. LOS REYES",FARMACIA,AVENIDA LOS REYES No. 829,LOS REYES,36570,IRAPUATO,GUANAJUATO,11017090004,18-sep-12,"II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO 
SUC. LEANDRO VALLE",FARMACIA,LEANDRO VALLE No. 270,CENTRO,36500,IRAPUATO,GUANAJUATO,11017090006,10-oct-12,"II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""ISSEG No. 14""",FARMACIA,AV. GUANAJUATO No. 632,DEL BOSQUE,36580,IRAPUATO,GUANAJUATO,11017090007,01-nov-12,"II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""GUADALAJARA""",FARMACIA,"AV. EJÉRCITO NACIONAL No. 
622",LAS REYNAS,36660,IRAPUATO,GUANAJUATO,11017090011,23-oct-13,"II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,"AV. JUAN JOSÉ TORRES 
LANDA No. 311",ÁLVARO OBREGÓN,36530,IRAPUATO,GUANAJUATO,11017090012,15-nov-13,"II y III, VACUNAS Y HEMODERIVADOS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,BLVD. LOS REYES No. 656,EL CANTADOR,36570,IRAPUATO,GUANAJUATO,11017090053,12-jun-01,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"DIMESA ANEXA A UNIDAD 
DE ESPECIALIDADES 
MÉDICAS EN 
ENFERMEDADES 
CRÓNICAS",BOTICA,GERARDO MURILLO S/N,PURÍSIMA DEL JARDÍN,36557,IRAPUATO,GUANAJUATO,11017100005,09-oct-13,II y III
"DIMESA ANEXA A CAISES 
TORRES LANDA",BOTICA,"BOULEVARD TORRES LANDA 
No. 45",ÁLVARO OBREGÓN,36530,IRAPUATO,GUANAJUATO,11017100006,09-oct-13,"II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"DIMESA ANEXA A CENTRO 
NUEVA VIDA",BOTICA,GERARDO MURILLO S/N,PURÍSIMA DEL JARDÍN,36557,IRAPUATO,GUANAJUATO,11017100007,09-oct-13,II y III
"DIMESA ANEXA A CAISES 
COLONIA JUÁREZ",BOTICA,PLAZUELA JUÁREZ S/N,JUÁREZ,´36620,IRAPUATO,GUANAJUATO,11017100008,09-oct-13,"I, II y III"
"DIMESA ANEXA A 
HOSPITAL GENERAL DE 
IRAPUATO",BOTICA,REVERTE MEXICANO S/N,CENTRO,36520,IRAPUATO,GUANAJUATO,11017100009,09-oct-13,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"DIMESA ANEXA A CISAME 
IRAPUATO",BOTICA,DIF S/N,COLÓN,36597,IRAPUATO,GUANAJUATO,11017100010,10-oct-13,II y III
"""MI BODEGA AURRERA 
JARAL DEL PROGRESO""",FARMACIA,CAMELIA No. 103,DEL VALLE,38470,JARAL DEL PROGRESO,GUANAJUATO,11018090007,01-ago-12,"PSICOTROPICOS, VACUNAS, 
TOXOIDES, SUEROS, ANTITOXINAS Y 
HEMODERIVADOS"
"ANEXA A HOSPITAL 
COMUNITARIO DE 
JERECUARO",BOTICA,"CARR.JERECUARO-
TARANDACUAO KM. 1.5",CENTRO,36000,JERECUARO,GUANAJUATO,11019100002,22-ene-13,"II Y III, VACUNAS, 
HEMODERIVADOS,SUEROS,TOXOIDES, 
ANTITOXINAS DEORIGEN ANIMAL ."
FARMACIAS DEL AHORRO,FARMACIA,CHIAPAS NO. 505,ARBIDE,C.P. 37360,LEON,GUANAJUATO,11020090001,08-jun-12,"PSICOTRÓPICOS II III VACUNAS 
TOXOIDES SUEROS DE ORIGEN 
ANIMAL HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,"BLVD. JOSÉ MARÍA MORELOS 
NO. 701",LAS BRISAS DEL LAGO,37210,LEON,GUANAJUATO,11020090001,17-ene-13,"PSICOTRÓPICOS II III VACUNAS 
TOXOIDES SUEROS  Y ANTITOXINASDE 
ORIGEN ANIMAL HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,"BLVD. SAN JUAN BOSCO NO. 
1511",COL VISTA HERMOSA,37330,LEON,GUANAJUATO,11020090002,08-feb-13,"Psicotrópicos grupo II III vacunas toxoides 
sueros hemoderivados"
FARMACIA GUADALAJARA,FARMACIA,"BLVD. VICENTE VALTIERRA 
NO. 2303 INT. 07",COL REAL PROVIDENCIA,37234,LEON,GUANAJUATO,11020090003,08-feb-13,"Psicotrópicos grupo II III vacunas toxoides 
sueros antitocinas hemoderivados"
"FARMACOS 
ESPECIALIZADOS LA LUZ, 
S.A. DE C.V.",FARMACIA,AV. SIÓN NO. 501,"COL. VILLA DE LAS 
FLORES",C.P. 37278,LEON,GUANAJUATO,11020090004,28-ago-12,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II III VACUNAS 
TOXOIDES SUEROS Y ANTITOXINAS DE 
ORIGEN ANIMAL HEMODERIVADOS"
"FARMACIA TOTALMED 
(LEON HIDALGO)",FARMACIA,"BLVD HIDALGO NO.915 LOCAL 
10-A",COL. LOS REYES,37294,LEON,GUANAJUATO,11020090005,19-feb-13,"Estupefacientes grupo I Psicotrópicos 
grupo II III vacunas toxoides  antitoxinas 
hemoderivados"
"COMERCIALIZADORA 
FARMACÉUTICA DE 
CHIAPAS SAPI DE C.V.",FARMACIA,"SAN JUAN DE LOS LAGOS NO. 
301, 303 Y 305",OBRERA,37340,LEON,GUANAJUATO,11020090009,23-abr-13,"PSICOTRÓPICOS GRUPO  II Y III, 
VACUNAS, TOXOIDES, SUEROS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,"BLVD DON BOSCO NO 2506,",EJIDO LA JOYA,37060,LEON,GUANAJUATO,11020090010,07-sep-12,"PSICOTRÓPICOS GRUPO II III VACUNAS 
TOXOIDES SUEROS DE ORIGEN 
ANIMAL HEMODERIVADOS"
"FARMACIA SIN 
DENOMINACION",FARMACIA,"PADRE TIZIANO PUPPIN NO. 
404-A",COL. LOS ÁNGELES,37258,LEON,GUANAJUATO,11020090010,25-abr-13,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II III"
BODEGA AURRERA,FARMACIA,BLVD. LA LUZ S/N,"COL. VILLAS DE SAN 
JUAN",C.P.37295,LEON,GUANAJUATO,11020090012,07-sep-12,"PSICOTRÓPICOS GRUPO II III, 
VACUNAS TOXOIDES SUEROS Y 
ANTITOXINAS DE ORIGEN 
ANIMALHEMODERIVADOS"
"FARMACIA TOTALMED 
LEON LLUVIA",FARMACIA,LLUVIA NO. 303,"COL. JARDINES DEL 
MORAL",37260,LEON,GUANAJUATO,11020090012,14-may-13,"Estupefacientes grupo I Psicotrópicos 
grupo II III vacunas toxoides  antitoxinas 
hemoderivados"
FARMACIAS DEL AHORRO,FARMACIA,BLVD DELTA NO 1602,FRACC. AGUA AZUL,37797,LEON,GUANAJUATO,11020090014,11-sep-12,"PSICOTRÓPICOS II III VACUNAS 
TOXOIDES SUEROS DE ORIGEN 
ANIMAL HEMODERIVADOS"
"CUTANEA FARMACIA 
DERMATOLOGICA",FARMACIA,"BLVD ADOLFO LOPEZ 
MATEROS NO. 1902 LOCAL 12 
M",PEÑITAS,C.P. 37340,LEON,GUANAJUATO,11020090015,19-sep-12,PSICOTRÓPICOS GRUPO II III
DEL AHORRO,FARMACIA,"20 DE ENERO NO. 306,",CENTRO,CP 37000,LEON,GUANAJUATO,11020090016,25-sep-12,"PSICOTRÓPICOS GRUPO II III  vacunas 
toxoides sueros de origen animal 
hemoderivados"
"FARMACIA WALMART 
BLVD. DELTA",FARMACIA,BLVD. LA LUZ NO. 3910,COL. LAS CRUCES,37290,LEON,GUANAJUATO,11020090017,18-oct-12,"vacunas toxoides sueros antitoxinas 
hemoderivados"
FARMACIA GUADALAJARA,FARMACIA,"BLVD. MARIANO ESCOBEDO 
NO. 4649",CIUDAD SATÉLITE,37400,LEON,GUANAJUATO,11020090017,08-jul-13,"Psicotrópicos grupo II III vacunas toxoides 
sueros antitoxinas hemoderivados"
FARMACIA  LA PAZ,FARMACIA,16 DE SEPTIEMBRE NO. 152-A,OBREGON,C.P. 37320,LEON,GUANAJUATO,11020090261,25-nov-14,"ESTUPEFACIENTES FRACCIÓN  I 
PSICOTRÓPICOS FRACCIÓN  II III   
vacunas toxoides sueros y antitoxinas de 
origen animal,  hemoderivados."
SUPER FARMACIA NO 35,FARMACIA,AV. PRADERA NO.1216,COL. AZTECA,37520,LEON,GUANAJUATO,11020090018,16-nov-12,"psicotrópicos grupo II III vacunas 
TOXOIDES SUEROS DE ORIGEN 
ANIMAL HEMODERIVADOS"
ISSEG NO. 93,FARMACIA,AV. SAN PEDRO NO. 1757,"PARQUES DEL SUR 
2°SECCION",C.P. 37550,LEON,GUANAJUATO,11020090019,18-jul-13,"PSICOTRÓPICOS GRUPO II III   vacunas 
toxoides sueros de origen animal  y 
antitoxinas de origen animal"
"FARMACOS SIAM S.A. DE 
C.V.",FARMACIA,"BOSQUES NACIONALES NO. 
201 LOCAL A,",BOSQUES DE LA PRESA,37179,LEON,GUANAJUATO,11020090020,18-dic.12,PSCOTRÓPICOS GRUPO II  III
FARMACIA GUADALAJARA,FARMACIA,"BLVD. JUAN JOSÉ TORRES 
LANDA NO. 3701  OTE",JARDINES DE JEREZ,37530,LEON,GUANAJUATO,11020090020,29-jul-13,"PSICOTRÓPICOS GRUPO II III, 
VACUNAS TOXOIDES SUEROS Y 
ANTITOXINAS DE ORIGEN 
ANIMALHEMODERIVADOS"
"FARMACIA 
ESPECIALIZADA LA PAZ",FARMACIA,"TORRE DEL CAMPO NO. 218,","ARBOLEDAS DEL 
CAMPO",C.P. 37672,LEON,GUANAJUATO,11020090022,23-ago-13,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II III  vacunas 
toxoides sueros antitoxinas 
hemoderivados."
DE ANDA FARNACIA,FARMACIA,BLVD. TORRES LANDA 4602-A,LAS HUERTAS,37430,LEON,GUANAJUATO,11020090023,06-sep-13,Psicotópicos grupo III
"FARMACIA HOSPITAL 
GENERAL REGIONAL DE 
LEON",FARMACIA,"20 DE ENERO No. 927,",OBREGÓN,37320,LEON,GUANAJUATO,11020090024,06-sep-13,"Estupefacientes grupo I Psicotrópicos 
grupo II III vacunas toxoides  sueros  
antitoxinas hemoderivados"
FARMACIA GUADALAJARA,FARMACIA,BLVD. ALGECIRAS NO. 902,ARBIDE,37360,LEON,GUANAJUATO,11020090025,30-oct-13,"PSICOTRÓPICOS GRUPO II III, 
VACUNAS TOXOIDES SUEROS Y 
ANTITOXINAS DE ORIGEN 
ANIMALHEMODERIVADOS"
"SERVICIOS MÉDICOS 
ESPECIALIZADOS EN 
DIAGNÓSTICO Y 
TRATAMIENTO S.C.",FARMACIA,DIQUE NO. 402 INT 203,JARDINES DEL MORAL,37160,LEON,GUANAJUATO,11020090026,31-oct-13,"ESUPERFACIENTES GRUPO I  Y 
PSICOTROPICOS GRUPO II III"
FARMACIA DEL AHORRO,FARMACIA,"BLVD. JUAN JOSÉ TORRES 
LANDA NO. 2404, 2406, 2408",BUENOS AIRES,37479,LEON,GUANAJUATO,11020090027,04-nov-13,"Psicotrópicos grupo II III vacunas toxoides 
sueros  hemoderivados"
FARMACIA GUADALAJARA,FARMAICA,"BLVD JUAN ALONSO DE 
TORRES NO. 1902","SAN JOSÉ DEL 
CONSUELO",37200,LEON,GUANAJUATO,11020090028,26-nov-13,"Psicotrópicos Fracción II y III, vacunas 
toxoides sueros y antitoxinas de origen 
animal hemoderivados"
FARMACIA GUADALAJARA,FARMACIA,BLVD. RÍO MAYO NO. 5838,VILLAS MARIANAS,C.P. 37160,LEON,GUANAJUATO,11020090075,30-jul-12,"PSICOTRÓPICOS GRUPO II III           
VACUNAS TOXOIDES SUEROS DE 
ORIGEN ANIMAL ANTITOXINAS 
HEMODERIVADOS"
HOSPITAL SAN GABRIEL,BOTICA,HONDURAS NO. 520,OBRERA,C.P. 37340,LEON,GUANAJUATO,11020100006,31-ago-12,"ESTUPEFACIENTES GRUPO I 
PSICOTROPICOS GRUPO II III VACUNAS 
TOXOIDES HEMODERIVADOS"
"ANEXA A HOSPITAL 
COMUNITARIO DE 
MOROLEÓN",FARMACIA,"BLVD. ESTEBAN GARCÍA No. 
519",DEPORTIVA,38800,MOROLEON,GUANAJUATO,11021090001,15-may-13,"PSICOTROPICOS FRACCION II y III, 
VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,"HEROICO COLEGIO MILITAR 
No. 29",CENTRO,38800,MOROLEON,GUANAJUATO,11021090025,18-jul-18,"PSICOTROPICOS FRACCION II y III, 
VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
CAISES MOROLEÓN,BOTICA,MANUEL DOBLADO No. 40,CENTRO,38800,MOROLEON,GUANAJUATO,11021090012,12-sep-13,PSICOTROPICOS FRACCION II y III
"ANEXA A HOSPITAL 
REGIONAL DEL 
SUROESTE",BOTICA,"PROLONGACIÓN DEGOLLADO 
S/N",LAS FRESAS,36900,PENJAMO,GUANAJUATO,11023100001,20-ago-12,"I, II y III, VACUNAS, TOXOIDES , 
SUEROS,  ANTITOXINAS Y 
HEMODERIVADOS"
"FARMACIA HOSPITAL 
COMUNITARIO ROMITA",FARMACIA,ACACIA S/N,"FRACCIONAMIENTO 
CAMPO VERDE",36200,ROMITA,GUANAJUATO,11026090001,21-oct-13,"ESTUPEFACIENTES GRUPO I, 
PSICOTROPICOS GRUPO II y III, 
VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
